,NumUniqueAdresses
2009-06-16 18:15:05,73.0
2009-06-17 18:15:05,77.0
2009-06-18 18:15:05,81.0
2009-06-19 18:15:05,87.0
2009-06-20 18:15:05,84.0
2009-06-21 18:15:05,75.0
2009-06-22 18:15:05,81.0
2009-06-23 18:15:05,76.0
2009-06-24 18:15:05,88.0
2009-06-25 18:15:05,74.0
2009-06-26 18:15:05,90.0
2009-06-27 18:15:05,85.0
2009-06-28 18:15:05,53.0
2009-06-29 18:15:05,76.0
2009-06-30 18:15:05,89.0
2009-07-01 18:15:05,84.0
2009-07-02 18:15:05,72.0
2009-07-03 18:15:05,85.0
2009-07-04 18:15:05,89.0
2009-07-05 18:15:05,80.0
2009-07-06 18:15:05,91.0
2009-07-07 18:15:05,63.0
2009-07-08 18:15:05,79.0
2009-07-09 18:15:05,81.0
2009-07-10 18:15:05,82.0
2009-07-11 18:15:05,84.0
2009-07-12 18:15:05,76.0
2009-07-13 18:15:05,76.0
2009-07-14 18:15:05,72.0
2009-07-15 18:15:05,46.0
2009-07-16 18:15:05,69.0
2009-07-17 18:15:05,65.0
2009-07-18 18:15:05,3.0
2009-07-19 18:15:05,52.0
2009-07-20 18:15:05,75.0
2009-07-21 18:15:05,76.0
2009-07-22 18:15:05,69.0
2009-07-23 18:15:05,66.0
2009-07-24 18:15:05,75.0
2009-07-25 18:15:05,53.0
2009-07-26 18:15:05,13.0
2009-07-27 18:15:05,64.0
2009-07-28 18:15:05,44.0
2009-07-29 18:15:05,32.0
2009-07-30 18:15:05,17.0
2009-07-31 18:15:05,12.0
2009-08-01 18:15:05,23.0
2009-08-02 18:15:05,30.0
2009-08-03 18:15:05,15.0
2009-08-04 18:15:05,58.0
2009-08-05 18:15:05,91.0
2009-08-06 18:15:05,96.0
2009-08-07 18:15:05,74.0
2009-08-08 18:15:05,84.0
2009-08-09 18:15:05,98.0
2009-08-10 18:15:05,82.0
2009-08-11 18:15:05,67.0
2009-08-12 18:15:05,68.0
2009-08-13 18:15:05,81.0
2009-08-14 18:15:05,65.0
2009-08-15 18:15:05,34.0
2009-08-16 18:15:05,25.0
2009-08-17 18:15:05,17.0
2009-08-18 18:15:05,9.0
2009-08-19 18:15:05,15.0
2009-08-20 18:15:05,24.0
2009-08-21 18:15:05,16.0
2009-08-22 18:15:05,8.0
2009-08-23 18:15:05,12.0
2009-08-24 18:15:05,8.0
2009-08-25 18:15:05,55.0
2009-08-26 18:15:05,42.0
2009-08-27 18:15:05,34.0
2009-08-28 18:15:05,64.0
2009-08-29 18:15:05,83.0
2009-08-30 18:15:05,91.0
2009-08-31 18:15:05,95.0
2009-09-01 18:15:05,79.0
2009-09-02 18:15:05,68.0
2009-09-03 18:15:05,61.0
2009-09-04 18:15:05,63.0
2009-09-05 18:15:05,71.0
2009-09-06 18:15:05,72.0
2009-09-07 18:15:05,79.0
2009-09-08 18:15:05,66.0
2009-09-09 18:15:05,58.0
2009-09-10 18:15:05,61.0
2009-09-11 18:15:05,68.0
2009-09-12 18:15:05,71.0
2009-09-13 18:15:05,70.0
