"OutputVolume","seasonal","trend","remainder"
5450,-141614.483228214,90644.7240120987,56419.759216115
4250,-141614.483228214,102765.199457682,43099.2837705316
2600,-141614.483228214,114885.674903265,29328.8083249483
3800,-115103.122357891,128966.106879628,-10062.9845217364
4495,-115103.122357891,143046.53885599,-23448.4164980988
4250,-115103.122357891,159175.611867552,-39822.4895096608
3600,-115103.122357891,175304.684879114,-56601.5625212229
4200,-103903.601086577,186762.397173129,-78658.7960865518
4450,-103903.601086577,198220.109467143,-89866.5083805662
4000,-103903.601086577,204707.550117592,-96803.9490310151
4550,-103903.601086577,211194.990768041,-102741.389681464
3150,-106718.486363959,208284.210848402,-98415.7244844431
3950,-106718.486363959,205373.430928763,-94704.9445648042
4050,-106718.486363959,197818.657163919,-87050.17079996
4100,-106718.486363959,190263.883399074,-79445.3970351158
4200,-106411.703282953,186801.702216498,-76189.9989335445
3800,-106411.703282953,183339.521033921,-73127.8177509678
3800,-106411.703282953,182227.418580392,-72015.7152974382
3600,-106411.703282953,181115.316126862,-71103.6128439087
2300,-65752.9625841398,193677.429031277,-125624.466447138
3450,-65752.9625841398,206239.541935693,-137036.579351553
3250,-65752.9625841398,225866.118516606,-156863.155932467
150,-65752.9625841398,245492.69509752,-179589.73251338
2600,31650.6945531684,256690.275736555,-285740.970289723
3750,31650.6945531684,267887.85637559,-295788.550928758
9749.67,31650.6945531684,273382.088039828,-295283.112592997
3450,31650.6945531684,278876.319704066,-307077.014257235
3300,7471.0344408876,286657.754588564,-290828.789029452
3750,7471.0344408876,294439.189473062,-298160.22391395
2650,7471.0344408876,296370.763545558,-301191.797986446
650,7471.0344408876,298302.337618054,-305123.372058941
3200,-22800.8938443393,300860.693565816,-274859.799721476
2200,-22800.8938443393,303419.049513577,-278418.155669238
1600,-22800.8938443393,310183.565751428,-285782.671907089
850,-22800.8938443393,316948.081989279,-293297.188144939
600,-2820.38127340827,319564.21395061,-316143.832677202
1150,-2820.38127340827,322180.345911941,-318209.964638533
1500,-2820.38127340827,317611.008691196,-313290.627417787
750,-2820.38127340827,313041.67147045,-309471.290197042
2900,-17588.6535154195,309835.443335933,-289346.789820514
4550,-17588.6535154195,306629.215201416,-284490.561685996
4800,-17588.6535154195,302293.443880031,-279904.790364612
3700,-17588.6535154195,297957.672558647,-276669.019043227
9649.53,1152.15535287623,281953.857886835,-273456.483239712
4900,1152.15535287623,265950.043215024,-262202.198567901
4100,1152.15535287623,241138.893827405,-238191.049180281
3350,1152.15535287623,216327.744439786,-214129.899792662
3400,-33079.9319028346,185473.002642759,-148993.070739924
4050,-33079.9319028346,154618.260845732,-117488.328942897
3250,-33079.9319028346,112186.611464681,-75856.6795618468
1700,-33079.9319028346,69754.9620836309,-34975.0301807963
1250,-4973.93626137279,24201.063276416,-17977.1270150432
850,-4973.93626137279,-21352.8355307989,27176.7717921717
450,-4973.93626137279,-65515.9988658625,70939.9351272353
750,-4973.93626137279,-109679.162200926,115403.098462299
1200,62221.0684556937,-155763.523395978,94742.4549402847
800,62221.0684556937,-201847.884591031,140426.816135337
400,62221.0684556937,-247518.433054346,185697.364598652
600,62221.0684556937,-293188.981517661,231567.913061967
400,101992.404449301,-339816.136517956,238223.732068655
2750,101992.404449301,-386443.291518251,287200.88706895
2100,101992.404449301,-435442.742372275,335550.337922975
3848.06,101992.404449301,-484442.1932263,386297.848776999
3200,122276.942991124,-533052.730249914,413975.78725879
4150,122276.942991124,-581663.267273528,463536.324282404
4550,122276.942991124,-629633.640662942,511906.697671818
5000,122276.942991124,-677604.014052356,560327.071061232
3950,90909.4434036703,-717121.555616389,630162.112212718
3400,90909.4434036703,-756639.097180422,669129.653776752
3700,90909.4434036703,-788072.872315876,700863.428912206
3150,90909.4434036703,-819506.64745133,731747.20404766
3550,381048.520748245,-849383.530515587,471885.009767342
3600,381048.520748245,-879260.413579845,501811.8928316
4550,381048.520748245,-906021.405481773,529522.884733528
3300,381048.520748245,-932782.397383702,555033.876635457
2900,362777.153464045,-952731.152113135,592853.99864909
3050,362777.153464045,-972679.906842568,612952.753378523
3400,362777.153464045,-983585.890337626,624208.736873581
3550,362777.153464045,-994491.873832684,635264.720368639
3500,37615.5243725673,-993594.392361915,959478.867989348
4050,37615.5243725673,-992696.910891147,959131.386518579
2800,37615.5243725673,-978522.583098343,943707.058725775
2901,37615.5243725673,-964348.255305539,929633.730932971
9200,12234.70699026,-942198.812614516,939164.105624256
4050,12234.70699026,-920049.369923493,911864.662933233
3550,12234.70699026,-886374.512604482,877689.805614222
3950,12234.70699026,-852699.655285472,844414.948295212
3700,15492.1127913525,-803807.878377946,792015.765586593
2100,15492.1127913525,-754916.10147042,741523.988679067
3350,15492.1127913525,-692984.275848166,680842.163056813
4100,15492.1127913525,-631052.450225911,619660.337434559
6300,-13295.5532575718,-562404.287103156,581999.840360727
4700,-13295.5532575718,-493756.1239804,511751.677237972
5250,-13295.5532575718,-428659.557424157,447205.110681729
4400,-13295.5532575718,-363562.990867914,381258.544125486
6300,-41516.9915177454,-303411.985287593,351228.976805339
4350,-41516.9915177454,-243260.979707272,289127.971225018
4250,-41516.9915177454,-192359.001163948,238125.992681694
4250,-41516.9915177454,-141457.022620624,187224.01413837
2900,3208.13296795647,-99455.2700051483,99147.1370371919
3050,3208.13296795647,-57453.5173896724,57295.384421716
2900,3208.13296795647,-21511.8736892774,21203.7407213209
2950,3208.13296795647,14429.7700111177,-14687.9029790741
2550,-44478.4718290684,46129.5565310327,898.915298035645
3500,-44478.4718290684,77829.3430509477,-29850.8712218794
3900,-44478.4718290684,101617.957405199,-53239.4855761305
3850,-44478.4718290684,125406.57175945,-77078.0999303815
3950,-113444.512944599,141435.787355375,-24041.2744107766
8150,-113444.512944599,157465.002951301,-35870.4900067019
2550,-113444.512944599,162682.52477926,-46688.0118346616
2800,-113444.512944599,167900.04660722,-51655.5336626213
4250,-131700.969876869,168219.900583792,-32268.9307069223
12950,-131700.969876869,168539.754560363,-23888.784683494
2750,-131700.969876869,164207.78369866,-29756.8138217902
3550,-131700.969876869,159875.812836956,-24624.8429600864
4950,-133072.558459434,155609.493003231,-17586.9345437967
5550,-133072.558459434,151343.173169506,-12720.6147100716
9199.88,-133072.558459434,151844.218924189,-9571.78046475531
17149.76,-133072.558459434,152345.264678873,-2122.94621943898
4350,-137731.38683612,150819.02923311,-8737.64239698945
3750,-137731.38683612,149292.793787347,-7811.40695122632
15900,-137731.38683612,149729.271794053,3902.11504206771
3250,-137731.38683612,150165.749800759,-9184.36296463825
16300,-155878.973927484,153788.971863335,18390.002064149
3200,-155878.973927484,157412.193925911,1666.78000157262
3000,-155878.973927484,158186.56249183,692.411435653747
4600,-155878.973927484,158960.931057749,1518.04286973487
2250,-126097.246058058,155211.793937024,-26864.547878966
1500,-126097.246058058,151462.656816299,-23865.4107582409
1650,-126097.246058058,141681.41635439,-13934.1702963323
2850,-126097.246058058,131900.175892482,-2952.92983442376
3100,-128098.735209981,118491.636313073,12707.0988969074
18700,-128098.735209981,105083.096733665,41715.6384763159
2450,-128098.735209981,99285.8268064396,31262.908403541
3800,-128098.735209981,93488.5568792145,38410.1783307662
3500,-166107.501851979,87347.3833161283,82260.1185358502
3250,-166107.501851979,81206.2097530421,88151.2920989364
3550,-166107.501851979,72496.1245622109,97161.3772897676
93450,-166107.501851979,63786.0393713797,195771.462480599
3500,-198622.801715207,57807.5393430995,144315.262372107
4100,-198622.801715207,51829.0393148192,150893.762400387
4150,-198622.801715207,37172.4095738104,165600.392141396
4800,-198622.801715207,22515.7798328016,180907.021882405
5000,-185071.409286437,946.445671922385,189124.963614514
4550,-185071.409286437,-20622.8884889568,210244.297775393
3950,-185071.409286437,-33553.2329846768,222574.642271113
3650,-185071.409286437,-46483.5774803968,235204.986766833
48450,-154579.026590599,-52402.5158060561,255431.542396655
3850,-154579.026590599,-58321.4541317154,216750.480722314
5000,-154579.026590599,-68781.6212053959,228360.647795994
4800,-154579.026590599,-79241.7882790763,238620.814869675
5100,-199967.547638081,-90602.5013520465,295670.048990127
4250,-199967.547638081,-101963.214425017,306180.762063097
3900,-199967.547638081,-116772.244854451,320639.792492532
3750,-199967.547638081,-131581.275283885,335298.822921966
3900,-194017.513645967,-160585.234473927,358502.748119894
2900,-194017.513645967,-189589.193663969,386506.707309936
3700,-194017.513645967,-217938.826766212,415656.340412179
3300,-194017.513645967,-246288.459868454,443605.973514421
14950,-159656.792625663,-264329.085277555,438935.877903218
4250,-159656.792625663,-282369.710686656,446276.503312318
2450,-159656.792625663,-296821.135518694,458927.928144356
2600,-159656.792625663,-311272.560350732,473529.352976395
6290,-235547.96766138,-309248.603169934,551086.570831314
4700,-235547.96766138,-307224.645989136,547472.613650516
7450,-235547.96766138,-289526.979034099,532524.946695479
6985,-235547.96766138,-271829.312079062,514362.279740442
5220,-269567.57074643,-246729.778772944,521517.349519375
6250,-269567.57074643,-221630.245466827,497447.816213257
10250,-269567.57074643,-199930.505280762,479748.076027193
5200,-269567.57074643,-178230.765094698,452998.335841128
37945.7,-215933.63306852,-157845.47416095,411724.80722947
11250,-215933.63306852,-137460.183227202,364643.816295722
6809,-215933.63306852,-119490.800065523,342233.433134044
8300,-215933.63306852,-101521.416903845,325755.049972366
10049.5,-203937.413457567,-79739.2265144567,293726.139972024
11250,-203937.413457567,-57957.0361250683,273144.449582635
8750,-203937.413457567,-26836.5288799971,239523.942337564
9400,-203937.413457567,4283.97836507411,209053.435092493
7600,-195081.799323405,45208.9375990747,157472.861724331
8450,-195081.799323405,86133.8968330753,117397.90249033
7200,-195081.799323405,125597.277606192,76684.5217172137
7900,-195081.799323405,165060.658379308,37921.1409440974
7950,-201151.428077954,196643.923714777,12457.5043631764
8700,-201151.428077954,228227.189050246,-18375.7609722929
6900,-201151.428077954,253111.10562569,-45059.6775477366
8200,-201151.428077954,277995.022201134,-68643.5941231802
7800,-211301.075620575,296901.490777276,-77800.4151567005
7500,-211301.075620575,315807.959353418,-97006.8837328424
5950,-211301.075620575,320685.152074938,-103434.076454363
6600,-211301.075620575,325562.344796459,-107661.269175884
8150,-180394.154709757,321559.274164926,-133015.11945517
30304.35,-374239.46182674,317556.203533393,86987.6082933472
10400,-330249.719160478,304738.539545326,35911.179615152
7900,-330249.719160478,291920.87555726,46228.8436032188
7950,-330249.719160478,274058.757397482,64140.9617629966
7500,-330249.719160478,256196.639237704,81553.0799227744
7400,-268510.897335572,239044.393803271,36866.5035323008
9550,-268510.897335572,221892.148368838,56168.7489667337
7700,-268510.897335572,202513.731756977,73697.1655785947
19099.88,-268510.897335572,183135.315145116,104475.462190456
7958,-249897.370955672,159010.401116943,98844.9698387287
7905,-249897.370955672,134885.487088771,122916.883866901
7200,-249897.370955672,108873.326924905,148224.044030767
6900.74,-249897.370955672,82861.1667610395,173936.944194633
6401,-236232.718840207,55009.2066558505,187624.512184357
6500,-236232.718840207,27157.2465506614,215575.472289546
6000,-236232.718840207,5747.98143426264,236484.737405944
7000,-236232.718840207,-15661.2836821362,258894.002522343
9588.29,-208412.373061577,-29145.7205450628,247146.38360664
7700,-208412.373061577,-42630.1574079895,258742.530469567
7600,-208412.373061577,-56144.5051692881,272156.878230865
7351,-208412.373061577,-69658.8529305868,285422.225992164
13450,-221580.964971882,-79406.5710641346,314437.536036016
10973,-221580.964971882,-89154.2891976823,321708.254169564
9050,-221580.964971882,-89323.6819146194,319954.646886501
10500,-221580.964971882,-89493.0746315564,321574.039603438
10200,-221183.41776101,-83371.4493727364,314754.867133746
9800,-221183.41776101,-77249.8241139164,308233.241874926
11950,-221183.41776101,-68685.559046508,301818.976807518
12300,-221183.41776101,-60121.2939790996,293604.711740109
7100,-203945.931607984,-50703.2022228383,261749.133830822
13500,-203945.931607984,-41285.110466577,258731.042074561
11999.99,-203945.931607984,-26525.5198938287,242471.441501813
26099,-203945.931607984,-11765.9293210805,241810.860929065
10850,-205249.411581806,3331.94730642863,212767.464275377
11249,-205249.411581806,18429.8239339378,198068.587647868
17603,-205249.411581806,34174.1164120891,188678.295169717
10650,-205249.411581806,49918.4088902405,165981.002691565
59000,-167275.195318968,68110.1775109253,158165.017808043
9700,-167275.195318968,86301.9461316101,90673.2491873577
18200,-167275.195318968,100456.177902201,85019.0174167668
13399,-167275.195318968,114610.409672792,66063.7856461758
35474.51,-125235.927181703,120818.210284373,39892.2268973296
12450,-125235.927181703,127026.010895954,10659.9162857486
10899.98,-125235.927181703,128743.059701382,7392.84748032046
65173.13,-125235.927181703,130460.10850681,59948.9486748923
18911.74,-64678.3900020404,121834.388582711,-38244.2585806708
9749.98,-64678.3900020404,113208.668658612,-38780.2986565717
11150.03,-64678.3900020404,98331.5398253857,-22503.1198233453
12266.83,-64678.3900020404,83454.4109921594,-6509.19099011895
32350,-6208.76182783679,68795.5652323186,-30236.8034044818
12600,-6208.76182783679,54136.7194724778,-35327.957644641
14800,-6208.76182783679,43403.2186578089,-22394.4568299721
8100,-6208.76182783679,32669.7178431399,-18360.9560153032
29349,2933.42153784727,21865.6252882912,4549.95317386154
9101,2933.42153784727,11061.5327334424,-4893.95427128969
13399,2933.42153784727,-139.664176129942,10605.2426382827
10300,2933.42153784727,-11340.8610857023,18707.439547855
12400,-27265.2924403052,-21180.7829327382,60846.0753730435
7650,-27265.2924403052,-31020.7047797742,65935.9972200794
19400,-27265.2924403052,-37230.0142732749,83895.3067135802
27900,-27265.2924403052,-43439.3237667756,98604.6162070809
32797.39,-36622.884774828,-40790.2804631048,110210.555237933
16250,-36622.884774828,-38141.237159434,91014.1219342621
15845.18,-36622.884774828,-26940.0561643185,79408.1209391465
11400,-36622.884774828,-15738.8751692029,63761.7599440309
8850,44585.604156192,279.609226705092,-36015.2133828971
11749.99,44585.604156192,16298.0936226131,-49133.7077788051
6150,44585.604156192,32196.2854793444,-70631.8896355364
9800,44585.604156192,48094.4773360756,-82880.0814922676
7800,86958.761263814,66418.1375411976,-145576.898805012
6302,86958.761263814,84741.7977463195,-165398.559010133
6950,86958.761263814,100582.629078037,-180591.390341851
8301,86958.761263814,116423.460409755,-195081.221673569
8130,76034.5305214915,130734.962957123,-198639.493478614
15470,76034.5305214915,145046.46550449,-205610.996025981
13696,76034.5305214915,155144.398494557,-217482.929016049
11552,76034.5305214915,165242.331484625,-229724.862006116
11500,65189.2386959133,171827.061630835,-225516.300326749
13960.59,65189.2386959133,178411.791777046,-229640.44047296
10076.34,65189.2386959133,184997.998373546,-240110.897069459
33800,65189.2386959133,191584.204970045,-222973.443665958
12351,89562.677931532,200078.973213932,-277290.651145464
12950,89562.677931532,208573.741457819,-285186.419389351
11600,89562.677931532,212478.004959665,-290440.682891197
13250,89562.677931532,216382.268461511,-292694.946393043
11100,103166.517719333,218237.695531596,-310304.213250929
11400,103166.517719333,220093.122601682,-311859.640321014
10924.2,103166.517719333,221055.546479626,-313297.864198959
8800,103166.517719333,222017.970357571,-316384.488076903
10023.48,525288.669603762,221246.420668305,-736511.610272066
10500,525288.669603762,220474.870979039,-735263.540582801
12594.74,525288.669603762,217393.432026956,-730087.361630718
19633.45,525288.669603762,214311.993074873,-719967.212678635
15153.14,568885.425056596,210367.426948619,-764099.712005214
13238.74,568885.425056596,206422.860822364,-762069.54587896
11424.01,568885.425056596,204471.801888615,-761933.216945211
53193,568885.425056596,202520.742954866,-718213.168011462
22677.31,124716.834501419,195298.061841897,-297337.586343316
43764.61,124716.834501419,188075.380728928,-269027.605230347
11577,124716.834501419,175769.23578009,-288909.07028151
15257.29,124716.834501419,163463.090831253,-272922.635332672
114696.12,98321.0928591697,159041.857321835,-142666.830181005
27931.63,98321.0928591697,154620.623812418,-225010.086671588
18391.58,98321.0928591697,148873.935418538,-228803.448277707
25304.6,98321.0928591697,143127.247024658,-216143.739883827
43832.61,117371.665298402,140655.457414724,-214194.512713126
42263.8,117371.665298402,138183.66780479,-213291.533103192
15308.81,117371.665298402,153215.165050419,-255278.020348821
31902.85,117371.665298402,168246.662296049,-253715.477594451
13790.99,79972.9889677746,186198.837363579,-252380.836331354
19781.1,79972.9889677746,204151.01243111,-264342.901398885
21180.8,79972.9889677746,220818.484672568,-279610.673640343
17815.5,79972.9889677746,237485.956914026,-299643.4458818
22343.93,37875.3503336596,257294.591356016,-272826.011689676
16271.87,37875.3503336596,277103.225798007,-298706.706131667
13386.03,37875.3503336596,289508.804959608,-313998.125293268
40960.32,37875.3503336596,301914.384121209,-298829.414454869
41344.6,29121.471851359,309235.120364917,-297011.992216276
12403,29121.471851359,316555.856608625,-333274.328459984
15751,29121.471851359,319400.673846223,-332771.145697582
12603.99,29121.471851359,322245.49108382,-338762.972935179
36805.82,42416.9933345083,323590.824679694,-329201.998014203
17099.97,42416.9933345083,324936.158275568,-350253.181610077
49545.01,42416.9933345083,327208.678736772,-320080.662071281
10660,42416.9933345083,329481.199197976,-361238.192532484
31698.66,45792.815017732,327329.4422305,-341423.597248232
12842.67,45792.815017732,325177.685263024,-358127.830280756
10621.26,45792.815017732,322775.680784742,-357947.235802474
15700,45792.815017732,320373.676306461,-350466.491324193
26670.11,52338.5602139928,324414.769704931,-350083.219918924
23275.33,52338.5602139928,328455.863103401,-357519.093317394
9270.03,52338.5602139928,328949.766762638,-372018.296976631
7488.64,52338.5602139928,329443.670421875,-374293.590635867
16847.48,66936.2546257067,326437.187391321,-376525.962017027
16526,66936.2546257067,323430.704360767,-373840.958986474
25418.51,66936.2546257067,317848.576852701,-359366.321478408
13394.97,66936.2546257067,312266.449344635,-365807.733970342
15512.96,3555.52839035397,299944.75119472,-287987.319585074
56336.75,3555.52839035397,287623.053044804,-234841.831435158
61392.14,3555.52839035397,274937.551342982,-217100.939733336
17456,3555.52839035397,262252.049641159,-248351.578031513
19050,-78191.752281361,254551.359221477,-157309.606940116
24062,-78191.752281361,246850.668801794,-144596.916520433
21040.48,-78191.752281361,244466.906211284,-145234.673929923
42555.58,-78191.752281361,242083.143620774,-121335.811339413
40875.12,-69580.7383117057,238779.019916482,-128323.161604776
30539.71,-69580.7383117057,235474.89621219,-135354.447900484
12111,-69580.7383117057,219779.834280266,-138088.095968561
14142.01,-69580.7383117057,204084.772348343,-120362.024036638
16201.97,-50203.4552097415,182707.507073175,-116302.081863433
16514.24,-50203.4552097415,161330.241798006,-94612.5465882642
39744.49,-50203.4552097415,142420.073816662,-52472.1286069206
11400,-50203.4552097415,123509.905835319,-61906.4506255771
14650,-55786.7648025125,105690.931936761,-35254.1671342486
28453.31,-55786.7648025125,87871.9580382035,-3631.88323569104
27900.8,-55786.7648025125,78220.9351651948,5466.62963731769
