"HashRate","seasonal","trend","remainder"
4.97102696296e-05,22750255.4490177,-22894853.1489378,144597.69996978
0,22591884.9409235,-22883495.4910194,291610.550095916
0,22662000.5297091,-22872137.8331011,210137.303392049
0,22734536.1645691,-22860640.0525804,126103.888011299
0,22771318.4640026,-22849142.2720597,77823.8080571331
0,22614677.1665436,-22838006.5102093,223329.343665734
0.000695943774815,22684737.7770538,-22826870.7483589,142132.972001087
0.00154101835852,22757330.5824102,-22817385.3064974,60054.725628227
0.00526928858074,22794173.280032,-22807899.864636,13726.5898732841
0.00442421399704,22557613.0433023,-22802214.6607965,244601.621918429
0.00571668100741,22627618.6755371,-22796529.456957,168910.787136544
0.00626349397333,22700268.65139,-22812193.0778206,111924.432694066
0.00631320424296,22737171.7472,-22827856.6986842,90684.9577973224
0.00576639127704,22556854.1952516,-23105112.6218578,548258.432372611
0.00536870912,22626804.8492111,-23382368.5450315,755563.701189078
0.00502073723259,22699511.9955604,-23298376.0651757,598864.074636057
0.00591552208593,22736475.4895588,-23214383.58532,477908.101676758
0.00576639127704,22584151.1844679,-23174510.2544292,590359.07572769
0.00561726046815,22654046.8601521,-23134636.9235383,480590.069003541
0.00372827022222,22726811.1769978,-23195701.6640461,468890.490776591
0.00333058806519,22763835.0691844,-23256766.4045538,492931.33870003
0.0098923436563,22533352.7319788,-24498562.7776825,1965210.05559603
0.00964379230815,22603193.4293876,-25740359.1508111,3137165.73106728
0.00576639127704,22675994.700642,-32486674.92252,9810680.22764439
0.00512015777185,22713099.2071047,-39232990.6942288,16519891.4922443
0.00512015777185,22484528.8835259,-42838164.9379788,20353636.0595731
0.00606465289481,22554314.6026594,-46443339.1817288,23889024.585134
0.00601494262519,22627152.8283224,-46451057.4622668,23823904.6399593
0.00641262478222,22664337.9490612,-46458775.7428047,23794437.8001562
0.00576639127704,22464249.78431,-49628048.3120933,27163798.5335497
0.00631320424296,22533980.5251682,-52797320.8813819,30263340.3625269
0.00676059666963,22606855.7052398,-56364691.2376161,33757835.5391368
0.00611436316444,22644121.4402547,-59932061.5938503,37287940.15971
0.00601494262519,22489253.7876163,-60559445.8719733,38070192.0903719
0.00641262478222,22558929.5501991,-61186830.1500962,38627900.6063097
0.00626349397333,22631841.6846794,-62449969.9520253,39818128.2736094
0.00666117613037,22669188.0339703,-63713109.7539544,41043921.7266452
0.00636291451259,22498807.2880625,-64218341.2727609,41719533.9910614
0.00631320424296,22568428.07237,-64723572.7915675,42155144.7255108
0.00651204532148,22641377.1612589,-64949918.7792544,42308541.6245076
0.0058658118163,22678804.1248258,-65176264.7669413,42497460.6479813
0.00616407343407,22516032.2513869,-65260191.9007568,42744159.6555339
0.00700914801778,22585598.0574191,-65344119.0345724,42758520.9841624
0.00606465289481,22658584.1007167,-65394629.6610585,42736045.5664065
0.00611436316444,22696091.6785597,-65445140.2875447,42749048.6150994
0.0058658118163,-38724675.9425424,-65516689.0706933,104241365.019102
0.00616407343407,-38655165.1147856,-65588237.8538419,104243402.974792
0.00581610154667,-38582142.1170794,-65696529.9919437,104278672.114839
0.00636291451259,-38544553.9249603,-65804822.1300455,104349376.061369
0.00546812965926,-46970219.4794321,-66010047.2988323,112980266.783732
0.00601494262519,-45700331.162788,-66215272.4676191,111915603.636422
0.00531899885037,-44426838.7435107,-66421799.1939674,110848637.942797
0.00551783992889,-43188737.469953,-66628325.9203157,109817063.395787
0.00531899885037,19017139.6980213,-66898141.7839877,47881002.0912854
0.00477218588444,20286973.03639,-67167957.6476598,46880984.616042
0.00611436316444,21560502.410076,-67383109.428822,45822607.0248603
0.00507044750222,22798684.2979097,-67598261.2099841,44799576.9171448
0.00526928858074,83203538.9833921,-67821381.5280108,-15382157.4501119
0.00516986804148,74755927.0265471,-68044501.8460376,-6711425.17533958
0.00526928858074,66312103.0377033,-68296081.7983093,1983978.76587532
0.00526928858074,57832975.2228748,-68547661.750581,10714686.5329756
0.00526928858074,-3675737.97397298,-68811592.4543252,72487330.4335675
0.0058658118163,-4348015.16425643,-69075523.1580694,73423538.3281917
0.00551783992889,-5016412.45385468,-69352708.3519742,74369120.8113467
0.00556755019852,-5720069.90957026,-69629893.545879,75349963.4610168
0.00561726046815,2652078.92089328,-69912358.3136903,67260279.3984143
0.00521957831111,10496704.6021103,-70194823.0815016,59698118.4846108
0.00536870912,18345302.1166966,-70487638.7627523,52142336.6514245
0.0058658118163,26158683.1250329,-70780454.4440031,44621771.324836
0.00566697073778,22885597.7775744,-71090885.4689733,48205287.6970659
0.00576639127704,22954778.7356792,-71401316.4939435,48446537.7640307
0.00551783992889,23028023.4598372,-71740500.9094976,48712477.4551783
0.00646233505185,23066095.3376127,-72079685.3250518,49013589.9939015
0.00571668100741,22840150.9483086,-72469329.1006146,49629178.1580227
0.00546812965926,22909276.9281381,-72858972.8761775,49949695.9535075
0.00606465289481,22982558.6067047,-73280585.5896523,50298026.9890123
0.0058658118163,23020711.0987563,-73702198.3031272,50681487.2102367
0.00382769076148,73767328.1466691,-74179169.509498,411841.366656587
0.00472247561481,73836399.1482233,-74656140.7158688,819741.572368026
0.00656175559111,73909717.7811985,-75158060.8494138,1248343.07477705
0.00521957831111,73947950.8875262,-75659980.9829588,1712030.1006522
0.00576639127704,77073837.4270946,-76177006.2907266,-896831.13060157
0.00561726046815,77142853.4503734,-76694031.5984944,-448821.84626171
0.00546812965926,77216209.0377573,-77215138.9759787,-1070.05631043017
0.00591552208593,77254522.758361,-77736246.353463,481723.60101755
0.00556755019852,42624582.5889033,-78258982.5884643,35634400.0051286
