"BlockSize","seasonal","trend","remainder"
0,325.050025770733,-317.97416172545,-7.07586404528308
0,351.458838349719,-341.989180509722,-9.46965783999741
0,353.544257350444,-366.004199293994,12.4599419435496
0,355.629691690367,-390.12794127518,34.4982495848132
0,357.480841718928,-414.251683256366,56.7708415374383
0,372.863430745827,-438.37842902626,65.514998280433
0,374.948849407302,-462.505174796154,87.556325388852
0,377.034283747225,-486.756042190183,109.721758442958
0,378.886775397728,-511.006909584211,132.120134186483
0,390.489206368212,-536.735151874861,146.245945506649
0,392.574624690438,-562.463394165511,169.888769475073
0,394.660059030361,-588.905815259573,194.245756229212
0,396.513892302806,-615.348236353634,218.834344050828
0,411.551717625564,-641.716602287307,230.164884661743
0,413.63713560854,-668.084968220979,254.447832612439
0,415.722569948463,-694.147812828873,278.42524288041
0,417.57774484285,-720.210657436766,302.632912593916
0,438.69233756859,-746.197449541689,307.505111973099
0,440.777755212316,-772.184241646612,331.406486434296
0,442.863189552239,-798.285197007323,355.422007455084
0,444.719706068569,-824.386152368033,379.666446299464
0,464.999457335,-850.974850371793,385.975393036793
0,467.084874639477,-877.563548375552,410.478673736075
0,469.170308979399,-904.837478923087,435.667169943687
0,471.028167117671,-932.111409470621,461.08324235295
0,487.979819761229,-959.615772772662,471.635953011433
0,490.065236726457,-987.120136074702,497.054899348245
0,492.150671066379,-1014.77064517752,522.619974111136
0,494.009870826593,-1042.42115428033,548.411283453736
0,510.167896806546,-1070.33682051675,560.168923710204
0,512.253313432524,-1098.25248675317,585.999173320647
0,514.338747772447,-1126.50046138212,612.161713609674
0,516.199289154603,-1154.74843601107,638.549146856467
0,535.674933177231,-1183.09693474123,647.422001563998
0,537.76034946396,-1211.44543347139,673.685084007429
0,539.845783803882,-1239.72150682778,699.8757230239
0,541.70766680798,-1267.99758018418,726.289913376195
0,564.504551584651,-1296.83245052701,732.32789894236
0,566.58996753213,-1325.66732086985,759.077353337715
0,568.675401872052,-1355.37696738922,786.701565517165
0,570.538626498093,-1385.08661390859,814.547987410497
0,591.553693483557,-1414.9492075474,823.395514063839
0,593.639109091787,-1444.8118011862,851.172692094416
0,595.724543431709,-1474.35884543913,878.634302007416
0,597.589109679692,-1503.90588969205,906.316780012355
0,618.088337332889,-1531.40200436715,913.313667034258
0,620.173752601869,-1558.89811904225,938.724366440377
0,622.259186941792,-1579.21785393636,956.95866699457
0,624.125094811716,-1599.53758883048,975.412494018761
0,645.644393848563,-1614.70486532259,969.060471474031
0,647.729808778294,-1629.87214181471,982.142333036418
0,649.815243118216,-1643.44180529564,993.626562177419
0,651.682492610083,-1657.01146877656,1005.32897616648
0,671.830032797144,-1672.40949535393,1000.57946255678
0,673.915447387625,-1687.80752193129,1013.89207454367
0,676.000881727547,-1769.76004773667,1093.75916600912
0,677.869472841356,-1851.71257354205,1173.84310070069
0,698.507050553229,-1910.28057396427,1211.77352341104
0,700.592464804461,-1968.84857438649,1268.25610958202
0,702.677899144383,-1969.26991680777,1266.59201766339
0,704.547831880134,-1969.69125922906,1265.14342734893
0,725.774306946454,-1969.69125922906,1243.91695228261
0,727.859720858437,-1969.69125922906,1241.83153837063
0,729.945155198359,-2030.52046897888,1300.57531378052
0,731.816429556052,-2091.3496787287,1359.53324917265
0,749.027434836569,-2171.65094607677,1422.6235112402
0,751.112848409301,-2251.95221342484,1500.83936501554
0,753.198282749224,-2261.56747723446,1508.36919448524
0,755.070898728859,-2271.18274104409,1516.11184231523
0,773.487695186138,-2291.90150497883,1518.41380979269
0,775.573108419621,-2312.62026891357,1537.04716049395
0,777.658542759543,-2330.90548789385,1553.24694513431
0,779.532500361121,-2349.19070687413,1569.65820651301
0,800.142583827413,-2362.47153660925,1562.32895278184
0,802.227996721646,-2375.75236634437,1573.52436962273
0,804.313431061569,-2393.68634326377,1589.3729122022
0,806.188730285088,-2411.62032018317,1605.43158989808
0,825.457384225096,-2449.05981078886,1623.60242656377
0,827.54279678008,-2486.49930139456,1658.95650461448
0,829.628231120003,-2513.92759897509,1684.29936785509
0,831.504871965465,-2541.35589655562,1709.85102459016
0,852.591701345458,-2581.11872316055,1728.5270218151
0,854.677113561193,-2620.88154976549,1766.2044362043
0,856.762547901115,-2637.81222491876,1781.04967701764
0,858.640530368519,-2654.74290007202,1796.1023697035
0,878.654206495594,-2682.29159127853,1803.63738478294
0,880.739618372079,-2709.84028248505,1829.10066411297
0,882.825052712001,-2738.50321885234,1855.67816614034
0,884.704376801347,-2767.16615521964,1882.46177841829
0,906.701801793913,-2794.26150016625,1887.55969837234
0,908.787213331149,-2821.35684511287,1912.56963178172
0,910.872647671071,-2831.6471525589,1920.77450488783
0,912.753313382359,-2841.93746000494,1929.18414662258
0,937.028882838787,-2891.9327701449,1954.90388730612
0,939.114294036773,-2941.92808028487,2002.81378624809
0,941.199728376696,-2971.216016462,2030.01628808531
0,943.081735709926,-3000.50395263914,2057.42221692921
0,964.715459535923,-3019.74901788514,2055.03355834922
0,966.80087039466,-3038.99408313115,2072.19321273649
0,968.886304734582,-3079.82938796668,2110.9430832321
0,970.769653689754,-3120.66469280221,2149.89503911246
0,991.957493838293,-3150.95260225247,2158.99510841418
0,994.04290435778,-3181.24051170273,2187.19760734495
0,996.128338697703,-3213.23244385373,2217.10410515602
0,998.013029274817,-3245.22437600473,2247.21134672991
0,1019.22763772068,-3249.94879989397,2230.72116217329
0,1021.31304790092,-3254.67322378321,2233.3601758823
0,1023.39848224084,-3264.13360018974,2240.7351179489
0,1025.2845144399,-3273.59397659626,2248.30946215637
0,1046.17855557806,-3290.72836291456,2244.5498073365
0,1048.26396541905,-3307.86274923286,2259.59878381381
0,1050.34939975897,-2763.85074595926,1713.50134620029
0,1052.23677357997,-2219.83874268566,1167.6019691057
0,1073.17746250616,-1792.60423737207,719.426774865913
0,1075.2628720079,-1365.36973205848,290.10686005058
0,1077.34830634782,-1017.00117434428,-60.3471320035355
0,1079.23702179076,-668.63261663009,-410.604405160669
0,1100.77431591429,-447.026605264475,-653.747710649817
0,1102.85972507678,-225.42059389886,-877.439131177921
0,1104.9451594167,229.788802165305,-1334.73396158201
0,1106.83521648159,684.998198229469,-1791.83341471106
0,1129.06076379305,782.741046991358,-1911.80181078441
0,1131.14617261629,880.483895753248,-2011.63006836954
0,1133.23160695622,926.12442676858,-2059.3560337248
0,1135.12300564304,971.764957783913,-2106.88796342695
0,1157.22926762911,1031.22086312789,-2188.450130757
0,1159.3146761131,1090.67676847187,-2249.99144458497
0,1161.40011045302,1213.35511116342,-2374.75522161644
0,1163.29285076179,1336.03345385496,-2499.32630461675
0,1186.30451829994,1952.56347508116,-3138.8679933811
0,1188.38992644468,2569.09349630736,-3757.48342275204
0,1190.4753607846,2930.44335940805,-4120.91872019265
0,1192.36944271531,3291.79322250874,-4484.16266522404
0,1215.91652023753,3288.33089114031,-4504.24741137784
0,1218.00192804302,3284.86855977188,-4502.8704878149
0,1220.08736238294,3281.2792242328,-4501.36658661574
0,1221.98278593559,3277.68988869372,-4499.67267462932
0,1244.75089358672,3258.67191357471,-4503.42280716143
0,1246.83630104151,3239.65393845569,-4486.4902394972
0,1248.92173538143,3220.99748185834,-4469.91921723977
