"BitcoinDaysDestroyedMinYear","seasonal","trend","remainder"
0,416387.715242125,729106.577824253,-1145494.29306638
0,416387.715242125,719265.651794578,-1135653.3670367
0,416387.715242125,709424.725764903,-1125812.44100703
0,327958.552753981,690312.467032697,-1018271.01978668
0,327958.552753981,671200.208300492,-999158.761054473
0,327958.552753981,644126.531317197,-972085.084071178
0,327958.552753981,617052.854333903,-945011.407087884
0,397577.3559279,577190.805103298,-974768.161031198
0,397577.3559279,537328.755872693,-934906.111800593
0,397577.3559279,493125.336032772,-890702.691960672
0,397577.3559279,448921.916192852,-846499.272120752
0,416804.484830762,401504.771322135,-818309.256152898
0,416804.484830762,354087.626451419,-770892.111282181
0,416804.484830762,305352.526251525,-722157.011082287
0,416804.484830762,256617.426051631,-673421.910882393
0,285504.852242823,221518.971683466,-507023.823926289
0,285504.852242823,186420.517315302,-471925.369558125
0,285504.852242823,165209.575660877,-450714.427903699
0,285504.852242823,143998.634006451,-429503.486249274
0,329372.71793805,125618.745041234,-454991.462979284
0,329372.71793805,107238.856076016,-436611.574014066
0,329372.71793805,107293.920214895,-436666.638152946
0,329372.71793805,107348.984353774,-436721.702291825
0,378429.540669779,124084.514740701,-502514.05541048
0,378429.540669779,140820.045127627,-519249.585797406
0,378429.540669779,165139.591753064,-543569.132422843
0,378429.540669779,189459.1383785,-567888.67904828
0,326851.745485679,218794.443574823,-545646.189060501
0,326851.745485679,248129.748771145,-574981.494256824
0,326851.745485679,285475.178038065,-612326.923523744
0,326851.745485679,322820.607304985,-649672.352790664
0,302924.570276065,335424.517944772,-638349.088220837
0,302924.570276065,348028.428584558,-650952.998860624
0,302924.570276065,348098.759141352,-651023.329417418
0,302924.570276065,348169.089698146,-651093.659974212
0,246690.321128941,349606.801965454,-596297.123094395
0,246690.321128941,351044.514232762,-597734.835361702
0,246690.321128941,344664.661814052,-591354.982942993
0,246690.321128941,338284.809395343,-584975.130524283
0,311913.441394288,330668.339492436,-642581.780886724
0,311913.441394288,323051.869589529,-634965.310983817
0,311913.441394288,319526.41700696,-631439.858401248
0,311913.441394288,316000.96442439,-627914.405818678
0,329142.878035262,316895.209431503,-646038.087466765
0,329142.878035262,317789.454438617,-646932.332473879
0,329142.878035262,320812.123899949,-649955.001935211
0,329142.878035262,323834.793361282,-652977.671396544
0,333965.300449951,338516.918811348,-672482.219261298
0,333965.300449951,353199.044261413,-687164.344711364
0,333965.300449951,378852.148170884,-712817.448620834
0,333965.300449951,404505.252080354,-738470.552530305
0,380165.566014851,430179.543718711,-810345.109733562
0,380165.566014851,455853.835357067,-836019.401371918
0,380165.566014851,470177.315018283,-850342.881033134
0,380165.566014851,484500.7946795,-864666.36069435
0,403856.805153942,499565.769389743,-903422.574543684
0,403856.805153942,514630.744099986,-918487.549253928
0,403856.805153942,521214.788020345,-925071.593174287
0,403856.805153942,527798.831940705,-931655.637094646
0,323554.837840403,534340.480167213,-857895.318007616
0,323554.837840403,540882.128393722,-864436.966234124
0,323554.837840403,555754.933892115,-879309.771732518
0,323554.837840403,570627.739390509,-894182.577230911
0,309209.198569575,586024.28128995,-895233.479859525
0,309209.198569575,601420.823189391,-910630.021758966
0,309209.198569575,611952.907832572,-921162.106402148
0,309209.198569575,622484.992475754,-931694.191045329
0,569819.273409402,628445.515589512,-1198264.78899891
0,569819.273409402,634406.038703271,-1204225.31211267
0,569819.273409402,634022.708933444,-1203841.98234285
0,569819.273409402,633639.379163616,-1203458.65257302
0,667275.672403478,631960.125512264,-1299235.79791574
0,667275.672403478,630280.871860912,-1297556.54426439
0,667275.672403478,624758.077565026,-1292033.7499685
0,667275.672403478,619235.283269139,-1286510.95567262
0,670944.808296403,615006.470649506,-1285951.27894591
0,670944.808296403,610777.658029873,-1281722.46632628
0,670944.808296403,609224.768026843,-1280169.57632325
0,670944.808296403,607671.878023813,-1278616.68632022
0,768683.28222553,597523.517041929,-1366206.79926746
0,768683.28222553,587375.156060045,-1356058.43828558
0,768683.28222553,576749.497878708,-1345432.78010424
0,768683.28222553,566123.839697371,-1334807.1219229
0,816924.4071984,548886.899656007,-1365811.30685441
0,816924.4071984,531649.959614642,-1348574.36681304
0,816924.4071984,507106.611704004,-1324031.0189024
0,816924.4071984,482563.263793366,-1299487.67099177
0,926014.382270623,461136.30227265,-1387150.68454327
0,926014.382270623,439709.340751935,-1365723.72302256
0,926014.382270623,423020.665968112,-1349035.04823874
0,926014.382270623,406331.991184289,-1332346.37345491
0,1037264.47773036,390980.263528959,-1428244.74125932
0,1037264.47773036,375628.535873629,-1412893.01360399
0,1037264.47773036,365145.520955973,-1402409.99868634
0,1037264.47773036,354662.506038317,-1391926.98376868
0,1022861.77169888,340502.277440334,-1363364.04913922
0,1022861.77169888,326342.048842351,-1349203.82054123
0,1022861.77169888,317115.001090814,-1339976.7727897
0,1022861.77169888,307887.953339278,-1330749.72503816
0,1026723.27341042,312090.871564026,-1338814.14497444
0,1026723.27341042,316293.789788773,-1343017.06319919
0,1026723.27341042,335947.909748859,-1362671.18315928
0,1026723.27341042,355602.029708945,-1382325.30311936
0,460330.042593862,381309.645835205,-841639.688429066
0,460330.042593862,407017.261961465,-867347.304555326
0,460330.042593862,438587.160748322,-898917.203342184
0,460330.042593862,470157.05953518,-930487.102129042
0,525752.559752379,501376.765087558,-1027129.32483994
0,525752.559752379,532596.470639936,-1058349.03039231
0,525752.559752379,566744.503922136,-1092497.06367451
0,525752.559752379,600892.537204336,-1126645.09695671
0,1200499.89667458,639738.364935063,-1840238.26160964
0,1200499.89667457,678584.19266579,-1879084.08934036
0,1200499.89667457,704657.348903231,-1905157.24557781
0,1200499.89667457,730730.505140672,-1931230.40181525
0,1202274.61518101,733031.918465004,-1935306.53364601
0,1202274.61518101,735333.331789337,-1937607.94697034
0,1202274.61518101,724474.704077435,-1926749.31925844
0,1202274.61518101,713616.076365533,-1915890.69154654
0,1227206.99260924,697108.45493914,-1924315.44754838
0,1227206.99260924,680600.833512747,-1907807.82612198
0,1227206.99260924,670603.743670498,-1897810.73627974
0,1227206.99260924,660606.65382825,-1887813.64643749
0,1208147.4796846,661369.630350275,-1869517.11003488
0,1208147.4796846,662132.606872301,-1870280.0865569
0,1208147.4796846,672489.393421512,-1880636.87310611
0,1208147.4796846,682846.179970722,-1890993.65965532
0,1163258.38724464,687322.307962915,-1850580.69520755
0,1163258.38724464,691798.435955108,-1855056.82319975
0,1163258.38724464,689557.369555607,-1852815.75680025
0,1163258.38724464,687316.303156105,-1850574.69040074
0,1067847.64902111,685891.663238858,-1753739.31225997
0,1067847.64902111,684467.023321611,-1752314.67234272
0,1067847.64902111,670245.276358035,-1738092.92537914
0,1067847.64902111,656023.529394459,-1723871.17841557
0,959056.049468827,632441.214165118,-1591497.26363395
0,959056.049468827,608858.898935776,-1567914.9484046
0,959056.049468827,590755.153261371,-1549811.2027302
0,959056.049468827,572651.407586965,-1531707.45705579
0,932954.926798483,557664.86195927,-1490619.78875775
0,932954.926798483,542678.316331574,-1475633.24313006
0,932954.926798483,530940.41549567,-1463895.34229415
0,932954.926798483,519202.514659766,-1452157.44145825
0,825131.967497674,509596.066681686,-1334728.03417936
0,825131.967497674,499989.618703606,-1325121.58620128
0,825131.967497674,484760.368636644,-1309892.33613432
0,825131.967497674,469531.118569681,-1294663.08606735
0,737604.941379489,449975.322113472,-1187580.26349296
0,737604.941379489,430419.525657263,-1168024.46703675
0,737604.941379489,396068.703740933,-1133673.64512042
0,737604.941379489,361717.881824604,-1099322.82320409
0,707815.077604003,332279.27934112,-1040094.35694512
0,707815.077604003,302840.676857636,-1010655.75446164
0,707815.077604003,274275.785829202,-982090.863433205
0,707815.077604003,245710.894800769,-953525.972404772
0,601822.780627697,210861.016088406,-812683.796716103
0,601822.780627697,176011.137376042,-777833.91800374
0,601822.780627697,150467.617279467,-752290.397907165
0,601822.780627697,124924.097182892,-726746.87781059
0,604981.537795785,94323.690184558,-699305.227980343
0,604981.537795785,63723.2831862237,-668704.820982009
0,604981.537795785,28332.5976245419,-633314.135420327
0,604981.537795785,-7058.08793713989,-597923.449858645
0,608351.574055639,-45839.9236415082,-562511.65041413
0,608351.574055639,-84621.7593458765,-523729.814709762
0,608351.574055639,-127932.533936522,-480419.040119117
0,608351.574055639,-171243.308527168,-437108.265528471
0,533239.207534528,-220817.732851118,-312421.47468341
0,533239.207534528,-270392.157175068,-262847.05035946
0,533239.207534528,-334215.859773365,-199023.347761162
0,533239.207534528,-398039.562371663,-135199.645162864
0,422628.190725627,-452885.432897148,30257.2421715209
0,422628.190725627,-507731.303422633,85103.112697006
0,422628.190725627,-569068.68037974,146440.489654113
0,422628.190725627,-630406.057336847,207777.866611219
0,239573.107760228,-676392.782143632,436819.674383403
0,239573.107760228,-722379.506950417,482806.399190188
0,239573.107760228,-753600.948427957,514027.840667729
0,239573.107760228,-784822.389905498,545249.282145269
0,206957.706655916,-801021.596641398,594063.889985483
0,206957.706655916,-817220.803377298,610263.096721383
0,206957.706655916,-804866.489014779,597908.782358863
0,206957.706655916,-792512.174652259,585554.467996344
0,255812.058882152,-761327.783933463,505515.725051311
0,255812.058882152,-730143.393214667,474331.334332515
0,255812.058882152,-697658.401378799,441846.342496647
0,255812.058882152,-665173.409542931,409361.350660779
0,161867.598897751,-641931.045717296,480063.446819545
0,161867.598897751,-618688.681891661,456821.08299391
0,161867.598897751,-590445.974437215,428578.375539465
0,161867.598897751,-562203.266982769,400335.668085019
0,167512.20642954,-529772.004894752,362259.798465211
0,167512.20642954,-497340.742806734,329828.536377193
0,167512.20642954,-466863.473275532,299351.266845991
0,167512.20642954,-436386.20374433,268873.99731479
0,214650.557217407,-411715.855589904,197065.298372497
0,214650.557217407,-387045.507435478,172394.950218071
0,214650.557217407,-364888.784029666,150238.226812259
0,214650.557217407,-342732.060623855,128081.503406447
0,197812.118038173,-341121.234059674,143309.116021501
0,197812.118038173,-339510.407495494,141698.289457321
0,197812.118038173,-338750.152825123,140938.03478695
0,197812.118038173,-337989.898154752,140177.780116578
0,240689.793291679,-330296.507092052,89606.7138003737
0,240689.793291679,-322603.116029353,81913.3227376743
0,240689.793291679,-331245.428175461,90555.6348837828
0,240689.793291679,-339887.74032157,99197.9470298914
0,185510.590060975,-342429.301977712,156918.711916737
0,185510.590060975,-344970.863633854,159460.273572879
0,185510.590060975,-332234.095011698,146723.504950723
0,185510.590060975,-319497.326389541,133986.736328567
0,165787.9945004,-315766.466588872,149978.472088473
0,165787.9945004,-312035.606788203,146247.612287804
0,165787.9945004,-296190.634105518,130402.639605118
0,165787.9945004,-280345.661422833,114557.666922433
0,175582.951834804,-251370.375608903,75787.4237740985
0,175582.951834804,-222395.089794973,46812.1379601686
0,175582.951834804,-189156.43409185,13573.4822570457
0,175582.951834804,-155917.778388727,-19665.1734460772
0,211953.855242104,-117210.811032271,-94743.0442098335
0,211953.855242104,-78503.8436758142,-133450.01156629
0,211953.855242104,-40651.5744015183,-171302.280840586
0,211953.855242104,-2799.3051272223,-209154.550114882
0,227284.599121338,17636.7382634463,-244921.337384785
0,227284.599121338,38072.7816541149,-265357.380775453
0,227284.599121338,37338.5604821933,-264623.159603532
0,227284.599121338,36604.3393102717,-263888.93843161
0,262333.155046614,26374.7325308494,-288707.887577463
0,-43525.8318257846,16145.1257514271,27380.7060743575
0,65538.3700690545,42.4874830284807,-65580.8575520829
0,65538.3700690545,-16060.1507853701,-49478.2192836843
0,65538.3700690545,-34183.1891756871,-31355.1808933673
0,65538.3700690545,-52306.2275660042,-13232.1425030503
0,60964.5639933181,-65380.7750684226,4416.21107510447
0,60964.5639933181,-78455.3225708409,17490.7585775229
0,60964.5639933181,-97487.1231809266,36522.5591876085
0,60964.5639933181,-116518.923791012,55554.3597976942
0,16481.7251304953,-139755.757469058,123274.032338563
0,16481.7251304953,-162992.591147105,146510.866016609
0,16481.7251304953,-188060.384418738,171578.659288243
0,16481.7251304953,-213128.177690371,196646.452559876
0,28241.3614053601,-227588.468940088,199347.107534728
0,28241.3614053601,-242048.760189805,213807.398784445
0,28241.3614053601,-246998.625894506,218757.264489146
0,28241.3614053601,-251948.491599206,223707.130193846
0,3861177.88085563,-255452.467292468,-3605725.41356316
0,3861177.88085563,-258956.442985729,-3602221.4378699
0,3861177.88085563,-255699.532889402,-3605478.34796623
0,3861177.88085563,-252442.622793074,-3608735.25806255
0,3852038.97690747,-257962.416746673,-3594076.56016079
0,3852038.97690747,-263482.210700272,-3588556.76620719
0,3852038.97690747,-269468.079293875,-3582570.89761359
0,3852038.97690747,-275453.947887477,-3576585.02901999
0,104126.637510295,-270851.051931216,166724.414420922
0,104126.637510295,-266248.155974956,162121.518464661
0,104126.637510295,-258714.986425067,154588.348914772
0,104126.637510295,-251181.816875178,147055.179364883
0,98517.9652563213,-254152.605991519,155634.640735198
0,98517.9652563213,-257123.39510786,158605.429851538
0,98517.9652563213,-269495.157686233,170977.192429912
0,98517.9652563213,-281866.920264606,183348.955008285
0,54795.8743579504,-298955.801819415,244159.927461464
0,54795.8743579504,-316044.683374223,261248.809016273
0,54795.8743579504,-331168.676121915,276372.801763965
0,54795.8743579504,-346292.668869608,291496.794511657
0,148705.753703034,-350213.830658167,201508.076955133
0,148705.753703034,-354134.992446727,205429.238743693
0,148705.753703034,-344836.742978327,196130.989275292
0,148705.753703034,-335538.493509926,186832.739806892
0,211182.973727706,-328982.248717904,117799.274990197
0,211182.973727706,-322426.003925881,111243.030198175
0,211182.973727706,-324031.02300502,112848.049277313
0,211182.973727706,-325636.042084158,114453.068356452
0,175070.151506603,-329978.352610895,154908.201104292
0,175070.151506603,-334320.663137632,159250.511631029
0,175070.151506603,-356980.544331793,181910.39282519
0,175070.151506603,-379640.425525954,204570.274019351
0,158977.18817133,-424069.881032996,265092.692861666
0,158977.18817133,-468499.336540037,309522.148368707
0,158977.18817133,-523914.413001371,364937.224830041
0,158977.18817133,-579329.489462704,420352.301291374
0,299049.690074387,-652011.646918681,352961.956844294
0,299049.690074387,-724693.804374657,425644.11430027
0,299049.690074387,-789566.206472955,490516.516398568
0,299049.690074387,-854438.608571254,555388.918496866
0,396359.884933117,-908422.481908661,512062.596975545
0,396359.884933117,-962406.355246069,566046.470312952
0,396359.884933117,-1018907.96217427,622548.077241151
0,396359.884933117,-1075409.56910247,679049.684169349
0,325887.638506217,-1106135.76649313,780248.127986911
0,325887.638506217,-1136861.96388379,810974.325377573
0,325887.638506217,-1144971.62358399,819083.985077772
0,325887.638506217,-1153081.28328419,827193.644777971
0,250527.155062479,-1129647.75513962,879120.600077138
0,250527.155062479,-1106214.22699505,855687.071932567
0,250527.155062479,-1056849.75854634,806322.603483865
0,250527.155062479,-1007485.29009764,756958.135035163
0,197570.74604639,-942503.218227302,744932.472180912
0,197570.74604639,-877521.146356962,679950.400310572
0,197570.74604639,-814244.684605188,616673.938558798
0,197570.74604639,-750968.222853414,553397.476807024
0,174129.250894957,-688684.229747506,514554.978852548
0,174129.250894957,-626400.236641597,452270.98574664
0,174129.250894957,-562459.766921745,388330.516026788
0,174129.250894957,-498519.297201893,324390.046306935
0,192110.890083177,-440689.64745743,248578.757374254
0,192110.890083177,-382859.997712968,190749.107629791
0,192110.890083177,-334484.962173139,142374.072089962
0,192110.890083177,-286109.92663331,93999.0365501331
0,289980.898787475,-254499.995953142,-35480.9028343334
0,289980.898787475,-222890.065272974,-67090.8335145012
0,289980.898787475,-211198.590733553,-78782.3080539221
0,289980.898787475,-199507.116194132,-90473.782593343
0,320046.59461153,-198648.837828885,-121397.756782646
0,320046.59461153,-197790.559463637,-122256.035147893
0,320046.59461153,-207175.670140451,-112870.924471079
0,320046.59461153,-216560.780817266,-103485.813794265
0,271898.063584134,-231359.678647685,-40538.3849364487
0,271898.063584134,-246158.576478104,-25739.4871060294
0,271898.063584134,-264364.784477217,-7533.27910691657
0,271898.063584134,-282570.99247633,10672.9288921962
0,252357.727011089,-307709.593761758,55351.866750669
0,252357.727011089,-332848.195047185,80490.4680360968
0,252357.727011089,-352688.060634481,100330.333623393
0,252357.727011089,-372527.926221777,120170.199210688
0,289201.809831507,-367060.67276872,77858.8629372132
0,289201.809831507,-361593.419315663,72391.6094841564
0,289201.809831507,-339915.724702498,50713.9148709911
0,289201.809831507,-318238.030089333,29036.2202578259
331091,337414.531678616,-271200.732587347,264877.200908731
0,337414.531678616,-224163.435085362,-113251.096593255
0,337414.531678616,-172273.813554647,-165140.71812397
0,337414.531678616,-120384.192023932,-217030.339654684
0,279562.601396219,-76264.9588473471,-203297.642548872
0,279562.601396219,-32145.7256707621,-247416.875725457
0,279562.601396219,8578.1825405089,-288140.783936728
0,279562.601396219,49302.0907517799,-328864.692147999
0,205353.075235873,77406.0233763099,-282759.098612183
0,205353.075235873,105509.95600084,-310863.031236713
0,205353.075235873,128000.642331761,-333353.717567634
0,205353.075235873,150491.328662683,-355844.403898556
0,268174.686437676,178918.094797271,-447092.781234947
0,268174.686437676,207344.86093186,-475519.547369535
0,268174.686437676,241342.604405833,-509517.290843508
0,268174.686437676,275340.347879805,-543515.034317481
0,231831.587501146,310124.740744491,-541956.328245637
0,231831.587501146,344909.133609177,-576740.721110323
0,231831.587501146,377481.740409195,-609313.327910341
0,231831.587501146,410054.347209213,-641885.934710359
0,171325.549091265,442281.754992796,-613607.304084062
0,171325.549091266,474509.16277638,-645834.711867645
0,171325.549091266,499452.816169336,-670778.365260601
0,171325.549091266,524396.469562292,-695722.018653557
0,212336.279960256,550282.708374308,-762618.988334564
0,212336.279960256,576168.947186324,-788505.22714658
0,212336.279960256,599507.685051384,-811843.96501164
0,212336.279960256,622846.422916444,-835182.7028767
0,235849.702249078,647968.300972702,-883818.003221781
0,235849.702249078,673090.17902896,-908939.881278039
0,235849.702249078,693563.650474783,-929413.352723861
0,235849.702249078,714037.121920605,-949886.824169684
0,398248.479548572,722464.327561823,-1120712.80711039
150661,398248.479548572,730891.53320304,-978479.012751612
0,398248.479548572,735801.270528484,-1134049.75007706
0,398248.479548572,740711.007853929,-1138959.4874025
0,416387.715242125,735921.475628195,-1152309.19087032
0,416387.715242125,731131.943402462,-1147519.65864459
0,416387.715242125,711951.596778308,-1128339.31202043
0,416387.715242125,692771.250154154,-1109158.96539628
0,327958.552753981,669896.427910144,-997854.980664125
0,327958.552753981,647021.605666134,-974980.158420115
0,327958.552753981,613144.661752182,-941103.214506163
0,327958.552753981,579267.71783823,-907226.270592211
0,397577.3559279,536720.959925521,-934298.315853421
0,397577.3559279,494174.202012812,-891751.557940712
0,397577.3559279,448244.618181015,-845821.974108915
0,397577.3559279,402315.034349217,-799892.390277117
0,416804.484830762,353053.007989489,-769857.492820252
0,416804.484830762,303790.981629762,-720595.466460524
0,416804.484830762,260387.166827103,-677191.651657865
0,416804.484830762,216983.352024444,-633787.836855206
0,285504.852242823,190704.898155136,-476209.750397958
0,285504.852242823,164426.444285828,-449931.29652865
0,285504.852242823,143667.156259104,-429172.008501927
0,285504.852242823,122907.86823238,-408412.720475203
0,329372.71793805,112700.733927227,-442073.451865277
0,329372.71793805,102493.599622073,-431866.317560123
0,329372.71793805,111621.331725192,-440994.049663242
0,329372.71793805,120749.063828311,-450121.781766361
0,378429.540669779,144877.108385253,-523306.649055032
0,378429.540669779,169005.152942194,-547434.693611974
0,378429.540669779,192020.0136856,-570449.55435538
0,378429.540669779,215034.874429006,-593464.415098785
0,326851.745485679,249942.376209438,-576794.121695117
0,326851.745485679,284849.877989869,-611701.623475548
0,326851.745485679,312934.24443436,-639785.989920039
0,326851.745485679,341018.610878851,-667870.35636453
0,302924.570276065,344708.295103629,-647632.865379695
0,302924.570276065,348397.979328408,-651322.549604473
0,302924.570276065,349287.516970569,-652212.087246634
0,302924.570276065,350177.05461273,-653101.624888795
0,246690.321128941,348707.529512575,-595397.850641515
0,246690.321128941,347238.00441242,-593928.325541361
0,246690.321128941,338418.331813645,-585108.652942585
0,246690.321128941,329598.65921487,-576288.98034381
0,311913.441394288,324132.985679098,-636046.427073386
0,311913.441394288,318667.312143327,-630580.753537615
0,311913.441394288,319176.330191077,-631089.771585366
0,311913.441394288,319685.348238828,-631598.789633116
0,329142.878035262,326115.447754189,-655258.325789451
0,329142.878035262,332545.54726955,-661688.425304811
0,329142.878035262,342471.795487729,-671614.673522991
0,329142.878035262,352398.043705908,-681540.92174117
126088,333965.300449951,374027.881463732,-581905.181913683
0,333965.300449951,395657.719221556,-729623.019671507
0,333965.300449951,422833.429502812,-756798.729952763
10844,333965.300449951,450009.139784068,-773130.440234019
0,380165.566014851,466878.867697454,-847044.433712305
0,380165.566014851,483748.595610839,-863914.16162569
0,380165.566014851,499142.138880185,-879307.704895036
47748,380165.566014851,514535.682149531,-846953.248164381
0,403856.805153942,530109.387715685,-933966.192869627
0,403856.805153942,545683.09328184,-949539.898435781
0,403856.805153942,550475.719004515,-954332.524158456
