"NumTransactionsPerBlock","seasonal","trend","remainder"
1,18.8664897990676,-17.0079207443953,-0.858569054672351
1,18.9696089423076,-19.5921730508913,1.62256410858365
1,18.9696089423076,-22.1764253573873,4.20681641507965
1,18.9696089423076,-24.6613563835805,6.69174744127286
1,18.9696089423076,-27.1462874097737,9.17667846746606
1,23.2273963460851,-29.5856792271497,7.35828288106451
1,23.2273963460851,-32.0250710445257,9.79767469844051
1,23.2273963460851,-34.0611443637881,11.8337480177029
1,23.2273963460851,-36.0972176830505,13.8698213369654
1,27.0424811925866,-36.7841541807135,10.7416729881269
1,27.0424811925866,-37.4710906783765,11.4286094857899
1,27.0424811925866,-37.6138696104047,11.571388417818
1,27.0424811925866,-37.7566485424328,11.7141673498462
1,31.7290735805559,-37.5275759496863,6.79850236913037
1,31.7290735805559,-37.2985033569398,6.56942977638386
1,31.7290735805559,-37.0625142863825,6.33344070582659
1,31.7290735805559,-36.8265252158252,6.09745163526933
1,35.3052473813683,-36.8800735006865,2.57482611931829
1,35.3052473813683,-36.9336217855479,2.6283744041796
1,35.3052473813683,-36.8233101491779,2.5180627678096
1,35.3052473813683,-36.7129985128079,2.4077511314396
1,36.5622609911991,-36.505979250851,0.943718259651881
1,36.5622609911991,-36.2989599888941,0.736698997694994
1,36.5622609911991,-35.8099829675138,0.247721976314679
1,36.5622609911991,-35.3210059461335,-0.241255045065643
1,36.3136160664362,-34.6714486552256,-0.642167411210572
1,36.3136160664362,-34.0218913643177,-1.29172470211844
1,36.3136160664362,-34.1016375422004,-1.21197852423572
1,36.3136160664362,-34.1813837200832,-1.132232346353
1,37.3607592797177,-34.9153178103588,-1.44544146935894
1,37.3607592797177,-35.6492519006344,-0.711507379083294
1,37.3607592797177,-37.0042243887005,0.643465108982802
1,37.3607592797177,-38.3591968767666,1.9984375970489
1,41.7798372769674,-40.1611359161582,-0.61870136080924
1,41.7798372769674,-41.9630749555497,1.18323767858227
1,41.7798372769674,-43.2836781063819,2.50384082941449
1,41.7798372769674,-44.6042812572141,3.82444398024671
1,41.6306172982401,-45.3804670585998,4.74984976035971
1,41.6306172982401,-46.1566528599855,5.52603556174541
1,41.6306172982401,-47.0287411972778,6.39812389903772
1,41.6306172982401,-47.9008295345701,7.27021223633003
1,42.2647848055495,-49.297757159938,8.03297235438847
1,42.2647848055495,-50.6946847853058,9.42989997975629
1,42.2647848055495,-52.584763233802,11.3199784282525
1,42.2647848055495,-54.4748416822982,13.2100568767487
1,37.417483196636,-56.7331659976756,20.3156828010396
1,37.417483196636,-58.9914903130531,22.5740071164171
1,37.417483196636,-60.9700995457799,24.5526163491439
1,37.417483196636,-62.9487087785068,26.5312255818707
1,34.3858744770795,-64.5042242027452,31.1183497256658
1,34.3858744770795,-66.0597396269837,32.6738651499042
1,34.3858744770795,-66.8662989173953,33.4804244403159
1,34.3858744770795,-67.672858207807,34.2869837307275
1,37.4323036323736,-67.9887692696002,31.5564656372266
1,37.4323036323736,-68.3046803313935,31.8723766990199
1,37.4323036323736,-67.9469500372669,31.5146464048932
1,37.4323036323736,-67.5892197431402,31.1569161107666
1,38.7934196005955,-66.2639497650997,28.4705301645042
1,38.7934196005955,-64.9386797870592,27.1452601864636
1,38.7934196005955,-62.9816411291833,25.1882215285878
1,38.7934196005955,-61.0246024713075,23.231182870712
1,38.85066899925,-59.1575908823962,21.3069218831462
1,38.85066899925,-57.2905792934848,19.4399102942348
1,38.85066899925,-55.2123267670632,17.3616577678132
1,38.85066899925,-53.1340742406416,15.2834052413916
1,34.973073210635,-51.3668229388371,17.393749728202
1,34.973073210635,-49.5995716370325,15.6264984263975
1,34.973073210635,-48.3088128597957,14.3357396491606
1,34.973073210635,-47.0180540825588,13.0449808719237
1,36.5653669127923,-45.714466444456,10.1490995316637
1,36.5653669127923,-44.4108788063532,8.84551189356089
1,36.5653669127923,-43.0792610563273,7.51389414353504
1,36.5653669127923,-41.7476433063015,6.18227639350918
1,40.391533157208,-41.0830015950454,1.69146843783732
1,40.391533157208,-40.4183598837893,1.02682672658122
1,40.391533157208,-40.3521556210057,0.960622463797627
1,40.391533157208,-40.2859513582221,0.894418201014034
1,40.8103858662503,-40.9545224238646,1.14413655761425
1,40.8103858662503,-41.623093489507,1.81270762325673
1,40.8103858662503,-42.8748359751071,3.06445010885676
1,40.8103858662503,-44.1265784607071,4.31619259445679
1,39.5526304057477,-45.2514698997828,6.69883949403516
1,39.5526304057477,-46.3763613388585,7.82373093311086
1,39.5526304057477,-47.2406239525535,8.68799354680584
1,39.5526304057477,-48.1048865662485,9.55225616050082
1,34.5948193394297,-48.7732580475934,15.1784387081637
1,34.5948193394297,-49.4416295289384,15.8468101895087
1,34.5948193394297,-50.3009315042959,16.7061121648662
1,34.5948193394297,-51.1602334796534,17.5654141402237
1,34.1398582471214,-52.5698672669356,19.4300090198142
1,34.1398582471214,-53.9795010542179,20.8396428070965
1,34.1398582471214,-55.3009761466675,22.1611178995461
1,34.1398582471214,-56.6224512391171,23.4825929919957
1,37.4001755155126,-57.7903099635065,21.3901344479939
1,37.4001755155126,-58.9581686878959,22.5579931723833
1,37.4001755155126,-60.0328882580652,23.6327127425525
1,37.4001755155126,-61.1076078282344,24.7074323127217
1,36.4850147070559,-61.4060913769305,25.9210766698747
1,36.4850147070559,-61.7045749256267,26.2195602185709
1,36.4850147070559,-61.3208730301218,25.8358583230659
1,36.4850147070559,-60.9371711346168,25.452156427561
1,35.3610027343781,-60.2406410466376,25.8796383122595
1,35.3610027343781,-59.5441109586584,25.1831082242803
1,35.3610027343781,-58.1875976825432,23.8265949481652
1,35.3610027343781,-56.831084406428,22.47008167205
1,34.0578175197061,-54.4827685309563,21.4249510112503
1,34.0578175197061,-52.1344526554846,19.0766351357785
1,34.0578175197061,-48.6378417977857,15.5800242780796
1,34.0578175197061,-45.1412309400868,12.0834134203807
1,30.285275121778,-40.4600283344965,11.1747532127184
1,30.285275121778,-35.7788257289062,6.49355060712819
1,30.285275121778,-30.2743274877628,0.989052365984726
1,30.285275121778,-24.7698292466193,-4.51544587515874
1,32.266311967252,-19.4757114124067,-11.7906005548453
1,32.266311967252,-14.1815935781941,-17.0847183890579
1,32.266311967252,-9.64657602479501,-21.619735942457
