"NumUniqueAdresses","seasonal","trend","remainder"
1,6816.03151215145,-6461.04049778503,-353.991014366415
0,7175.1132900898,-6598.21741222308,-576.895877866713
0,7175.1132900898,-6735.39432666113,-439.718963428663
0,7175.1132900898,-6886.56883760734,-288.544452482456
0,7175.1132900898,-7037.74334855355,-137.36994153625
0,7002.5497080123,-7182.65055505584,180.100847043545
14,7002.5497080123,-7327.55776155814,339.00805354584
31,7002.5497080123,-7530.94927107887,559.399563066576
106,7002.5497080123,-7734.34078059961,837.791072587311
96,6164.65253118282,-8040.68650205657,1972.03397087376
117,6164.65253118282,-8347.03222351354,2299.37969233073
126,6164.65253118282,-8612.40092361277,2573.74839242995
136,6164.65253118282,-8877.76962371199,2849.11709252917
117,6158.96648640263,-9097.44734712593,3055.4808607233
109,6158.96648640263,-9317.12507053987,3267.15858413724
101,6158.96648640263,-9539.86374707887,3481.89726067624
120,6158.96648640263,-9762.60242361786,3723.63593721523
118,6844.78459912121,-10011.633251896,3284.84865277481
115,6844.78459912121,-10260.6640801742,3530.87948105298
76,6844.78459912121,-10573.747406698,3804.96280757682
68,6844.78459912121,-10886.8307332219,4110.04613410066
201,7698.33285789528,-11307.8125997956,3810.47974190036
195,7698.33285789528,-11728.7944663694,4225.46160847412
116,7698.33285789528,-12202.5120038976,4620.17914600234
105,7698.33285789528,-12676.2295414258,5082.89668353055
103,8476.52884464036,-13132.2027751334,4758.67393049303
122,8476.52884464036,-13588.1760088409,5233.64716420059
122,8476.52884464036,-13994.496147411,5639.96730277067
129,8476.52884464036,-14400.8162859811,6053.28744134076
118,7924.70845922662,-14706.6316692167,6899.92320999008
127,7924.70845922662,-15012.4470524523,7214.73859322565
145,7924.70845922662,-15236.0310576247,7456.32259839811
129,7924.70845922662,-15459.6150627972,7663.90660357056
121,7818.88084367628,-15630.7516010591,7932.8707573828
129,7818.88084367628,-15801.888139321,8112.00729564471
131,7818.88084367628,-15942.8024708335,8254.92162715725
135,7818.88084367628,-16083.7168023461,8399.83595866979
129,8341.66361562111,-16286.991968915,8074.32835329386
127,8341.66361562111,-16490.2671354839,8275.60351986275
132,8341.66361562111,-16735.5959213403,8525.93230571919
119,8341.66361562111,-16980.9247071967,8758.26109157562
124,8651.63201369146,-17197.7367534761,8670.10473978463
141,8651.63201369146,-17414.5487997554,8903.91678606397
125,8651.63201369146,-17569.6592959951,9043.02728230362
123,8651.63201369146,-17724.7697922347,9196.13777854327
119,9447.78725928783,-17870.1109493112,8541.3236900234
124,9447.78725928783,-18015.4521063877,8691.66484709989
117,9447.78725928783,-18168.9441897395,8838.15693045169
129,9447.78725928783,-18322.4362730913,9003.6490138035
110,9619.07318760135,-18473.5089709501,8964.43578334878
125,9619.07318760135,-18624.5816688089,9130.50848120758
107,9619.07318760135,-18764.8934066376,9252.82021903629
111,9619.07318760135,-18905.2051444663,9397.131956865
107,9684.58675136439,-18955.4432502977,9377.85649893328
96,9684.58675136439,-19005.681356129,9417.09460476461
123,9684.58675136439,-18883.2012771749,9321.61452581054
103,9684.58675136439,-18760.7211982209,9179.13444685647
107,10219.2058993557,-18528.9612219966,8416.75532264085
104,10219.2058993557,-18297.2012457723,8181.99534641659
107,10219.2058993557,-17992.5036348995,7880.29773554373
106,10219.2058993557,-17687.8060240266,7574.60012467088
108,10175.7830124886,-17311.7338018596,7243.95078937094
119,10175.7830124886,-16935.6615796925,6878.87856720388
111,10175.7830124886,-16502.195252909,6437.41224042043
115,10175.7830124886,-16068.7289261256,6007.94591363698
113,9625.99757485918,-15629.1026566623,6116.10508180313
105,9625.99757485918,-15189.476387199,5668.47881233984
108,9625.99757485918,-14749.1236728211,5231.1260979619
119,9625.99757485918,-14308.7709584431,4801.77338358396
115,9731.67195540821,-13870.9729831244,4254.3010277162
116,9731.67195540821,-13433.1750078057,3817.50305239747
111,9731.67195540821,-13090.6355314894,3469.96357608122
131,9731.67195540821,-12748.0960551732,3147.42409976497
115,10454.292731504,-12571.2085661659,2231.91583466196
110,10454.292731504,-12394.3210771587,2050.0283456547
123,10454.292731504,-12328.4427958345,1997.15006433052
119,10454.292731504,-12262.5645145103,1927.27178300633
77,11017.2757290704,-12295.2347433547,1354.95901428436
96,11017.2757290704,-12327.9049721992,1406.6292431288
132,11017.2757290704,-12466.8190501665,1581.54332109612
105,11017.2757290704,-12605.7331281338,1693.45739906344
116,11773.8719296632,-12786.6010307642,1128.72910110093
114,11773.8719296632,-12967.4689333945,1307.59700373129
110,11773.8719296632,-13133.2611865429,1469.38925687969
120,11773.8719296632,-13299.0534396913,1645.18151002809
112,12192.8383230292,-13524.0257768138,1443.18745378461
125,12192.8383230292,-13748.9981139363,1681.15979090711
114,12192.8383230292,-14061.0330093547,1982.19468632545
107,12192.8383230292,-14373.067904773,2287.22958174379
120,12547.3993022188,-14679.1814189304,2251.78211671161
113,12547.3993022188,-14985.2949330878,2550.895630869
113,12547.3993022188,-15265.0919322892,2830.69263007043
129,12547.3993022188,-15544.8889314907,3126.48962927186
116,13060.0499724535,-15791.6876374632,2847.63766500968
99,13060.0499724535,-16038.4863434358,3077.43637098223
104,13060.0499724535,-16186.7785968765,3230.72862442292
99,13060.0499724535,-16335.0708503171,3374.02087786362
103,13781.2194293003,-16325.1510113154,2646.93158201504
123,13781.2194293003,-16315.2311723136,2657.01174301324
115,13781.2194293003,-16135.513617798,2469.29418849767
