"NumTransactionsExcludingPopular","seasonal","trend","remainder"
1,2822.2108821403,-2850.22290895639,29.0120268160836
0,2931.07938242524,-2917.98471297109,-13.0946694541535
0,2931.07938242524,-2985.74651698579,54.6671345605459
0,2931.07938242524,-3053.64690528237,122.567522857129
0,2931.07938242524,-3121.54729357895,190.467911153712
0,3198.0369909614,-3187.55079999944,-10.4861909619567
14,3198.0369909614,-3253.55430641993,69.5173154585327
31,3198.0369909614,-3321.96897383114,154.931982869747
106,3198.0369909614,-3390.38364124236,298.346650280962
95,3016.53417806702,-3482.5229784087,560.98880034168
116,3016.53417806702,-3574.66231557505,674.128137508023
126,3016.53417806702,-3672.82046353617,782.286285469148
136,3016.53417806702,-3770.9786114973,890.444433430273
117,3004.96543179571,-3883.10105177444,995.135619978731
109,3004.96543179571,-3995.22349205159,1099.25806025588
101,3004.96543179571,-4128.23374661679,1224.26831482108
120,3004.96543179571,-4261.244001182,1376.27856938629
118,3123.77537813039,-4416.0058025874,1410.23042445701
115,3123.77537813039,-4570.7676039928,1561.9922258624
76,3123.77537813039,-4730.60339793987,1682.82801980948
68,3123.77537813039,-4890.43919188695,1834.66381375656
201,3366.77905183025,-5032.25103695423,1866.47198512398
195,3366.77905183025,-5174.06288202152,2002.28383019127
116,3366.77905183025,-5315.03803840114,2064.2589865709
105,3366.77905183025,-5456.01319478077,2194.23414295052
103,3682.26948064448,-5567.4117256484,1988.14224500393
122,3682.26948064448,-5678.81025651604,2118.54077587156
122,3682.26948064448,-5763.30091630618,2203.0314356617
129,3682.26948064448,-5847.79157609632,2294.52209545185
118,3565.21896739392,-5932.74603063599,2485.52706324208
127,3565.21896739392,-6017.70048517566,2579.48151778174
150,3565.21896739392,-6104.4605782605,2689.24161086658
126,3565.21896739392,-6191.22067134533,2752.00170395141
121,3523.04228394267,-6292.66578927131,2890.62350532864
129,3523.04228394267,-6394.11090719729,3000.06862325462
130,3523.04228394267,-6499.39086972061,3106.34858577794
135,3523.04228394267,-6604.67083224392,3216.62854830125
129,3506.48647509393,-6708.16556835217,3330.67909325824
127,3506.48647509393,-6811.66030446042,3432.17382936648
132,3506.48647509393,-6900.74203029717,3526.25555520324
119,3506.48647509393,-6989.82375613392,3602.33728103999
124,3666.83736295624,-7009.1620708182,3466.32470786196
141,3666.83736295624,-7028.50038550248,3502.66302254624
125,3666.83736295624,-7008.00035408015,3466.1629911239
123,3666.83736295624,-6987.50032265782,3443.66295970157
119,4086.49305717252,-6999.32072114246,3031.82766396994
124,4086.49305717252,-7011.1411196271,3048.64806245458
117,4086.49305717252,-7050.88675638788,3081.39369921535
129,4086.49305717252,-7090.63239314865,3133.13933597613
110,4123.01263962929,-7163.19139861409,3150.1787589848
125,4123.01263962929,-7235.75040407952,3237.73776445024
107,4123.01263962929,-7352.65212560688,3336.63948597759
111,4123.01263962929,-7469.55384713423,3457.54120750495
107,4053.68211487762,-7575.14276290684,3628.46064802922
96,4053.68211487762,-7680.73167867945,3723.04956380182
123,4053.68211487762,-7737.66467934231,3806.98256446468
103,4053.68211487762,-7794.59768000517,3843.91556512754
107,4353.47851237267,-7793.29724456951,3546.81873219684
104,4353.47851237267,-7791.99680913386,3542.51829676119
108,4353.47851237267,-7728.81690592593,3483.33839355326
106,4353.47851237267,-7665.63700271801,3418.15849034534
108,4546.42809757894,-7516.06225459315,3077.63415701421
119,4546.42809757894,-7366.48750646828,2939.05940888935
