"SP500.High","seasonal","trend","remainder"
935.363321667,11.2282146435965,934.493174395939,-10.3580673725356
935.996663333,19.4319906863927,930.509734877091,-13.9450622304837
936.630005,19.4319906863927,926.526295358243,-9.32828104463545
943.849976,19.4319906863927,922.449368988494,1.96861632511286
927.450012,19.4319906863927,918.372442618746,-10.3544213051389
910,14.5414289148281,914.240889327594,-18.7823182424216
911.929993,14.5414289148281,910.109336036441,-12.7207719512692
904.753336667,14.5414289148281,905.934009786624,-15.7221020344524
897.576680333,14.5414289148281,901.758683536808,-18.7234321186356
890.400024,10.1862263403202,897.063937165641,-16.8501395059616
877.02002,10.1862263403202,892.369190794475,-25.5353971347955
867.280029,10.1862263403202,888.717807023673,-31.6240043639928
851.590027,10.1862263403202,885.06642325287,-43.6626225931899
858.130005,3.91894497805982,881.801139253723,-27.5900792317826
856.0075075,3.91894497805982,878.535855254576,-26.4472927326357
853.88501,3.91894497805982,876.672470597256,-26.7064055753154
851.7625125,3.91894497805982,874.809085939935,-26.9655184179951
849.640015,-0.541784229086936,874.085218578391,-23.9034193493039
841.719971,-0.541784229086936,873.361351216846,-31.0995959877594
839.73999,-0.541784229086936,873.254905525832,-32.9731312967451
838.609985,-0.541784229086936,873.148459834818,-33.9966906057309
843.249999667,-2.26416499512192,873.649955990848,-28.1357913287263
847.890014333,-2.26416499512192,874.151452146879,-23.9972728187568
852.530029,-2.26416499512192,876.096069102728,-21.3018751076063
850.450012,-2.26416499512192,878.040686058578,-25.3265090634559
877.859985,-4.64766671421883,878.420955620587,4.08669609363187
868.890015,-4.64766671421883,878.801225182596,-5.26354346837752
851.659973,-4.64766671421883,879.084993160619,-22.7773534463996
844.699991667,-4.64766671421883,879.368761138641,-30.021102757422
837.740010333,-7.12437792646536,879.205606817989,-34.3412185585239
830.780029,-7.12437792646536,879.042452497338,-41.1380455708725
842.599976,-7.12437792646536,878.76124261491,-29.0368886884444
851.849976,-7.12437792646536,878.480032732482,-19.5056788060162
850.549988,-10.5610490260928,877.925855848992,-16.8148188228992
870.75,-10.5610490260928,877.371678965502,3.93937006059048
872.170003333,-10.5610490260928,874.018918377273,8.71213398181942
873.590006667,-10.5610490260928,870.666157789045,13.4848979040484
875.01001,-13.2542474785445,865.365312464322,22.898945014222
868.049988,-13.2542474785445,860.0644671396,21.2397683389443
838.219971,-13.2542474785445,856.395425871187,-4.92120739264249
835.47998,-13.2542474785445,852.726384602774,-3.99215712422938
839.429993,-17.0541717320287,849.067609492092,7.41655523993654
834.224991,-17.0541717320287,845.408834381411,5.87032835061825
829.019989,-17.0541717320287,840.324017291949,5.75014344008002
823.814987,-17.0541717320287,835.239200202487,5.6299585295418
818.609985,-21.4471893234446,827.22475231311,12.8324220103347
796.169983,-21.4471893234446,819.210304423733,-1.59313210028836
797.580017,-21.4471893234446,812.251229738525,6.77597658491925
778.690002,-21.4471893234446,805.292155053318,-5.1549637298732
778.409993333,-23.1286409037622,799.857011517037,1.68162271972506
778.129984667,-23.1286409037622,794.421867980756,6.83675759000573
777.849976,-23.1286409037622,787.923379906517,13.0552369972451
775.48999,-23.1286409037622,781.424891832278,17.1937390714845
780.119995,-23.4977992335986,775.510067881462,28.1077263521362
779.419983,-23.4977992335986,769.595243930647,33.3225383029516
751.27002,-23.4977992335986,765.129765718622,9.63805351497626
744.036682333,-23.4977992335986,760.664287506598,6.87019406000104
736.803344667,-23.2642030479287,756.317288035564,3.75025967936506
729.570007,-23.2642030479287,751.97028856453,0.863921483399054
711.669983,-23.2642030479287,749.566129430828,-14.6319433828992
724.119995,-23.2642030479287,747.161970297126,0.222227750802631
708.27002,-24.9469780215575,743.801161736929,-10.5841637153715
699.090027,-24.9469780215575,740.440353176732,-16.4033481551744
697.816691333,-24.9469780215575,742.770943338557,-20.0072739839995
696.543355667,-24.9469780215575,745.101533500382,-23.6111998118247
695.27002,-26.0341156796765,752.537149746767,-31.2330140670909
719.599976,-26.0341156796765,759.972765993153,-14.3386743134764
731.919983,-26.0341156796765,761.68688393197,-3.73278525229398
752.630005,-26.0341156796765,763.401001870788,15.2631188088884
758.289978,-27.4071863828018,764.907872428545,20.789291954257
763.703328333,-27.4071863828018,766.414742986301,24.6957717295003
769.116678667,-27.4071863828018,768.103266002415,28.4205990473863
774.530029,-27.4071863828018,769.791789018529,32.1454263642723
778.119995,-28.9380432169403,772.944775096197,34.1132631207431
803.039978,-28.9380432169403,776.097761173865,55.8802600430753
803.23999,-28.9380432169403,779.449731652908,52.7283015640326
788.909973,-28.9380432169403,782.801702131951,35.0463140849897
800.396647,-29.0212928352069,786.501385332325,42.9165545028819
811.883321,-29.0212928352069,790.201068532699,50.7035453025076
823.369995,-29.0212928352069,792.428602653719,59.9626851814876
823.650024,-29.0212928352069,794.656136774739,58.0151800604675
826.780029,-28.0306135464548,795.991603012826,58.8190395336289
832.97998,-28.0306135464548,797.327069250912,63.6835242955424
828.679993,-28.0306135464548,798.060064669032,58.6505418774225
822.143331,-28.0306135464548,798.793060087152,51.3808844593026
815.606669,-26.2839349033681,799.53616858864,42.3544353147283
809.070007,-26.2839349033681,800.279277090127,35.0746648132407
810.47998,-26.2839349033681,800.645565540173,36.1183493631952
813.619995,-26.2839349033681,801.011853990218,38.8920759131498
845.609985,-28.152689946202,802.439041079184,71.3236338670181
842.5,-28.152689946202,803.866228168149,66.7864617780525
841.583333333,-28.152689946202,805.404157066196,64.3318662130058
840.666666667,-28.152689946202,806.942085964243,61.8772706489589
839.75,-31.6435589762875,809.49009355369,61.9034654225976
