,HashRate
2009-05-17 18:15:05,0.0062137837037
2009-05-18 18:15:05,0.00616407343407
2009-05-19 18:15:05,0.00497102696296
2009-05-20 18:15:05,0.00516986804148
2009-05-21 18:15:05,0.00442421399704
2009-05-22 18:15:05,0.00412595237926
2009-05-23 18:15:05,0.000347971887407
2009-05-24 18:15:05,0.00477218588444
2009-05-25 18:15:05,0.00556755019852
2009-05-26 18:15:05,0.00561726046815
2009-05-27 18:15:05,0.0062137837037
2009-05-28 18:15:05,0.00512015777185
2009-05-29 18:15:05,0.00531899885037
2009-05-30 18:15:05,0.00512015777185
2009-05-31 18:15:05,0.0058658118163
2009-06-01 18:15:05,0.00362884968296
2009-06-02 18:15:05,0.00442421399704
2009-06-03 18:15:05,0.0048716064237
2009-06-04 18:15:05,0.00193870051556
2009-06-05 18:15:05,0.00283348536889
2009-06-06 18:15:05,0.00119304647111
2009-06-07 18:15:05,0.000198841078519
2009-06-08 18:15:05,0.00357913941333
2009-06-09 18:15:05,0.00467276534519
2009-06-10 18:15:05,0.00412595237926
2009-06-11 18:15:05,0.00462305507556
2009-06-12 18:15:05,0.0045236345363
2009-06-13 18:15:05,0.00367855995259
2009-06-14 18:15:05,0.00347971887407
2009-06-15 18:15:05,0.00407624210963
2009-06-16 18:15:05,0.00362884968296
2009-06-17 18:15:05,0.00382769076148
2009-06-18 18:15:05,0.00402653184
2009-06-19 18:15:05,0.00432479345778
2009-06-20 18:15:05,0.00417566264889
2009-06-21 18:15:05,0.00372827022222
2009-06-22 18:15:05,0.00397682157037
2009-06-23 18:15:05,0.00377798049185
2009-06-24 18:15:05,0.00422537291852
2009-06-25 18:15:05,0.00367855995259
2009-06-26 18:15:05,0.00442421399704
2009-06-27 18:15:05,0.00422537291852
2009-06-28 18:15:05,0.00253522375111
2009-06-29 18:15:05,0.00377798049185
2009-06-30 18:15:05,0.00432479345778
2009-07-01 18:15:05,0.00412595237926
2009-07-02 18:15:05,0.00357913941333
2009-07-03 18:15:05,0.00412595237926
2009-07-04 18:15:05,0.00442421399704
2009-07-05 18:15:05,0.00397682157037
2009-07-06 18:15:05,0.0045236345363
2009-07-07 18:15:05,0.00313174698667
2009-07-08 18:15:05,0.00392711130074
2009-07-09 18:15:05,0.00402653184
2009-07-10 18:15:05,0.00407624210963
2009-07-11 18:15:05,0.00417566264889
2009-07-12 18:15:05,0.00377798049185
2009-07-13 18:15:05,0.00377798049185
2009-07-14 18:15:05,0.00357913941333
2009-07-15 18:15:05,0.00228667240296
2009-07-16 18:15:05,0.00343000860444
2009-07-17 18:15:05,0.00323116752593
2009-07-18 18:15:05,0.000149130808889
2009-07-19 18:15:05,0.00258493402074
2009-07-20 18:15:05,0.00372827022222
2009-07-21 18:15:05,0.00367855995259
2009-07-22 18:15:05,0.00343000860444
2009-07-23 18:15:05,0.00328087779556
2009-07-24 18:15:05,0.00372827022222
2009-07-25 18:15:05,0.00263464429037
2009-07-26 18:15:05,0.000646233505185
2009-07-27 18:15:05,0.0031814572563
2009-07-28 18:15:05,0.0021872518637
2009-07-29 18:15:05,0.00159072862815
2009-07-30 18:15:05,0.000695943774815
2009-07-31 18:15:05,0.000596523235556
2009-08-01 18:15:05,0.00114333620148
2009-08-02 18:15:05,0.00149130808889
2009-08-03 18:15:05,0.000745654044444
2009-08-04 18:15:05,0.00288319563852
2009-08-05 18:15:05,0.0045236345363
2009-08-06 18:15:05,0.00477218588444
2009-08-07 18:15:05,0.00367855995259
2009-08-08 18:15:05,0.00407624210963
2009-08-09 18:15:05,0.0048716064237
2009-08-10 18:15:05,0.00407624210963
2009-08-11 18:15:05,0.00333058806519
2009-08-12 18:15:05,0.00338029833481
2009-08-13 18:15:05,0.00402653184
2009-08-14 18:15:05,0.00323116752593
2009-08-15 18:15:05,0.00169014916741
2009-08-16 18:15:05,0.00124275674074
2009-08-17 18:15:05,0.000845074583704
2009-08-18 18:15:05,0.000447392426667
2009-08-19 18:15:05,0.000745654044444
2009-08-20 18:15:05,0.00119304647111
2009-08-21 18:15:05,0.000795364314074
2009-08-22 18:15:05,0.000397682157037
2009-08-23 18:15:05,0.000596523235556
2009-08-24 18:15:05,0.000397682157037
