,TotalBitcoins
2009-06-07 18:15:05,829600.0
2009-06-08 18:15:05,833200.0
2009-06-09 18:15:05,837900.0
2009-06-10 18:15:05,842050.0
2009-06-11 18:15:05,846700.0
2009-06-12 18:15:05,851250.0
2009-06-13 18:15:05,854950.0
2009-06-14 18:15:05,858450.0
2009-06-15 18:15:05,862550.0
2009-06-16 18:15:05,866200.0
2009-06-17 18:15:05,870050.0
2009-06-18 18:15:05,874100.0
2009-06-19 18:15:05,878450.0
2009-06-20 18:15:05,882650.0
2009-06-21 18:15:05,886400.0
2009-06-22 18:15:05,890400.0
2009-06-23 18:15:05,894200.0
2009-06-24 18:15:05,898450.0
2009-06-25 18:15:05,902150.0
2009-06-26 18:15:05,906600.0
2009-06-27 18:15:05,910850.0
2009-06-28 18:15:05,913400.0
2009-06-29 18:15:05,917200.0
2009-06-30 18:15:05,921550.0
2009-07-01 18:15:05,925700.0
2009-07-02 18:15:05,929300.0
2009-07-03 18:15:05,933450.0
2009-07-04 18:15:05,937900.0
2009-07-05 18:15:05,941900.0
2009-07-06 18:15:05,946450.0
2009-07-07 18:15:05,949600.0
2009-07-08 18:15:05,953550.0
2009-07-09 18:15:05,957600.0
2009-07-10 18:15:05,961700.0
2009-07-11 18:15:05,965900.0
2009-07-12 18:15:05,969700.0
2009-07-13 18:15:05,973500.0
2009-07-14 18:15:05,977100.0
2009-07-15 18:15:05,979400.0
2009-07-16 18:15:05,982850.0
2009-07-17 18:15:05,986100.0
2009-07-18 18:15:05,986250.0
2009-07-19 18:15:05,988850.0
2009-07-20 18:15:05,992600.0
2009-07-21 18:15:05,996300.0
2009-07-22 18:15:05,999750.0
2009-07-23 18:15:05,1003050.0
2009-07-24 18:15:05,1006800.0
2009-07-25 18:15:05,1009450.0
2009-07-26 18:15:05,1010100.0
2009-07-27 18:15:05,1013300.0
2009-07-28 18:15:05,1015500.0
2009-07-29 18:15:05,1017100.0
2009-07-30 18:15:05,1017800.0
2009-07-31 18:15:05,1018400.0
2009-08-01 18:15:05,1019550.0
2009-08-02 18:15:05,1021050.0
2009-08-03 18:15:05,1021800.0
2009-08-04 18:15:05,1024700.0
2009-08-05 18:15:05,1029250.0
2009-08-06 18:15:05,1034050.0
2009-08-07 18:15:05,1037750.0
2009-08-08 18:15:05,1041850.0
2009-08-09 18:15:05,1046750.0
2009-08-10 18:15:05,1050850.0
2009-08-11 18:15:05,1054200.0
2009-08-12 18:15:05,1057600.0
2009-08-13 18:15:05,1061650.0
2009-08-14 18:15:05,1064900.0
2009-08-15 18:15:05,1066600.0
2009-08-16 18:15:05,1067850.0
2009-08-17 18:15:05,1068700.0
2009-08-18 18:15:05,1069150.0
2009-08-19 18:15:05,1069900.0
2009-08-20 18:15:05,1071100.0
2009-08-21 18:15:05,1071900.0
2009-08-22 18:15:05,1072300.0
2009-08-23 18:15:05,1072900.0
2009-08-24 18:15:05,1073300.0
2009-08-25 18:15:05,1076050.0
2009-08-26 18:15:05,1078150.0
