Date,NumTransactions
16/06/2009 18:15:05,73.0
17/06/2009 18:15:05,77.0
18/06/2009 18:15:05,81.0
19/06/2009 18:15:05,87.0
20/06/2009 18:15:05,84.0
21/06/2009 18:15:05,75.0
22/06/2009 18:15:05,81.0
23/06/2009 18:15:05,76.0
24/06/2009 18:15:05,87.0
25/06/2009 18:15:05,74.0
26/06/2009 18:15:05,90.0
27/06/2009 18:15:05,85.0
28/06/2009 18:15:05,52.0
29/06/2009 18:15:05,76.0
30/06/2009 18:15:05,89.0
01/07/2009 18:15:05,84.0
02/07/2009 18:15:05,72.0
03/07/2009 18:15:05,84.0
04/07/2009 18:15:05,89.0
05/07/2009 18:15:05,80.0
06/07/2009 18:15:05,91.0
07/07/2009 18:15:05,63.0
08/07/2009 18:15:05,79.0
09/07/2009 18:15:05,81.0
10/07/2009 18:15:05,82.0
11/07/2009 18:15:05,84.0
12/07/2009 18:15:05,76.0
13/07/2009 18:15:05,76.0
14/07/2009 18:15:05,72.0
15/07/2009 18:15:05,46.0
16/07/2009 18:15:05,69.0
17/07/2009 18:15:05,65.0
18/07/2009 18:15:05,3.0
19/07/2009 18:15:05,52.0
20/07/2009 18:15:05,75.0
21/07/2009 18:15:05,75.0
22/07/2009 18:15:05,69.0
23/07/2009 18:15:05,66.0
24/07/2009 18:15:05,75.0
25/07/2009 18:15:05,53.0
26/07/2009 18:15:05,13.0
27/07/2009 18:15:05,64.0
28/07/2009 18:15:05,44.0
29/07/2009 18:15:05,32.0
30/07/2009 18:15:05,16.0
31/07/2009 18:15:05,12.0
01/08/2009 18:15:05,23.0
02/08/2009 18:15:05,30.0
03/08/2009 18:15:05,15.0
04/08/2009 18:15:05,58.0
05/08/2009 18:15:05,91.0
06/08/2009 18:15:05,96.0
07/08/2009 18:15:05,74.0
08/08/2009 18:15:05,83.0
09/08/2009 18:15:05,98.0
10/08/2009 18:15:05,82.0
11/08/2009 18:15:05,67.0
12/08/2009 18:15:05,68.0
13/08/2009 18:15:05,81.0
14/08/2009 18:15:05,65.0
15/08/2009 18:15:05,34.0
16/08/2009 18:15:05,25.0
17/08/2009 18:15:05,17.0
18/08/2009 18:15:05,9.0
19/08/2009 18:15:05,15.0
20/08/2009 18:15:05,24.0
21/08/2009 18:15:05,16.0
22/08/2009 18:15:05,8.0
23/08/2009 18:15:05,12.0
24/08/2009 18:15:05,8.0
25/08/2009 18:15:05,55.0
26/08/2009 18:15:05,42.0
27/08/2009 18:15:05,33.0
28/08/2009 18:15:05,64.0
29/08/2009 18:15:05,83.0
30/08/2009 18:15:05,91.0
31/08/2009 18:15:05,95.0
01/09/2009 18:15:05,79.0
02/09/2009 18:15:05,68.0
03/09/2009 18:15:05,61.0
04/09/2009 18:15:05,63.0
05/09/2009 18:15:05,71.0
06/09/2009 18:15:05,72.0
07/09/2009 18:15:05,79.0
08/09/2009 18:15:05,66.0
09/09/2009 18:15:05,58.0
10/09/2009 18:15:05,61.0
11/09/2009 18:15:05,68.0
12/09/2009 18:15:05,71.0
13/09/2009 18:15:05,70.0
14/09/2009 18:15:05,81.0
15/09/2009 18:15:05,56.0
16/09/2009 18:15:05,59.0
17/09/2009 18:15:05,84.0
18/09/2009 18:15:05,81.0
19/09/2009 18:15:05,71.0
20/09/2009 18:15:05,79.0
21/09/2009 18:15:05,74.0
22/09/2009 18:15:05,35.0
23/09/2009 18:15:05,28.0
24/09/2009 18:15:05,82.0
25/09/2009 18:15:05,102.0
26/09/2009 18:15:05,94.0
27/09/2009 18:15:05,90.0
28/09/2009 18:15:05,88.0
29/09/2009 18:15:05,85.0
30/09/2009 18:15:05,87.0
01/10/2009 18:15:05,85.0
02/10/2009 18:15:05,76.0
03/10/2009 18:15:05,58.0
04/10/2009 18:15:05,61.0
05/10/2009 18:15:05,58.0
06/10/2009 18:15:05,43.0
07/10/2009 18:15:05,51.0
08/10/2009 18:15:05,70.0
09/10/2009 18:15:05,78.0
10/10/2009 18:15:05,77.0
11/10/2009 18:15:05,79.0
12/10/2009 18:15:05,63.0
13/10/2009 18:15:05,51.0
14/10/2009 18:15:05,56.0
15/10/2009 18:15:05,85.0
16/10/2009 18:15:05,66.0
17/10/2009 18:15:05,55.0
18/10/2009 18:15:05,65.0
19/10/2009 18:15:05,99.0
20/10/2009 18:15:05,111.0
21/10/2009 18:15:05,84.0
22/10/2009 18:15:05,88.0
23/10/2009 18:15:05,87.0
24/10/2009 18:15:05,75.0
25/10/2009 18:15:05,74.0
26/10/2009 18:15:05,65.0
27/10/2009 18:15:05,67.0
28/10/2009 18:15:05,64.0
29/10/2009 18:15:05,51.0
30/10/2009 18:15:05,62.0
31/10/2009 18:15:05,45.0
01/11/2009 18:15:05,30.0
02/11/2009 18:15:05,33.0
03/11/2009 18:15:05,57.0
04/11/2009 18:15:05,62.0
05/11/2009 18:15:05,65.0
06/11/2009 18:15:05,49.0
07/11/2009 18:15:05,76.0
08/11/2009 18:15:05,70.0
09/11/2009 18:15:05,65.0
10/11/2009 18:15:05,71.0
11/11/2009 18:15:05,78.0
12/11/2009 18:15:05,70.0
13/11/2009 18:15:05,73.0
14/11/2009 18:15:05,83.0
15/11/2009 18:15:05,96.0
16/11/2009 18:15:05,100.0
17/11/2009 18:15:05,91.0
18/11/2009 18:15:05,79.0
19/11/2009 18:15:05,73.0
20/11/2009 18:15:05,84.0
21/11/2009 18:15:05,77.0
22/11/2009 18:15:05,100.0
23/11/2009 18:15:05,96.0
24/11/2009 18:15:05,102.0
25/11/2009 18:15:05,85.0
26/11/2009 18:15:05,78.0
27/11/2009 18:15:05,75.0
28/11/2009 18:15:05,78.0
29/11/2009 18:15:05,58.0
30/11/2009 18:15:05,74.0
01/12/2009 18:15:05,66.0
02/12/2009 18:15:05,99.0
03/12/2009 18:15:05,85.0
04/12/2009 18:15:05,49.0
05/12/2009 18:15:05,52.0
06/12/2009 18:15:05,108.0
07/12/2009 18:15:05,94.0
08/12/2009 18:15:05,121.0
09/12/2009 18:15:05,104.0
10/12/2009 18:15:05,106.0
11/12/2009 18:15:05,125.0
12/12/2009 18:15:05,103.0
13/12/2009 18:15:05,104.0
14/12/2009 18:15:05,113.0
15/12/2009 18:15:05,117.0
16/12/2009 18:15:05,121.0
17/12/2009 18:15:05,163.0
18/12/2009 18:15:05,201.0
19/12/2009 18:15:05,225.0
20/12/2009 18:15:05,175.0
21/12/2009 18:15:05,188.0
22/12/2009 18:15:05,152.0
23/12/2009 18:15:05,169.0
24/12/2009 18:15:05,144.0
25/12/2009 18:15:05,158.0
26/12/2009 18:15:05,159.0
27/12/2009 18:15:05,170.0
28/12/2009 18:15:05,138.0
29/12/2009 18:15:05,164.0
30/12/2009 18:15:05,156.0
31/12/2009 18:15:05,150.0
01/01/2010 18:15:05,119.0
02/01/2010 18:15:05,132.0
03/01/2010 18:15:05,163.0
04/01/2010 18:15:05,192.0
05/01/2010 18:15:05,208.0
06/01/2010 18:15:05,158.0
07/01/2010 18:15:05,159.0
08/01/2010 18:15:05,150.0
09/01/2010 18:15:05,148.0
10/01/2010 18:15:05,191.0
11/01/2010 18:15:05,154.0
12/01/2010 18:15:05,168.0
13/01/2010 18:15:05,160.0
14/01/2010 18:15:05,159.0
15/01/2010 18:15:05,137.0
16/01/2010 18:15:05,135.0
17/01/2010 18:15:05,124.0
18/01/2010 18:15:05,130.0
19/01/2010 18:15:05,120.0
20/01/2010 18:15:05,140.0
21/01/2010 18:15:05,187.0
22/01/2010 18:15:05,152.0
23/01/2010 18:15:05,152.0
24/01/2010 18:15:05,148.0
25/01/2010 18:15:05,207.0
26/01/2010 18:15:05,208.0
27/01/2010 18:15:05,178.0
28/01/2010 18:15:05,176.0
29/01/2010 18:15:05,195.0
30/01/2010 18:15:05,183.0
31/01/2010 18:15:05,210.0
01/02/2010 18:15:05,189.0
02/02/2010 18:15:05,142.0
03/02/2010 18:15:05,246.0
04/02/2010 18:15:05,235.0
05/02/2010 18:15:05,250.0
06/02/2010 18:15:05,204.0
07/02/2010 18:15:05,210.0
08/02/2010 18:15:05,221.0
09/02/2010 18:15:05,211.0
10/02/2010 18:15:05,166.0
11/02/2010 18:15:05,181.0
12/02/2010 18:15:05,193.0
13/02/2010 18:15:05,227.0
14/02/2010 18:15:05,215.0
15/02/2010 18:15:05,194.0
16/02/2010 18:15:05,182.0
17/02/2010 18:15:05,244.0
18/02/2010 18:15:05,235.0
19/02/2010 18:15:05,183.0
20/02/2010 18:15:05,224.0
21/02/2010 18:15:05,218.0
22/02/2010 18:15:05,261.0
23/02/2010 18:15:05,252.0
24/02/2010 18:15:05,196.0
25/02/2010 18:15:05,150.0
26/02/2010 18:15:05,176.0
27/02/2010 18:15:05,176.0
28/02/2010 18:15:05,165.0
01/03/2010 18:15:05,187.0
02/03/2010 18:15:05,204.0
03/03/2010 18:15:05,151.0
04/03/2010 18:15:05,187.0
05/03/2010 18:15:05,178.0
06/03/2010 18:15:05,188.0
07/03/2010 18:15:05,178.0
08/03/2010 18:15:05,141.0
09/03/2010 18:15:05,149.0
10/03/2010 18:15:05,152.0
11/03/2010 18:15:05,154.0
12/03/2010 18:15:05,119.0
13/03/2010 18:15:05,160.0
14/03/2010 18:15:05,127.0
15/03/2010 18:15:05,128.0
16/03/2010 18:15:05,138.0
17/03/2010 18:15:05,127.0
18/03/2010 18:15:05,161.0
19/03/2010 18:15:05,144.0
20/03/2010 18:15:05,203.0
21/03/2010 18:15:05,191.0
22/03/2010 18:15:05,186.0
23/03/2010 18:15:05,215.0
24/03/2010 18:15:05,187.0
25/03/2010 18:15:05,197.0
26/03/2010 18:15:05,213.0
27/03/2010 18:15:05,182.0
28/03/2010 18:15:05,198.0
29/03/2010 18:15:05,205.0
30/03/2010 18:15:05,217.0
31/03/2010 18:15:05,213.0
01/04/2010 18:15:05,198.0
02/04/2010 18:15:05,155.0
03/04/2010 18:15:05,171.0
04/04/2010 18:15:05,175.0
05/04/2010 18:15:05,179.0
06/04/2010 18:15:05,175.0
07/04/2010 18:15:05,207.0
08/04/2010 18:15:05,208.0
09/04/2010 18:15:05,189.0
10/04/2010 18:15:05,294.0
11/04/2010 18:15:05,271.0
12/04/2010 18:15:05,270.0
13/04/2010 18:15:05,190.0
14/04/2010 18:15:05,230.0
15/04/2010 18:15:05,287.0
16/04/2010 18:15:05,234.0
17/04/2010 18:15:05,242.0
18/04/2010 18:15:05,1337.0
19/04/2010 18:15:05,2296.0
20/04/2010 18:15:05,242.0
21/04/2010 18:15:05,251.0
22/04/2010 18:15:05,210.0
23/04/2010 18:15:05,198.0
24/04/2010 18:15:05,191.0
25/04/2010 18:15:05,210.0
26/04/2010 18:15:05,220.0
27/04/2010 18:15:05,225.0
28/04/2010 18:15:05,219.0
