"BitcoinDaysDestroyedMinWeek","seasonal","trend","remainder"
0,1028849.05357532,-1194259.71300827,165410.659432941
0,1028849.05357532,-1168049.11769314,139200.064117811
0,1027446.081504,-1130185.37603645,102739.294532447
0,1027446.081504,-1092321.63437977,64875.5528757619
0,1027446.081504,-1057282.64877839,29836.5672743851
0,1027446.081504,-1022243.66317701,-5202.41832699138
1113620,755574.069508997,-998644.035175589,1356689.96566659
0,755574.069508997,-975044.407174167,219470.337665169
0,755574.069508997,-901809.682991305,146235.613482308
0,755574.069508997,-828574.958808444,73000.8892994463
8211,227923.112542521,-725625.109238583,505912.996696063
0,227923.11254252,-622675.259668723,394752.147126202
0,227923.11254252,-566262.396127611,338339.28358509
0,227923.11254252,-509849.532586499,281926.420043978
0,339278.900062247,-394590.357210919,55311.4571486717
0,339278.900062247,-279331.181835339,-59947.718226908
0,339278.900062247,-267776.350985559,-71502.5490766884
0,339278.900062247,-256221.520135779,-83057.3799264688
185700,450531.768857548,-292061.850368328,27230.0815107792
0,450531.768857548,-327902.180600877,-122629.588256672
0,450531.768857548,-316714.599938453,-133817.168919095
41699,450531.768857548,-305527.01927603,-103305.749581519
0,170135.845770636,-289307.787197837,119171.941427201
0,170135.845770636,-273088.555119644,102952.709349009
0,170135.845770636,-224074.993286095,53939.1475154596
0,170135.845770636,-175061.431452546,4925.5856819106
0,81432.8761561999,-65665.9224710334,-15766.9536851665
0,81432.8761561999,43729.5865104797,-125162.46266668
0,81432.8761561999,175131.1803058,-256564.056462
3712,81432.8761561999,306532.774101121,-384253.650257321
0,532152.770663311,425362.327264796,-957515.097928108
366,532152.770663311,544191.880428472,-1075978.65109178
0,532152.770663311,642591.69204512,-1174744.46270843
0,532152.770663311,740991.503661767,-1273144.27432508
0,709240.862838126,775395.295277561,-1484636.15811569
0,709240.862838126,809799.086893354,-1519039.94973148
0,709240.862838126,770859.429359683,-1480100.29219781
0,709240.862838126,731919.771826012,-1441160.63466414
0,413667.427721883,657198.310081978,-1070865.73780386
434278,-723883.122510519,582476.848337943,575684.274172576
0,-332535.84190706,491475.06277019,-158939.220863131
0,-332535.84190706,400473.277202438,-67937.4352953777
0,-332535.84190706,320015.004192063,12520.8377149972
0,-332535.84190706,239556.731181688,92979.110725372
0,-61636.2093100542,200756.699089178,-139120.489779124
0,-61636.2093100542,161956.666996669,-100320.457686615
0,-61636.2093100542,147829.83088649,-86193.6215764358
478970,-61636.2093100542,133702.994776311,406903.214533743
2052,-204784.101101804,120158.032084255,86678.0690175487
0,-204784.101101804,106613.069392199,98171.0317096046
5765,-204784.101101804,100842.297325926,109706.803775878
0,-204784.101101804,95071.5252596518,109712.575842152
0,-306102.591104532,82403.8952053206,223698.695899212
0,-306102.591104532,69736.2651509894,236366.325953543
0,-306102.591104532,30612.179612655,275490.411491877
0,-306102.591104532,-8511.90592567939,314614.497030211
0,-72730.2735627063,-78852.227519913,151582.501082619
0,-72730.2735627063,-149192.549114147,221922.822676853
0,-72730.2735627063,-226725.09824457,299455.371807276
0,-72730.2735627063,-304257.647374993,376987.9209377
0,-228871.441122466,-380362.888237177,609234.329359642
0,-228871.441122466,-456468.12909936,685339.570221826
0,-228871.441122466,-497512.901474318,726384.342596784
0,-228871.441122466,-538557.673849276,767429.114971741
543,-16059.0200059404,-530436.969389852,547038.989395792
0,-16059.0200059404,-522316.264930428,538375.284936369
12144,-16059.0200059404,-497403.875774309,525606.89578025
0,-16059.0200059404,-472491.486618191,488550.506624131
0,223998.629666,-451018.632069949,227020.002403949
0,223998.629666,-429545.777521707,205547.147855707
1097,223998.629666,-372882.647865377,149981.018199377
183720,223998.629666,-316219.518209046,275940.888543046
0,-155338.363900403,-259360.841333384,414699.205233787
0,-155338.363900403,-202502.164457723,357840.528358125
190315,-155338.363900403,-177241.349874046,522894.713774449
2686,-155338.363900403,-151980.535290369,310004.899190772
2099019,-97772.4591968894,-130421.630723635,2327213.08992052
0,-97772.4591968894,-108862.7261569,206635.18535379
3533,-97772.4591968894,-99398.6643208642,200704.123517754
878,-97772.4591968894,-89934.6024848281,188585.061681717
22780,-30793.1489584592,-101561.529210924,155134.678169383
13524,-30793.1489584592,-113188.455937019,157505.604895479
1387,-30793.1489584592,-106820.905884714,139001.054843174
157661,-30793.1489584592,-100453.35583241,288907.504790869
0,-166539.620924475,-89731.2107548083,256270.831679283
1481,-166539.620924475,-79009.0656772069,247029.686601682
0,-166539.620924475,-86326.1673655196,252865.788289995
2582,-166539.620924475,-93643.2690538323,262764.889978307
180577,35753.372460358,-123152.788899379,267976.416439021
0,35753.372460358,-152662.308744926,116908.936284568
117173,35753.372460358,-217936.251111117,299355.878650759
27323,35753.372460358,-283210.193477309,274779.821016951
1561,62952.8859600147,-399715.98304242,338324.097082406
1128,62952.8859600147,-516221.772607532,454396.886647517
79210,62952.8859600147,-661810.399867091,678067.513907076
0,62952.8859600147,-807399.02712665,744446.141166635
3541,-214414.559564224,-918484.948470792,1136440.50803502
0,-214414.559564224,-1029570.86981493,1243985.42937916
20660,-214414.559564224,-1094666.62823151,1329741.18779574
1092609,-214414.559564224,-1159762.38664809,2466785.94621231
43241,-101277.814648528,-1164917.15456989,1309435.96921842
20721,-101277.814648528,-1170071.9224917,1292070.73714022
381594,-101277.814648528,-1165096.40573273,1647968.22038126
25859,-101277.814648528,-1160120.88897377,1287257.70362229
11414,-21733.7370825144,-1166942.94829938,1200090.68538189
63238,-21733.7370825144,-1173765.00762499,1258736.74470751
0,-21733.7370825144,-1152514.66457696,1174248.40165948
29970,-21733.7370825144,-1131264.32152893,1182968.05861144
0,-232463.805782096,-1117816.70533408,1350280.51111617
0,-232463.805782096,-1104369.08913922,1336832.89492132
653,-232463.805782096,-1076816.29944712,1309933.10522921
156490,-232463.805782096,-1049263.50975501,1438217.31553711
15573,117218.704443439,-1002192.86386112,900547.159417678
82418,117218.704443439,-955122.21796722,920321.51352378
59745,117218.704443439,-929683.739813497,872210.035370058
721,117218.704443439,-904245.261659775,787747.557216335
5430,333174.395872232,-892870.147216565,565125.751344333
130215,333174.395872232,-881495.032773356,678535.636901123
2060,333174.395872232,-837210.188471242,506095.79259901
190889,333174.395872232,-792925.344169128,650639.948296896
2915,553035.320039673,-736971.028571649,186850.708531977
17133,553035.320039673,-681016.712974171,145114.392934498
61694,553035.320039673,-618131.709804481,126790.389764808
6357,553035.320039673,-555246.70663479,8568.38659511786
3051,831521.146702613,-502891.182501808,-325578.964200804
1940,831521.146702613,-450535.658368826,-379045.488333786
1163,831521.146702613,-403734.064732566,-426624.081970047
0,831521.146702613,-356932.471096306,-474588.675606307
2860,406831.950782429,-347241.766137773,-56730.1846446564
29300,406831.950782429,-337551.06117924,-39980.8896031892
47389,406831.950782429,-338467.834123585,-20975.1166588441
321113,406831.950782429,-339384.60706793,253665.656285501
319939,479419.326147863,-340336.756419141,180856.430271278
30714,479419.326147863,-341288.905770352,-107416.420377512
4729,479419.326147863,-329573.484037918,-145116.842109945
935771,479419.326147863,-317858.062305484,774209.736157621
250267,524029.125254089,-269081.03927938,-4681.08597470913
140172,524029.125254089,-220304.016253275,-163553.109000814
2287,524029.125254089,-125160.696736773,-396581.428517316
11664,524029.125254089,-30017.3772202706,-482347.748033818
7560229,674118.166107495,85801.5359677442,6800309.29792476
1700780,674118.166107495,201620.449155759,825041.384736746
109152,674118.166107495,343532.872614706,-908499.038722201
28608,674118.166107495,485445.296073653,-1130955.46218115
29531,659780.851291596,524218.785226038,-1154468.63651763
460818,659780.851291596,562992.274378422,-761955.125670018
3265,659780.851291596,583237.447763186,-1239753.29905478
68388,659780.851291596,603482.62114795,-1194875.47243955
2466,286592.792333883,613522.827300444,-897649.619634326
99871,286592.792333883,623563.033452937,-810284.82578682
288361,286592.792333883,639392.097409119,-637623.889743002
36059,286592.792333883,655221.161365301,-905754.953699184
193845,678465.91943418,711110.790597365,-1195731.71003154
23648,678465.91943418,767000.419829429,-1421818.33926361
33132,678465.91943418,822605.449418085,-1467939.36885226
1238076,678465.91943418,878210.479006741,-318600.398440921
1372,537778.901058858,941069.115906724,-1477476.01696558
3551,537778.901058858,1003927.75280671,-1538155.65386556
30007,537778.901058858,1048112.67144646,-1555884.57250531
41776,537778.901058858,1092297.59008621,-1588300.49114507
329871,190224.23311717,1119566.33594346,-979919.569060634
229972,190224.23311717,1146835.08180072,-1107087.31491789
466198,190224.23311717,1188249.13172455,-912275.364841716
14886,190224.23311717,1229663.18164837,-1405001.41476554
369724,439459.926198971,1247999.78567398,-1317735.71187295
41140,439459.926198971,1266336.38969958,-1664656.31589855
51986,439459.926198971,1259537.29781255,-1647011.22401152
200443,439459.926198971,1252738.20592552,-1491755.13212449
126052,375116.144139161,1258308.2146646,-1507372.35880376
144631,375116.144139161,1263878.22340369,-1494363.36754285
17970,375116.144139161,1266676.8927072,-1623823.03684636
6118,375116.144139161,1269475.56201072,-1638473.70614988
67114,580670.54607456,1272482.99445451,-1786039.54052907
258172,580670.54607456,1275490.4268983,-1597988.97297286
120265,580670.54607456,1282009.2537524,-1742414.79982696
2405,580670.54607456,1288528.08060651,-1866793.62668107
19694,553213.356180462,1246838.90796648,-1780358.26414694
667016,553213.356180462,1205149.73532646,-1091347.09150692
53484,553213.356180462,1121436.07256116,-1621165.42874162
6861,553213.356180462,1037722.40979585,-1584074.76597632
2652,-28623.8244549004,911933.044909176,-880657.220454275
184972,-28623.8244549004,786143.680022497,-572547.855567596
35768,-28623.8244549004,688817.716654522,-624425.892199622
3039175,-28623.8244549004,591491.753286548,2476307.07116835
183699,289337.810237292,532479.314151848,-638118.12438914
46517,289337.810237292,473466.875017148,-716287.68525444
21213,289337.810237292,451826.594783471,-719951.405020763
14948,289337.810237292,430186.314549794,-704576.124787086
213747,881659.330259655,415845.523026104,-1083757.85328576
71460,881659.330259655,401504.731502414,-1211704.06176207
714312,881659.330259655,419017.870497465,-586365.20075712
9699,881659.330259655,436531.009492515,-1308491.33975217
3086,435678.058808066,455972.614489956,-888564.673298022
312383,435678.058808066,475414.219487397,-598709.278295463
486576,435678.058808066,462041.942657166,-411144.001465232
910449,435678.058808066,448669.665826936,26101.2753649984
765864,87312.9220377832,449561.795551031,228989.282411185
28419,87312.9220377832,450453.925275127,-509347.84731291
152770,87312.9220377832,454177.211581286,-388720.133619069
13103,87312.9220377832,457900.497887445,-532110.419925229
670020,329332.166388155,465544.400192697,-124856.566580853
113085,329332.166388155,473188.30249795,-689435.468886105
8534,329332.166388155,513610.592917515,-834408.75930567
903785,329332.166388155,554032.88333708,20419.950274765
0,209717.08440548,615519.517721924,-825236.602127404
1502979,209717.08440548,677006.152106767,616255.763487752
95189,209717.08440548,725649.667504405,-840177.751909886
26772,209717.08440548,774293.182902044,-957238.267307524
39268,57852.083023794,780160.191035065,-798744.274058859
9662,57852.083023794,786027.199168087,-834217.282191881
300878,57852.083023794,794427.047796977,-551401.130820771
754029,57852.083023794,802826.896425868,-106649.979449662
0,68108.4968379036,813064.823440091,-881173.320277995
241281,68108.4968379036,823302.750454314,-650130.247292218
13028,68108.4968379036,811406.694689385,-866487.191527289
