"BitcoinDaysDestroyedCumulative","seasonal","trend","remainder"
373471,113258036.829675,340158177.637831,-453042743.467506
373471,118643295.618385,336781500.362221,-455051324.980607
380417,118643295.618385,333404823.086612,-451667701.704997
380417,118643295.618385,329998731.967139,-448261610.585524
380501,118643295.618385,326592640.847666,-444855435.466051
380501,124133907.019102,323119545.913532,-446872951.932634
380744,124133907.019102,319646450.979397,-443399613.9985
380903,124133907.019102,316170744.734599,-439923748.753702
380903,124133907.019102,312695038.489801,-436448042.508903
381012,128113878.327941,309344915.986705,-437077782.314647
381012,128113878.327941,305994793.483609,-433727659.811551
381012,128113878.327941,302862157.697019,-430595024.024961
381012,128113878.327941,299729521.91043,-427462388.238371
381012,132236569.858502,296646929.89253,-428502487.751032
381012,132236569.858502,293564337.87463,-425419895.733132
381012,132236569.858502,290483340.760472,-422338898.618974
381012,132236569.858502,287402343.646313,-419257901.504816
381012,136918470.31976,284318563.349147,-420856021.668907
381012,136918470.31976,281234783.051981,-417772241.371741
381012,136918470.31976,278098724.660079,-414636182.97984
381012,136918470.31976,274962666.268178,-411500124.587938
381012,141716169.762813,271872705.776502,-413207863.539315
381012,141716169.762813,268782745.284825,-410117903.047638
381012,141716169.762813,265804095.139471,-407139252.902284
381012,141716169.762813,262825444.994116,-404160602.756929
381012,145237419.527582,259941690.551339,-404798098.078921
381012,145237419.527582,257057936.108562,-401914343.636144
479523,145237419.527582,254281323.579278,-399039220.106859
479523,145237419.527582,251504711.049993,-396262607.577574
479523,148382591.375305,248873233.73667,-396776302.111975
479523,148382591.375305,246241756.423348,-394144824.798653
479523,148382591.375305,243609848.484107,-391512916.859412
479523,148382591.375305,240977940.544867,-388881008.920172
479523,152669533.742807,238234877.626032,-390424888.368839
479523,152669533.742807,235491814.707197,-387681825.450004
479523,152669533.742807,232633035.173404,-384823045.916211
480132,152669533.742807,229774255.639612,-381963657.382419
480132,159072106.029281,226856236.357213,-385448210.386494
480132,159072106.029281,223938217.074815,-382530191.104096
480132,159072106.029281,220891453.888338,-379483427.917618
480132,159072106.029281,217844690.70186,-376436664.731141
480132,165368428.635945,214672034.344151,-379560330.980096
480132,165368428.635945,211499377.986441,-376387674.622386
480132,165368428.635945,208285782.828965,-373174079.464909
480132,165368428.635945,205072187.671488,-369960484.307433
547983,167194743.662886,201919990.678017,-368566751.340903
547983,167194743.662886,198767793.684545,-365414554.347431
547983,167194743.662886,195678722.385329,-362325483.048216
547983,167194743.662886,192589651.086114,-359236411.749
547983,173430294.482761,189603493.117085,-362485804.599846
547983,173430294.482761,186617335.148056,-359499646.630817
547983,173430294.482761,183643260.709219,-356525572.19198
547983,173430294.482761,180669186.270383,-353551497.753144
547983,184418017.675495,177439305.422929,-361309340.098425
547983,184418017.675495,174209424.575476,-358079459.250971
547983,184418017.675495,170698805.204903,-354568839.880398
547983,184418017.675495,167188185.834329,-351058220.509824
547983,192083248.614819,163491432.259523,-355026697.874342
547983,192083248.614819,159794678.684716,-351329944.299535
547983,192083248.614819,156019328.896095,-347554594.510914
547983,192083248.614819,152243979.107473,-343779244.722292
547983,197662379.187069,148367477.619323,-345481873.806392
547983,197662379.187069,144490976.131172,-341605372.318241
547983,197662379.187069,140523396.736237,-337637792.923306
587427,197662379.187069,136555817.341302,-333630769.528371
587427,203136912.461773,132572256.094448,-335121741.556221
587427,203136912.461773,128588694.847594,-331138180.309367
587500,203136912.461773,124631457.585122,-327180870.046895
588180,203136912.461773,120674220.32265,-323222952.784423
588180,209051533.354601,116930074.948615,-325393428.303216
588180,209051533.354601,113185929.574579,-321649282.929181
590639,209051533.354601,109836554.977477,-318297449.332078
590639,209051533.354601,106487180.380374,-314948074.734975
590639,214973995.728295,103433266.200022,-317816622.928316
590639,214973995.728295,100379352.019669,-314762708.747964
592274,214973995.728295,97160828.3226361,-311542550.050931
592274,214973995.728295,93942304.6256029,-308324026.353898
592274,221307211.191827,90447795.7514057,-311162732.943232
592274,221307211.191827,86953286.8772084,-307668224.069035
592274,221307211.191827,83614041.8650653,-304328979.056892
592274,221307211.191827,80274796.8529221,-300989734.044749
592274,227458543.239858,76868530.3923593,-303734799.632218
592274,227458543.239858,73462263.9317964,-300328533.171655
592274,227458543.239858,70334337.2391188,-297200606.478977
592294,227458543.239858,67206410.5464411,-294072659.7863
653719,234170685.572263,64092134.2021624,-297609100.774426
653719,234170685.572263,60977857.8578837,-294494824.430147
653719,234170685.572263,57726335.149145,-291243301.721408
653719,234170685.572263,54474812.4404063,-287991779.012669
653719,241812077.260347,51161342.2226089,-292319700.482956
657512,241812077.260347,47847872.0048115,-289002437.265158
677044,241812077.260347,44688773.2203274,-285823806.480674
677044,241812077.260347,41529674.4358433,-282664707.69619
680837,256910877.759535,38498651.8839493,-294728692.643485
680837,256910877.759535,35467629.3320553,-291697670.091591
682328,256910877.759535,32436739.4076334,-288665289.167169
682328,256910877.759535,29405849.4832114,-285634399.242747
689062,263257671.80863,26293799.5739079,-288862409.382538
689062,263257671.80863,23181749.6646045,-285750359.473234
689062,263257671.80863,19770627.0347014,-282339236.843331
691137,263257671.80863,16359504.4047983,-278926039.213428
691137,261562673.743522,12193824.8756801,-273065361.619202
691137,261562673.743522,8028145.34656186,-268899682.090084
691137,261562673.743522,4002803.45907928,-264874340.202601
694243,261562673.743522,-22538.4284032936,-260845892.315119
694243,268363180.826407,-4194849.37881968,-263474088.447587
694243,268363180.826407,-8367160.32923606,-259301777.497171
694243,268363180.826407,-11975571.3641775,-255693366.462229
694243,268363180.826407,-15583982.399119,-252084955.427288
694243,275238427.0338,-18933110.5200768,-255611073.513723
1021173,275238427.0338,-22282238.6410346,-251935015.392765
1021173,275238427.0338,-25978993.0251653,-248238261.008635
1021173,275238427.0338,-29675747.409296,-244541506.624504
1021173,280613735.703816,-33668117.2428026,-245924445.461013
1077815,280613735.703816,-37660487.0763093,-241875433.627507
1077815,280613735.703816,-41835520.6004661,-237700400.10335
1078776,280613735.703816,-46010554.1246229,-233524405.579193
1078776,284828822.48047,-50123361.4708457,-233626685.009625
1078776,284828822.48047,-54236168.8170685,-229513877.663402
1145210,284828822.48047,-58233773.1702044,-225449839.310266
1226243,284828822.48047,-62231377.5233403,-221371201.95713
1226243,289366552.734829,-66155228.0629538,-221985081.671875
1226243,289366552.734829,-70079078.6025673,-218061231.132261
1253289,289366552.734829,-74096594.7868261,-214016668.948003
1253289,289366552.734829,-78114110.9710848,-209999152.763744
1287900,294074780.146724,-82207539.8482106,-210579340.298514
1287900,294074780.146724,-86300968.7253364,-206485911.421388
1289343,294074780.146724,-90371858.9439693,-202413578.202755
1298763,294074780.146724,-94442749.1626023,-198333267.984122
1298763,298153025.99838,-98588057.0619424,-198266205.936437
1298763,298153025.99838,-102733364.961282,-194120898.037097
1298763,298153025.99838,-107872609.77446,-188981653.223919
1298763,298153025.99838,-113011854.587638,-183842408.410741
1298763,302080915.591725,-118503792.190727,-182278360.400998
1423968,302080915.591725,-123995729.793816,-176661217.797909
1423968,302080915.591725,-130079698.471959,-170577249.119766
1423968,302080915.591725,-136163667.150103,-164493280.441622
1423968,306349873.918168,-142183157.452149,-162742748.46602
1423968,306349873.918168,-148202647.754194,-156723258.163974
1423968,306349873.918168,-154198741.103122,-150727164.815047
1532359,306349873.918168,-160194834.452049,-144622680.466119
1532359,311309237.049976,-166381755.786335,-143395122.263641
1534060,311309237.049976,-172568677.120621,-137206499.929356
1534060,311309237.049976,-178815457.749445,-130959719.300532
1534060,311309237.049976,-185062238.378269,-124712938.671708
1534060,315713660.96921,-191251281.884747,-122928319.084463
1534060,315713660.96921,-197440325.391225,-116739275.577985
1534060,315713660.96921,-203243398.638731,-110936202.330479
1534060,315713660.96921,-209046471.886237,-105133129.082973
1713242,319480846.525082,-214292118.87962,-103475485.645463
1713242,319480846.525082,-219537765.873003,-98229838.6520796
1713242,319480846.525082,-224452018.345766,-93315586.1793162
1713242,319480846.525082,-229366270.81853,-88401333.7065527
1713242,323216346.99388,-234379275.287168,-87123829.7067124
1713242,323216346.99388,-239392279.755806,-82110825.2380741
1713242,323216346.99388,-244571900.72316,-76931204.2707208
1713242,323216346.99388,-249751521.690513,-71751583.3033676
1713242,327143019.295239,-254993850.276654,-70435927.0185851
1713242,327143019.295239,-260236178.862796,-65193598.4324436
1713242,327143019.295239,-265574798.349952,-59854978.9452877
1713242,327143019.295239,-270913417.837107,-54516359.4581318
2827534,331152750.298296,-276285980.382809,-52039235.9154868
2827534,331152750.298296,-281658542.92851,-46666673.3697852
2827534,331152750.298296,-287165231.854056,-41159984.4442393
2827534,331152750.298296,-292671920.779602,-35653295.5186934
2836964,334297248.824958,-298570178.780657,-32890106.0443013
2836964,334297248.824958,-304468436.781711,-26991848.043247
2839964,334297248.824958,-309680810.066312,-21776474.7586457
2842666,334297248.824958,-314893183.350914,-16561399.4740443
2842865,337941260.623496,-319823733.165826,-15274662.4576697
2842865,337941260.623496,-324754282.980739,-10344112.6427571
2856939,337941260.623496,-329411012.379062,-5673309.244434
2856939,337941260.623496,-334067741.777385,-1016579.84611088
3063465,341823373.910432,-338143809.996929,-616098.91350311
3080626,341823373.910432,-342219878.216473,3477130.30604064
3082761,341823373.910432,-346527605.099012,7786992.18858051
3124503,341823373.910432,-350835331.981552,12136461.0711204
3124526,346427010.708314,-354485158.709834,11182674.0015196
3124689,346427010.708314,-358134985.438116,14832663.7298013
3124689,346427010.708314,-361410630.098132,18108308.3898175
3124843,346427010.708314,-364686274.758148,21384107.0498337
3124843,352994833.782714,-367331811.068072,17461820.2853585
3124843,352994833.782714,-369977347.377996,20107356.5952827
3124843,352994833.782714,-373785910.557134,23915919.7744202
3128555,352994833.782714,-377594473.736271,27728194.9535577
3128555,359052391.019783,-384148651.477635,28224815.4578519
3129901,359052391.019783,-390702829.218999,34780339.1992158
3129901,359052391.019783,-394053698.196266,38131208.1764823
3129901,359052391.019783,-397404567.173532,41482077.1537488
3129901,363520687.094909,-399994438.459979,39603652.3650693
3129901,363520687.094909,-402584309.746425,42193523.6515158
3129901,363520687.094909,-396558932.698985,36168146.6040761
3130056,363520687.094909,-390533555.651546,30142924.5566365
3130056,368378055.889738,-280509801.169195,-84738198.7205427
3564334,-66105728.2032592,-170486046.686844,240156108.890103
3564334,-61949110.9766039,-68602514.1714346,134115959.148039
3564334,-61949110.9766039,33281018.3439749,32232426.632629
3564334,-61949110.9766039,42211104.5333216,23302340.4432822
3564334,-61949110.9766039,51141190.7226684,14372254.2539355
3564334,-57736751.9169322,47967668.6374036,13333417.2795286
3564334,-57736751.9169322,44794146.5521387,16506939.3647934
3564334,-57736751.9169322,40747118.9295639,20553966.9873683
4047683,-57736751.9169322,36700091.306989,25084343.6099431
4049735,-53975761.6664605,33562856.8732317,24462639.7932287
4049737,-53975761.6664605,30425622.4394744,27599876.2269861
4055547,-53975761.6664605,28877688.8124939,29153619.8539666
4056312,-53975761.6664605,27329755.1855134,30702318.480947
4057562,-51052946.3206083,19950805.8147347,35159702.5058736
4057562,-51052946.3206083,12571856.443956,42538651.8766523
4057793,-51052946.3206083,2869774.59360854,52240964.7269998
4057793,-51052946.3206083,-6832307.25673892,61943046.5773472
4057951,-47117467.8064918,-9668621.928592,60844040.7350838
4058140,-47117467.8064918,-12504936.6004451,63680544.4069369
4058186,-47117467.8064918,-14825530.4302095,66001184.2367013
4058295,-47117467.8064918,-17146124.2599738,68321887.0664657
4067385,-42979777.3014292,-19855049.5379036,66902211.8393328
4068273,-42979777.3014292,-22563974.8158333,69612025.1172625
4068449,-42979777.3014292,-26027915.4051817,73076141.7066109
4070405,-42979777.3014292,-29491855.9945301,76542038.2959594
4071354,-39589918.9410474,-33418540.4041639,77079813.3452113
4072356,-39589918.9410474,-37345224.8137976,81007499.754845
4088404,-39589918.9410474,-41418775.9009724,85097098.8420198
4090809,-39589918.9410474,-45492326.9881471,89173054.9291945
4090809,-36508633.4023909,-49551272.2199863,90150714.6223772
4093161,-36508633.4023909,-53610217.4518255,94212011.8542163
4094692,-36508633.4023909,-57712997.0031805,98316322.4055713
4290435,-36508633.4023909,-61815776.5545354,102614844.956926
4295678,-31223486.4039255,-65948075.5142888,101467239.918214
4296994,-31223486.4039254,-70080374.4740421,105600854.877968
4491309,-31223486.4039254,-74258381.8081193,109973177.212045
4494044,-31223486.4039254,-78436389.1421964,114153919.546122
6619690,-25958994.296425,-82645606.6935466,115224290.989972
6622135,-25958994.296425,-86854824.2448967,119435953.541322
6644481,-25958994.296425,-91193514.41845,123796989.714875
6650307,-25958994.296425,-95532204.5920032,128141505.888428
6692811,-22868077.8320362,-100088251.471329,129649140.303365
6713906,-22868077.8320362,-104644298.350655,134226282.182691
6718395,-22868077.8320362,-109270334.883258,138856807.715295
6893634,-22868077.8320362,-113896371.415862,143658083.247898
6900936,-19083565.6216682,-118419801.513634,144404303.135302
6905140,-19083565.6216682,-122943231.611406,148931937.233074
6905180,-19083565.6216682,-127308796.32983,153297541.951498
6910996,-19083565.6216682,-131674361.048254,157668922.669922
7126863,-14603997.8067569,-135681707.465993,157412568.27275
7126905,-14603997.8067569,-139689053.883732,161419956.690489
7248379,-14603997.8067569,-144181018.86256,166033395.669317
7275964,-14603997.8067569,-148672983.841388,170552945.648144
7344864,-10488627.5682796,-155237167.234776,173070658.803056
7346882,-10488627.5682796,-161801350.628165,179636860.196445
7427720,-10488627.5682796,-167793283.272645,185709630.840924
7430711,-10488627.5682796,-173785215.917125,191704554.485404
7439203,-7152283.84566931,-180943473.092823,195534959.938492
7439550,-7152283.84566931,-188101730.268521,202693564.11419
7485637,-7152283.84566931,-193620727.108856,208258647.954525
8580161,-7152283.84566931,-199139723.949191,214872168.79486
8653519,-4078664.55571323,-204180153.943462,216912337.499175
8685842,-4078664.55571323,-209220583.937733,221985090.493446
9070988,-4078664.55571323,-214955316.259391,228104968.815104
9103009,-4078664.55571323,-220690048.58105,233871722.136763
9115271,-1044032.13079948,-228195650.661861,238354953.79266
9185276,-1044032.13079948,-235701252.742671,245930560.873471
9185644,-1044032.13079948,-242207519.990555,252437196.121355
9217034,-1044032.13079948,-248713787.238439,258974853.369239
9220915,4084499.84081517,-255845174.885366,260981590.044551
9221149,4084499.84081517,-262976562.532293,268113211.691478
9221967,4084499.84081517,-267947124.985924,273084592.145109
9378739,4084499.84081517,-272917687.439555,278211926.59874
9394379,9653798.68340436,-277328435.819726,277069016.136322
9486405,9653798.68340436,-281739184.199897,281571790.516493
9551209,9653798.68340436,-286156655.602851,286054065.919446
9554922,9653798.68340436,-290574127.005804,290475250.3224
9564732,13164909.460962,-294691577.248852,291091399.78789
9698196,13164909.460962,-298809027.4919,295342314.030938
9702269,13164909.460962,-302468912.58826,299006272.127298
9916595,13164909.460962,-306128797.684621,302880483.223659
9925603,16913704.9569756,-309504778.310417,302516676.353442
9952213,16913704.9569756,-312880758.936214,305919266.979238
10014640,16913704.9569756,-317974756.770708,311075691.813733
10030262,16913704.9569756,-323068754.605203,316185311.648227
10034005,21666654.4891971,-327368018.024084,315735368.534887
10038197,21666654.4891971,-331667281.442965,320038823.953768
10043633,21666654.4891971,-337386658.69343,325763637.204233
10047504,21666654.4891971,-343106035.943895,331486885.454698
10054340,26459607.9041163,-347458098.660436,331052830.75632
10090777,26459607.9041163,-351810161.376977,335441330.47286
10144909,26459607.9041163,-355559772.554079,339245073.649962
10475790,26459607.9041163,-359309383.731181,343325565.827065
10797454,31341844.9474684,-363319656.064535,342775265.117067
10834814,31341844.9474684,-367329928.397889,346822897.450421
10844115,31341844.9474684,-371812586.999725,351314857.052256
11794162,31341844.9474684,-376295245.601561,356747562.654092
12051678,35866543.7865194,-380156180.658505,356341314.871985
12212763,35866543.7865194,-384017115.715449,360363334.928929
12219143,35866543.7865194,-387654318.768521,364006917.982002
12241981,35866543.7865194,-391291521.821593,367666959.035074
19882859,39819524.6349919,-394230839.807493,374294174.172501
21588430,39819524.6349919,-397170157.793393,378939063.158401
21705070,39819524.6349919,-399122663.117804,381008208.482813
21747669,39819524.6349919,-401075168.442216,383003312.807224
21797717,43455046.5335998,-402642966.65385,380985637.120251
22274970,43455046.5335998,-404210764.865485,383030688.331885
22282718,43455046.5335998,-405671286.13719,384498957.60359
22464861,43455046.5335998,-407131807.408894,386141621.875295
22472077,46967151.1755457,-408413823.172993,383918748.997447
22589725,46967151.1755457,-409695838.937092,385318412.761546
22884603,46967151.1755457,-181695066.051285,157612517.875739
22931480,46967151.1755457,46305706.8345224,-70341378.0100681
23128392,51254428.9988471,288477014.425021,-316603051.423868
23163799,51254428.9988471,530648322.015519,-558738952.014366
23200452,51254428.9988471,532539861.859292,-560593838.858139
24441539,51254428.9988471,534431401.703064,-561244291.701911
24503442,55515263.5304101,534179854.127854,-565191675.658264
24511712,55515263.5304101,533928306.552644,-564931858.083054
24558414,55515263.5304101,533431055.736921,-564387905.267331
24605981,55515263.5304101,532933804.921197,-563843087.451607
24970554,59551120.6833656,532050514.778464,-566631081.461829
25203893,59551120.6833656,531167224.635731,-565514452.319096
25729543,59551120.6833656,529583428.60645,-563405006.289815
25747894,59551120.6833656,527999632.577169,-561802859.260534
26126836,63906458.3201282,525867488.67387,-563647110.993998
26173414,63906458.3201282,523735344.770571,-561468389.090699
26232013,63906458.3201282,521127517.802848,-558801963.122977
26462172,63906458.3201282,518519690.835126,-555963977.155254
26607777,68227336.8255747,515810531.567522,-557430091.393096
26802107,68227336.8255747,513101372.299918,-554526602.125492
26825581,68227336.8255747,510454185.367848,-551855941.193423
26835677,68227336.8255747,507806998.435779,-549198658.261353
26910104,72863811.0370947,505337300.320316,-551291007.357411
27174272,72863811.0370947,502867602.204853,-548557141.241948
27314913,72863811.0370947,500494858.941096,-546043756.978191
27321528,72863811.0370947,498122115.67734,-543664398.714435
27346663,77117412.0714316,495723599.942336,-545494349.013767
28036188,77117412.0714316,493325084.207332,-542406308.278763
28155733,77117412.0714316,491004673.0356,-539966352.107031
28171473,77117412.0714316,488684261.863868,-537630200.935299
28186938,81130562.8977443,486230734.542672,-539174359.440416
28386311,81130562.8977443,483777207.221475,-536521459.11922
28438196,81130562.8977443,480217855.453348,-532910222.351093
31484411,81130562.8977443,476658503.685221,-526304655.582966
31699606,85608634.5539718,473096059.200377,-527005087.754349
31760289,85608634.5539718,469533614.715532,-523381960.269504
31784861,85608634.5539718,465217904.465793,-519041678.019765
31810253,85608634.5539718,460902194.216055,-514700575.770026
32029131,90504559.099629,457092444.892228,-515567872.991857
32111605,90504559.099629,453282695.568402,-511675649.668031
32866463,90504559.099629,449807851.971935,-507445948.071564
32881884,90504559.099629,446333008.375468,-503955683.475097
