"NumTransactionsExcluding100","seasonal","trend","remainder"
1,752.717320025212,-920.127738799912,168.4104187747
0,1174.01041607771,-972.138201487791,-201.872214589916
0,1174.01041607771,-1024.14866417567,-149.861751902037
0,1174.01041607771,-1075.54333297776,-98.467083099948
0,1174.01041607771,-1126.93800177985,-47.0724142978586
0,1412.05489670688,-1175.5541516711,-236.500745035785
14,1412.05489670688,-1224.17030156235,-173.884595144533
31,1412.05489670688,-1252.35659030438,-128.698306402506
106,1412.05489670688,-1280.5428790464,-25.5120176604805
95,1074.06231281194,-1335.70471194605,356.64239913411
116,1074.06231281194,-1390.8665448457,432.804232033756
126,1074.06231281194,-1457.79397537117,509.731662559232
136,1074.06231281194,-1524.72140589665,586.659093084708
117,1078.71940964209,-1590.12494879845,628.405539156353
109,1078.71940964209,-1655.52849170024,685.809082058151
101,1078.71940964209,-1728.50775172817,750.788342086074
120,1078.71940964209,-1801.48701175609,842.767602113998
118,1202.87853331834,-1852.11940684441,767.240873526066
115,1202.87853331834,-1902.75180193273,814.873268614386
76,1202.87853331834,-1921.04475133507,794.166218016731
68,1202.87853331834,-1939.33770073742,804.459167419076
201,1187.50673179413,-1950.48648232849,963.979750534355
195,1187.50673179413,-1961.63526391956,969.128532125425
116,1187.50673179413,-1989.11561961027,917.608887816135
105,1187.50673179413,-2016.59597530098,934.089243506845
103,1395.76321143699,-2054.02542563006,761.262214193064
122,1395.76321143699,-2091.45487595913,817.691664522141
122,1395.76321143699,-2156.4635207228,882.700309285809
129,1395.76321143699,-2221.47216548647,954.708954049476
118,1547.34912919619,-2295.8345183217,866.485389125509
127,1547.34912919619,-2370.19687115694,949.847741960745
150,1547.34912919619,-2430.24804212348,1032.89891292729
126,1547.34912919619,-2490.29921309003,1068.95008389384
121,1414.96566912033,-2563.34266264139,1269.37699352106
129,1414.96566912033,-2636.38611219276,1350.42044307242
130,1414.96566912033,-2720.83933580972,1435.87366668938
135,1414.96566912033,-2805.29255942667,1525.32689030634
129,1316.56009084704,-2881.51328921253,1693.95319836549
127,1316.56009084704,-2957.73401899839,1768.17392815134
132,1316.56009084704,-3023.85600334299,1839.29591249595
119,1316.56009084704,-3089.97798768759,1892.41789684055
124,1465.11453856654,-3118.62486942063,1777.51033085408
141,1465.11453856654,-3147.27175115366,1823.15721258711
125,1465.11453856654,-3168.0408165646,1827.92627799806
123,1465.11453856654,-3188.80988197555,1846.695343409
119,1731.89352461515,-3259.37435076123,1646.48082614608
124,1731.89352461515,-3329.93881954691,1722.04529493176
117,1731.89352461515,-3458.18480763352,1843.29128301837
129,1731.89352461515,-3586.43079572012,1983.53727110498
110,1799.15694197975,-3755.30419105513,2066.14724907539
125,1799.15694197975,-3924.17758639014,2250.0206444104
107,1799.15694197975,-4119.39033092313,2427.23338894338
111,1799.15694197975,-4314.60307545612,2626.44613347637
107,1870.89273191186,-4496.8659755229,2732.97324361103
96,1870.89273191186,-4679.12887558968,2904.23614367781
123,1870.89273191186,-4829.7691681134,3081.87643620153
103,1870.89273191186,-4980.40946063712,3212.51672872525
107,2035.56115135701,-5096.40046847493,3167.83931711792
104,2035.56115135701,-5212.39147631274,3280.83032495573
108,2035.56115135701,-5294.55652427187,3366.99537291486
106,2035.56115135701,-5376.721572231,3447.160420874
108,1952.93312873976,-5401.76401405866,3556.83088531891
119,1952.93312873976,-5426.80645588632,3592.87332714656
111,1952.93312873976,-5407.6233829803,3565.69025424054
115,1952.93312873976,-5388.44031007428,3550.50718133452
113,1955.98112941679,-5375.26028480232,3532.27915538553
105,1955.98112941679,-5362.08025953036,3511.09913011357
108,1955.98112941679,-5369.51142258322,3521.53029316643
119,1955.98112941679,-5376.94258563608,3539.96145621929
115,1961.72047476114,-5415.6871912097,3568.96671644856
116,1961.72047476114,-5454.43179678333,3608.71132202219
111,1961.72047476114,-5516.14691083567,3665.42643607452
131,1961.72047476114,-5577.862024888,3747.14155012686
115,2094.68861336164,-5621.40649364465,3641.71788028301
110,2094.68861336164,-5664.9509624013,3680.26234903966
124,2094.68861336164,-5649.08954354755,3678.40093018592
119,2094.68861336164,-5633.22812469381,3657.53951133217
77,2207.04267178518,-5602.53763767095,3472.49496588577
97,2207.04267178518,-5571.8471506481,3461.80447886292
132,2207.04267178518,-5578.57767538658,3503.53500360139
105,2207.04267178518,-5585.30820012505,3483.26552833987
116,2181.71453979331,-5624.17797559875,3558.46343580544
114,2181.71453979331,-5663.04775107245,3595.33321127914
110,2181.71453979331,-5722.76033704264,3651.04579724932
122,2181.71453979331,-5782.47292301282,3722.75838321951
112,2143.712292923,-5855.41660236545,3823.70430944246
125,2143.712292923,-5928.36028171809,3909.64798879509
114,2143.712292923,-6002.51055171847,3972.79825879548
107,2143.712292923,-6076.66082171886,4039.94852879587
120,2057.77614879557,-6134.62333269746,4196.84718390189
113,2057.77614879557,-6192.58584367606,4247.80969488049
113,2057.77614879557,-6246.18654373891,4301.41039494334
129,2057.77614879557,-6299.78724380176,4371.01109500619
117,1933.12329425266,-6350.3360900149,4534.21279576223
99,1933.12329425266,-6400.88493622803,4566.76164197537
104,1933.12329425266,-6411.57862646966,4582.45533221699
99,1933.12329425266,-6422.27231671128,4588.14902245862
103,1965.95129411106,-6372.16732197647,4509.21602786542
123,1965.95129411106,-6322.06232724166,4479.11103313061
115,1965.95129411106,-6224.93050098415,4373.9792068731
118,1965.95129411106,-6127.79867472664,4279.84738061558
127,2276.98344685013,-5981.54382552182,3831.56037867169
112,2276.98344685013,-5835.28897631701,3670.30552946687
123,2276.98344685013,-5620.56374293421,3466.58029608407
115,2276.98344685013,-5405.83850955141,3243.85506270127
125,2482.43104285048,-5130.03330839618,2772.6022655457
121,2482.43104285048,-4854.22810724096,2492.79706439048
118,2482.43104285048,-4524.92120926284,2160.49016641236
125,2482.43104285048,-4195.61431128472,1838.18326843424
121,2312.90863836793,-3778.32721475613,1586.41857638821
80,2312.90863836793,-3361.04011822755,1128.13147985962
113,2312.90863836793,-2892.84720630568,692.93856793775
122,2312.90863836793,-2424.6542943838,233.74565601588
111,2412.3855635915,-1884.74458536602,-416.64097822548
