Date,WikipediaTrend,adjusted,detrended,residual,trend
2013-02-15,10071.0,10071.0,-3325.947117008782,-3325.947117008782,13396.947117008782
2013-02-16,6129.0,6129.0,-7285.189570816416,-7285.189570816416,13414.189570816416
2013-02-17,7714.0,7714.0,-5717.40913723194,-5717.40913723194,13431.40913723194
2013-02-18,11326.0,11326.0,-2122.605762349094,-2122.605762349094,13448.605762349094
2013-02-19,11541.0,11541.0,-1924.7793922616202,-1924.7793922616202,13465.77939226162
2013-02-20,8773.0,8773.0,-4709.929973063232,-4709.929973063232,13482.929973063232
2013-02-21,8180.0,8180.0,-5320.057450847678,-5320.057450847678,13500.057450847678
2013-02-22,9066.0,9066.0,-4451.16177170869,-4451.16177170869,13517.16177170869
2013-02-23,7353.0,7353.0,-6181.242881740001,-6181.242881740001,13534.242881740001
2013-02-24,7307.0,7307.0,-6244.300727035343,-6244.300727035343,13551.300727035343
2013-02-25,9033.0,9033.0,-4535.33525368845,-4535.33525368845,13568.33525368845
2013-02-26,8487.0,8487.0,-5098.346407793064,-5098.346407793064,13585.346407793064
2013-02-27,8415.0,8415.0,-5187.33413544291,-5187.33413544291,13602.33413544291
2013-02-28,13207.0,13207.0,-412.2983827317257,-412.2983827317257,13619.298382731726
2013-03-01,11948.0,11948.0,-1688.2390957532425,-1688.2390957532425,13636.239095753243
2013-03-02,7736.0,7736.0,-5917.156220601197,-5917.156220601197,13653.156220601197
2013-03-03,8361.0,8361.0,-5309.049703369326,-5309.049703369326,13670.049703369326
2013-03-04,9261.0,9261.0,-4425.919490151358,-4425.919490151358,13686.919490151358
2013-03-05,11349.0,11349.0,-2354.7655270410287,-2354.7655270410287,13703.765527041029
2013-03-06,13445.0,13445.0,-275.58776013207535,-275.58776013207535,13720.587760132075
2013-03-07,15145.0,15145.0,1407.6138644817693,1407.6138644817693,13737.38613551823
2013-03-08,12882.0,12882.0,-872.1605992932255,-872.1605992932255,13754.160599293225
2013-03-09,13204.0,13204.0,-566.9110975507938,-566.9110975507938,13770.911097550794
2013-03-10,12970.0,12970.0,-817.637576384679,-817.637576384679,13787.637576384679
2013-03-11,16072.0,16072.0,2267.660018111399,2267.660018111399,13804.339981888601
2013-03-12,22626.0,22626.0,8804.981739843694,8804.981739843694,13821.018260156306
2013-03-13,16349.0,16349.0,2511.327642718479,2511.327642718479,13837.67235728152
2013-03-14,13358.0,13358.0,-496.3022193579818,-496.3022193579818,13854.302219357982
2013-03-15,10415.0,10415.0,-3455.907792479422,-3455.907792479422,13870.907792479422
2013-03-16,8527.0,8527.0,-5360.489022739574,-5360.489022739574,13887.489022739574
2013-03-17,8995.0,8995.0,-4909.045856232178,-4909.045856232178,13904.045856232178
2013-03-18,13736.0,13736.0,-184.57823905096848,-184.57823905096848,13920.578239050968
2013-03-19,17682.0,17682.0,3744.913882710329,3744.913882710329,13937.086117289671
2013-03-20,20852.0,20852.0,6898.430562957976,6898.430562957976,13953.569437042024
2013-03-21,29900.0,29900.0,15929.97185559824,15929.97185559824,13970.02814440176
2013-03-22,51531.0,51531.0,37544.53781453738,37544.53781453738,13986.462185462618
2013-03-23,56002.0,56002.0,41999.128493681674,41999.128493681674,14002.871506318328
2013-03-24,25540.0,25540.0,11520.743946937375,11520.743946937375,14019.256053062625
2013-03-25,32115.0,32115.0,18079.384228210758,18079.384228210758,14035.61577178924
2013-03-26,26695.0,26695.0,12643.04939140809,12643.04939140809,14051.95060859191
2013-03-27,30795.0,30795.0,16726.73949043563,16726.73949043563,14068.26050956437
2013-03-28,43108.0,43108.0,29023.454579199642,29023.454579199642,14084.545420800356
2013-03-29,39232.0,39232.0,25131.194711606404,25131.194711606404,14100.805288393596
2013-03-30,30977.0,30977.0,16859.95994156217,16859.95994156217,14117.040058437828
