"NumTransactionsExcluding10","seasonal","trend","remainder"
1,536.538667148665,-608.479056478091,72.9403893294257
0,678.621248716968,-638.664263924736,-39.9569847922317
0,702.020156626079,-668.849471371381,-33.1706852546972
0,729.618091640109,-696.789131532905,-32.8289601072044
0,747.675336273106,-724.728791694428,-22.9465445786783
0,627.338357029841,-747.972718693022,120.634361663181
14,650.703607082843,-771.216645691616,134.513038608773
31,678.305345142527,-784.490090861978,137.184745719452
106,696.39576530933,-797.763536032341,207.36777072301
95,406.317071927413,-803.973651407203,492.65657947979
116,429.648664124306,-810.183766782065,496.535102657759
126,457.254205229644,-819.738980129335,488.484774899691
136,475.377800930255,-829.294193476605,489.916392546351
117,540.381295079128,-865.937302867573,442.556007788445
109,563.679229419912,-902.58041225854,447.901182838628
101,591.288573570903,-952.314357298812,462.025783727909
120,609.445344805321,-1002.04830233908,512.602957533764
118,799.415186991824,-1049.8823386566,368.467151664777
115,822.679463476499,-1097.71637497412,390.036911497619
76,850.292610673144,-1132.16293024062,357.87031956748
68,868.482557441369,-1166.60948550713,366.126928065762
201,837.322354682305,-1177.35080091695,541.028446234649
195,860.552973310872,-1188.09211632678,522.539143015907
116,888.166931082546,-1193.61436045687,421.447429374321
105,906.393045855202,-1199.13660458696,397.743558731754
103,867.776746276526,-1218.80053906733,454.023792790799
122,890.973707048984,-1238.46447354769,469.490766498711
122,918.588475395688,-1269.0129407858,472.424465390112
129,936.850758172774,-1299.5614080239,491.71064985113
118,766.239098695808,-1352.33874143702,704.099642741212
127,789.402401612157,-1405.11607485014,742.713673237978
137,817.01798053389,-1481.60035654282,801.582376008932
126,835.316431315408,-1558.08463823551,848.768206920101
121,720.232609507948,-1637.20207140265,1037.9694618947
129,743.362254568188,-1716.31950456979,1101.95725000161
130,770.978644064951,-1779.11917553649,1138.14053147154
135,789.313262850899,-1841.91884650319,1187.60558365229
129,794.557274398413,-1883.40844106344,1217.85116666503
127,817.653261602545,-1924.89803562369,1234.24477402115
132,845.270461674337,-1942.0816128409,1228.81115116656
119,863.641248464716,-1959.2651900581,1214.62394159339
124,763.481678097792,-1963.74675504037,1324.26507694258
141,786.544007445814,-1968.22832002263,1322.68431257682
125,814.162018092636,-1990.46298376502,1301.30096567238
123,832.568972887446,-2012.6976475074,1303.12867461996
119,767.694033045783,-2073.61862579742,1424.92459275163
124,790.722704537696,-2134.53960408743,1467.81689954973
117,818.341525759548,-2222.54438706847,1521.20286130892
129,836.784648558789,-2310.54917004951,1602.76452149072
110,808.013219851009,-2415.67441081428,1717.66119096327
125,831.008233486813,-2520.79965157905,1814.79141809224
107,858.627865283694,-2643.33315770115,1891.70529241746
111,877.107156087366,-2765.86666382325,1999.75950773588
107,859.41342577234,-2877.02668141748,2124.61325564514
96,882.374781552036,-2988.1866990117,2201.81191745967
123,909.995223923946,-3082.08907068841,2295.09384676446
103,928.510682732049,-3175.99144236512,2350.48075963307
107,978.211306041852,-3262.47658437949,2391.26527833764
