"NumTransactionsExcluding1000","seasonal","trend","remainder"
1,830.842650371867,-944.538911379981,114.696261008114
0,1143.97049683555,-996.664583165756,-147.305913669793
0,1143.97049683555,-1048.79025495153,-95.180241884018
0,1143.97049683555,-1101.47342636753,-42.4970704680152
0,1143.97049683555,-1154.15659778354,10.1861009479876
0,1295.55436112263,-1207.64627036112,-87.9080907615078
14,1295.55436112263,-1261.13594293871,-20.4184181839212
31,1295.55436112263,-1315.17473613195,50.620375009318
106,1295.55436112263,-1369.21352932519,179.659168202557
95,1061.20460352192,-1461.61597840007,495.411374878154
116,1061.20460352192,-1554.01842747496,608.813823953039
126,1061.20460352192,-1654.45332996179,719.248726439876
136,1061.20460352192,-1754.88823244863,829.683628926713
117,1251.87116382917,-1840.20352113685,705.332357307675
109,1251.87116382917,-1925.51880982506,782.64764599589
101,1251.87116382917,-1989.22768512952,838.356521300346
120,1251.87116382917,-2052.93656043397,921.065396604802
118,1299.92217642487,-2093.58271441939,911.660537994521
115,1299.92217642487,-2134.2288684048,949.306691979934
76,1299.92217642487,-2180.1631012563,956.240924831437
68,1299.92217642487,-2226.0973341078,994.175157682939
201,1161.47756570197,-2303.02459387895,1342.54702817698
195,1161.47756570197,-2379.95185365009,1413.47428794812
116,1161.47756570197,-2488.12337182574,1442.64580612377
105,1161.47756570197,-2596.29489000139,1539.81732429942
103,1304.58323102786,-2707.45965017933,1505.87641915148
122,1304.58323102786,-2818.62441035728,1636.04117932942
122,1304.58323102786,-2933.16751271309,1750.58428168524
129,1304.58323102786,-3047.71061506891,1872.12738404105
118,1541.37469684077,-3157.61873390069,1734.24403705993
127,1541.37469684077,-3267.52685273247,1853.15215589171
150,1541.37469684077,-3355.12849029398,1963.75379345322
126,1541.37469684077,-3442.73012785549,2027.35543101472
121,1504.07917113589,-3530.60646694162,2147.52729580573
129,1504.07917113589,-3618.48280602775,2243.40363489186
130,1504.07917113589,-3704.77667311645,2330.69750198056
135,1504.07917113589,-3791.07054020515,2421.99136906926
129,1496.57170989459,-3883.82812633526,2516.25641644067
127,1496.57170989459,-3976.58571246537,2607.01400257078
132,1496.57170989459,-4083.46806056269,2718.8963506681
119,1496.57170989459,-4190.35040866001,2812.77869876541
124,1782.72931390791,-4255.09847263034,2596.36915872243
141,1782.72931390791,-4319.84653660067,2678.11722269277
125,1782.72931390791,-4346.0626567205,2688.3333428126
123,1782.72931390791,-4372.27877684033,2712.54946293243
119,2140.96078302395,-4415.81468871588,2393.85390569193
124,2140.96078302395,-4459.35060059142,2442.38981756747
117,2140.96078302395,-4553.19082618428,2529.23004316034
129,2140.96078302395,-4647.03105177715,2635.0702687532
110,2248.43053960464,-4811.31463937181,2672.88409976717
125,2248.43053960464,-4975.59822696646,2852.16768736183
107,2248.43053960464,-5217.40382009457,3075.97328048994
111,2248.43053960464,-5459.20941322268,3321.77887361805
107,2152.67125787795,-5710.14288549797,3664.47162762003
96,2152.67125787795,-5961.07635777326,3904.40509989532
123,2152.67125787795,-6130.79262878804,4101.12137091009
103,2152.67125787795,-6300.50889980281,4250.83764192486
107,2211.56103201331,-6384.47529873489,4279.91426672157
104,2211.56103201331,-6468.44169766696,4360.88066565365
108,2211.56103201331,-6492.65959110217,4389.09855908886
106,2211.56103201331,-6516.87748453739,4411.31645252407
108,2175.35070168436,-6454.0624554316,4386.71175374724
119,2175.35070168436,-6391.24742632582,4334.89672464146
111,2175.35070168436,-6316.25337587633,4251.90267419197
115,2175.35070168436,-6241.25932542683,4180.90862374247
113,2198.75191620745,-6215.81669255889,4130.06477635144
105,2198.75191620745,-6190.37405969095,4096.6221434835
108,2198.75191620745,-6198.25795544974,4107.50603924229
119,2198.75191620745,-6206.14185120853,4126.38993500108
115,2149.59952872076,-6260.02466401769,4225.42513529693
116,2149.59952872076,-6313.90747682684,4280.30794810609
111,2149.59952872076,-6396.22819644067,4357.62866771992
131,2149.59952872076,-6478.5489160545,4459.94938733375
115,2152.76001361143,-6555.1231463972,4517.36313278577
110,2152.76001361143,-6631.69737673989,4588.93736312846
124,2152.76001361143,-6693.02504642527,4664.26503281385
119,2152.76001361143,-6754.35271611065,4720.59270249923
77,2367.77631994128,-6805.96998422327,4515.19366428199
97,2367.77631994128,-6857.58725233588,4586.8109323946
132,2367.77631994128,-6937.09498194723,4701.31866200595
105,2367.77631994128,-7016.60271155857,4753.82639161729
116,2522.44396013188,-7145.20421051412,4738.76025038224
114,2522.44396013188,-7273.80570946966,4865.36174933778
110,2522.44396013188,-7409.55354461264,4997.10958448076
122,2522.44396013188,-7545.30137975562,5144.85741962374
112,2550.287873726,-7689.97265295945,5251.68477923346
125,2550.287873726,-7834.64392616328,5409.35605243729
114,2550.287873726,-7965.79830429179,5529.5104305658
107,2550.287873726,-8096.9526824203,5653.66480869431
120,2634.51256817288,-8168.95032836896,5654.43776019608
113,2634.51256817288,-8240.94797431762,5719.43540614474
113,2634.51256817288,-8271.88129793876,5750.36872976588
129,2634.51256817288,-8302.8146215599,5797.30205338701
