"NumTransactionsTotal","seasonal","trend","remainder"
11156,1739882.0154918,-5804276.30454198,4075550.28905018
11279,1739882.0154918,-5832999.17252368,4104396.15703188
11394,1739882.0154918,-5861722.04050539,4133234.02501358
11519,1789674.17307402,-5889308.20666699,4111153.03359297
11640,1789674.17307402,-5916894.3728286,4138860.19975458
11758,1789674.17307402,-5945527.35681551,4167611.18374149
11883,1789674.17307402,-5974160.34080242,4196369.16772839
12004,1839291.48613926,-6122581.7824345,4295294.29629524
12084,1839291.48613926,-6271003.22406659,4443795.73792733
12197,1839291.48613926,-6049399.29236436,4222304.8062251
12319,1839291.48613926,-5827795.36066212,4000822.87452286
12430,1891098.73745123,-4438293.73546512,2559624.99801388
12535,1891098.73745123,-3048792.11026811,1170228.37281688
12652,1891098.73745123,-1949055.75409234,70609.0166411048
12775,1891098.73745123,-849319.397916566,-1029004.33953467
12908,1942070.38062761,-220860.130134262,-1708302.25049335
13031,1942070.38062761,407599.137648041,-2336638.51827565
13155,1942070.38062761,981406.816894949,-2910322.19752256
13270,1942070.38062761,1555214.49614186,-3484014.87676947
13395,1995796.52561475,2220570.94877389,-4202972.47438864
13528,1995796.52561475,2885927.40140593,-4868195.92702068
13666,1995796.52561475,3204987.9383976,-5187118.46401235
13787,1995796.52561475,3524048.47538928,-5506058.00100403
13909,2053446.99627105,3874258.45747312,-5913796.45374417
14000,2053446.99627105,4224468.43955696,-6263915.435828
14062,2053446.99627105,4688120.76228017,-6727505.75855121
14182,2053446.99627105,5151773.08500338,-7191038.08127442
14309,2110380.48766464,5577767.75181158,-7673839.23947622
14426,2110380.48766464,6003762.41861979,-8099716.90628443
14563,2110380.48766464,6122628.48142327,-8218445.96908791
14708,2110380.48766464,6241494.54422675,-8337167.03189139
14823,2165394.36972837,6087550.1490649,-8238121.51879327
14948,2165394.36972837,5933605.75390305,-8084052.12363142
15072,2165394.36972837,5921690.90327992,-8072013.27300829
15172,2165394.36972837,5909776.05265678,-8059998.42238514
15276,2218927.03186744,5897024.57468623,-8100675.60655367
15365,2218927.03186744,5884273.09671568,-8087835.12858312
15448,2218927.03186744,5869881.66629788,-8073360.69816533
15455,2218927.03186744,5855490.23588009,-8058962.26774753
15551,2273701.09974394,5838081.13336694,-8096231.23311088
15663,2273701.09974394,5820672.03085379,-8078710.13059773
15776,2273701.09974394,5799190.03836722,-8057115.13811116
15901,2273701.09974394,5777708.04588066,-8035508.1456246
16004,2327619.29967903,5752771.2963116,-8064386.59599063
16112,2327619.29967903,5727834.54674254,-8039341.84642157
16215,2327619.29967903,5701556.21755597,-8012960.517235
16333,2327619.29967903,5675277.8883694,-7986564.18804843
16407,2380746.59179912,5624883.98581921,-7989223.57761833
16496,2380746.59179912,5574490.08326903,-7938740.67506814
16594,2380746.59179912,5536463.87526884,-7900616.46706796
16633,2380746.59179912,5498437.66726865,-7862551.25906777
16690,2436242.123876,5455715.05207264,-7875267.17594864
16714,2436242.123876,5412992.43687663,-7832520.56075263
16718,2436242.123876,5373505.31227087,-7793029.43614687
16790,2436242.123876,5334018.18766511,-7753470.3115411
16884,2493341.73561792,5299658.94451999,-7776116.68013792
16967,2493341.73561792,5265299.70137488,-7741674.4369928
17060,2493341.73561792,5225858.12582166,-7702139.86143958
17151,2493341.73561792,5186416.55026845,-7662607.28588637
17225,2551525.26768638,5142145.58766165,-7676445.85534803
17295,2551525.26768638,5097874.62505486,-7632104.89274123
17377,2551525.26768638,5076631.55447078,-7610779.82215716
17450,2551525.26768638,5055388.48388671,-7589463.75157309
17527,2608906.08642859,4997889.2876806,-7589268.3741092
17608,2608906.08642859,4940390.0914745,-7531688.17790309
17695,2608906.08642859,4898847.49541455,-7490058.58184314
17779,2608906.08642859,4857304.89935459,-7448431.98578319
17854,2665165.03972677,4818009.88854584,-7465320.92827261
17935,2665165.03972677,4778714.87773708,-7425944.91746385
18011,2665165.03972677,4747773.6284118,-7394927.66813857
18098,2665165.03972677,4716832.37908651,-7363899.41881328
18172,2715107.5092312,4666838.9857151,-7363774.4949463
18262,2715107.5092312,4616845.59234369,-7313691.10157489
18347,2715107.5092312,4578569.08202773,-7275329.59125893
18399,2715107.5092312,4540292.57171177,-7237001.08094297
18475,2766682.96955837,4476133.80236593,-7224341.7719243
18564,2766682.96955837,4411975.03302008,-7160094.00257845
18648,2766682.96955837,4388670.42150505,-7136705.39106341
18720,2766682.96955837,4365365.80999001,-7113328.77954838
18804,2822480.27305414,4337339.99097618,-7141016.26403032
18893,2822480.27305414,4309314.17196235,-7112901.44501649
18973,2822480.27305414,4273645.95964147,-7077153.23269561
19064,2822480.27305414,4237977.74732059,-7041394.02037473
19127,2874873.32896675,4199685.43121161,-7055431.76017836
19206,2874873.32896675,4161393.11510262,-7017060.44406937
19287,2874873.32896675,4122335.78998445,-6977922.1189512
19369,2874873.32896675,4083278.46486628,-6938782.79383303
19453,2929683.70237497,4043823.32347848,-6954054.02585344
19529,2929683.70237497,4004368.18209068,-6914522.88446564
19605,2929683.70237497,3964879.89530365,-6874958.59767861
19677,2929683.70237497,3925391.60851662,-6835398.31089159
19723,2985259.83540096,3886127.55903911,-6851664.39444006
19792,2985259.83540096,3846863.50956159,-6812331.34496255
19857,2985259.83540096,3807697.31190969,-6773100.14731064
19860,2985259.83540096,3768531.11425778,-6733930.94965874
19912,3036934.99825848,3729126.29047118,-6746149.28872966
19987,3036934.99825848,3689721.46668458,-6706669.46494306
20062,3036934.99825848,3650181.02242035,-6667054.02067883
20131,3036934.99825848,3610640.57815611,-6627444.57641459
20197,3088204.64234023,3571411.02763946,-6639418.66997969
20272,3088204.64234023,3532181.47712281,-6600114.11946304
20325,3088204.64234023,3493431.45971518,-6561311.10205541
20338,3088204.64234023,3454681.44230756,-6522548.08464779
20402,3147125.88688521,3416148.09990028,-6542871.9867855
20446,3147125.88688521,3377614.75749301,-6504294.64437822
20478,3147125.88688521,3339104.97316244,-6465752.86004766
20494,3147125.88688521,3300595.18883188,-6427227.07571709
20506,3210987.52814407,3262019.11334819,-6452500.64149225
20529,3210987.52814407,3223443.0378645,-6413901.56600856
20559,3210987.52814407,3184580.50355822,-6375009.03170229
20574,3210987.52814407,3145717.96925195,-6336131.49739602
20632,3273299.44176315,3106767.02606551,-6359434.46782866
20723,3273299.44176315,3067816.08287907,-6320392.52464222
20819,3273299.44176315,3028770.88050063,-6281251.32226378
20893,3273299.44176315,2989725.67812219,-6242132.11988535
20976,3332684.00345203,2950579.46167903,-6262287.46513106
21074,3332684.00345203,2911433.24523586,-6223043.24868789
21156,3332684.00345203,2871600.57247393,-6183128.57592596
21223,3332684.00345203,2831767.89971201,-6143228.90316404
21291,3388811.87775679,2791082.4664538,-6158603.34421058
21372,3388811.87775679,2750397.03319559,-6117836.91095238
21437,3388811.87775679,2709131.82611037,-6076506.70386716
21471,3388811.87775679,2667866.61902515,-6035207.49678194
21496,3444443.52521817,2626215.47573977,-6049163.00095794
21513,3444443.52521817,2584564.33245439,-6007494.85767256
21522,3444443.52521817,2542809.14827686,-5965730.67349503
21537,3444443.52521817,2501053.96409934,-5923960.48931751
21561,3494774.68431132,2459636.14798316,-5932849.83229448
21577,3494774.68431132,2418218.33186699,-5891416.01617831
21585,3494774.68431132,2377371.8267028,-5850561.51101412
21597,3494774.68431132,2336525.32153862,-5809703.00584994
21605,3548521.51848307,2295549.00140889,-5822465.51989196
21660,3548521.51848307,2254572.68127916,-5781434.19976223
21702,3548521.51848307,2213702.88707119,-5740522.40555426
21735,3548521.51848307,2172833.09286322,-5699619.61134629
21799,3607442.63734483,2132203.36431893,-5717847.00166376
21882,3607442.63734483,2091573.63577465,-5677134.27311947
21973,3607442.63734483,2050543.11097491,-5636012.74831974
22068,3607442.63734483,2009512.58617517,-5594887.22352
22147,3662442.69809715,1967969.12952367,-5608264.82762082
22215,3662442.69809715,1926425.67287217,-5566653.37096932
22276,3662442.69809715,1884325.7502642,-5524492.44836135
22339,3662442.69809715,1842225.82765623,-5482329.52575338
22410,3716595.15619066,1799615.8302201,-5493800.98641076
22482,3716595.15619066,1757005.83278397,-5451118.98897462
22561,3716595.15619066,1714102.81370485,-5408136.9698955
22627,3716595.15619066,1671199.79462573,-5365167.95081638
22685,3774398.22416569,1628546.51925639,-5380259.74342208
22746,3774398.22416569,1585893.24388705,-5337545.46805274
22814,3774398.22416569,1543529.91541627,-5295114.13958196
22885,3774398.22416569,1501166.58694549,-5252679.81111118
22955,3826529.50593574,1458642.64043059,-5262217.14636633
23036,3826529.50593574,1416118.69391569,-5219612.19985143
23092,3826529.50593574,1372974.19588019,-5176411.70181593
23151,3826529.50593574,1329829.69784469,-5133208.20378042
23235,3872639.34017048,1286261.07875232,-5135665.4189228
23316,3872639.34017048,1242692.45965995,-5092015.79983043
23387,3872639.34017048,1199192.18284818,-5048444.52301866
23466,3872639.34017048,1155691.90603641,-5004865.24620689
23540,3924832.61590096,1112343.68496531,-5013636.30086627
23575,3924832.61590096,1068995.46389421,-4970253.07979517
23603,3924832.61590096,1026016.01349469,-4927245.62939565
23685,3924832.61590096,983036.563095162,-4884184.17899613
23787,3985018.68100387,940559.812925249,-4901791.49392912
23881,3985018.68100387,898083.062755337,-4859220.74375921
23971,3985018.68100387,855820.105413746,-4816867.78641762
24059,3985018.68100387,813557.148072154,-4774516.82907602
24144,4041799.02488436,771705.152090706,-4789360.17697507
24231,4041799.02488436,729853.156109258,-4747421.18099362
24316,4041799.02488436,688385.455016797,-4705868.47990116
24392,4041799.02488436,646917.753924336,-4664324.7788087
24450,4097112.31007596,605302.982256793,-4677965.29233275
24511,4097112.31007596,563688.21058925,-4636289.52066521
24569,4097112.31007596,521757.752218596,-4594301.06229456
24612,4097112.31007596,479827.293847942,-4552327.6039239
24663,4159836.35521442,437874.044367596,-4573047.39958202
24733,4159836.35521442,395920.79488725,-4531024.15010167
24811,4159836.35521442,353931.189361614,-4488956.54457604
24888,4159836.35521442,311941.583835978,-4446889.9390504
24967,4215609.24361886,269523.148026014,-4460165.39164487
25030,4215609.24361886,227104.71221605,-4417683.95583491
25081,4215609.24361886,184264.46036658,-4374792.70398544
25137,4215609.24361886,141424.208517109,-4331896.45213597
25222,4262715.05704624,98720.3620872646,-4336213.41913351
25288,4262715.05704624,56016.5156574198,-4293443.57270366
25343,4262715.05704624,12895.0177437414,-4250267.07478999
25408,4262715.05704624,-30226.480169937,-4207080.57687631
25507,4306047.11662122,-74428.331646288,-4206111.78497493
25618,4306047.11662122,-118630.183122639,-4161798.93349858
25702,4306047.11662122,-162565.226135959,-4117779.89048526
25790,4306047.11662122,-206500.269149278,-4073756.84747194
25877,4352417.99785936,-244847.801044705,-4081693.19681465
25952,4352417.99785936,-283195.332940131,-4043270.66491922
26026,4352417.99785936,-311730.220959735,-4014661.77689962
26091,4352417.99785936,-340265.10897934,-3986061.88888002
26158,4406572.97389588,-363046.191815252,-4017368.78208063
26222,4406572.97389588,-385827.274651163,-3994523.69924471
26273,4406572.97389588,-409392.853902811,-3970907.11999307
26335,4406572.97389588,-432958.433154459,-3947279.54074142
26380,4458080.91679678,-541137.385563265,-3890563.53123352
26410,4458080.91679678,-649316.33797207,-3782354.57882471
26443,4458080.91679678,-732856.269597116,-3698781.64719967
26500,4458080.91679678,-816396.201222162,-3615184.71557462
26562,4517319.34730896,-862335.370290558,-3628421.9770184
26627,4517319.34730896,-908274.539358954,-3582417.80795
26676,4517319.34730896,-934007.670147164,-3556635.67716179
26752,4517319.34730896,-959740.800935374,-3530826.54637358
26822,4575225.77654631,-999589.97858888,-3548813.79795743
26887,4575225.77654631,-1039439.15624239,-3508899.62030392
26958,4575225.77654631,-1071224.82018337,-3477042.95636294
27036,4575225.77654631,-1103010.48412435,-3445179.29242196
27106,4622883.0501051,-1116180.92758764,-3479596.12251746
27179,4622883.0501051,-1129351.37105094,-3466352.67905416
27262,4622883.0501051,-1216246.5268258,-3379374.5232793
27358,4622883.0501051,-1303141.68260066,-3292383.36750444
27458,4671723.6535192,-1352465.8486892,-3291799.80483
27549,4671723.6535192,-1401790.01477773,-3242384.63874147
27628,4671723.6535192,-1478101.6697956,-3165993.9837236
27701,4671723.6535192,-1554413.32481347,-3089609.32870573
27785,4722774.9877582,-1596476.40778931,-3098513.5799689
27862,4722774.9877582,-1638539.49076515,-3056373.49699306
27962,4722774.98775821,-1671907.85619948,-3022905.13155873
28058,4722774.98775821,-1705276.22163381,-2989440.7661244
28160,4775466.77853762,-1755036.34390331,-2992270.43463431
28245,4775466.77853762,-1804796.4661728,-2942425.31236481
28323,4775466.77853762,-1868579.74280943,-2878564.03572818
28398,4775466.77853762,-1932363.01944606,-2814705.75909156
28476,4830508.4104785,-1982585.16585254,-2819447.24462596
28534,4830508.4104785,-2032807.31225902,-2769167.09821947
28608,4830508.4104785,-2088018.15239198,-2713882.25808651
28674,4830508.4104785,-2143228.99252494,-2658605.41795355
28773,4884729.78123989,-2234504.25053686,-2621452.53070304
28858,4884729.78123989,-2325779.50854877,-2530092.27269112
28907,4884729.78123989,-2355792.41831636,-2500030.36292353
28959,4884729.78123989,-2385805.32808396,-2469965.45315594
29067,4931421.9667348,-2424964.54594608,-2477390.42078872
29161,4931421.9667348,-2464123.7638082,-2438137.2029266
29282,4931421.9667348,-2489885.41178737,-2412254.55494743
29386,4931421.9667348,-2515647.05976654,-2386388.90696826
29492,4977987.94596167,-2545969.07629164,-2402526.86967003
29617,4977987.94596167,-2576291.09281674,-2372079.85314493
29720,4977987.94596167,-2608406.63398986,-2339861.31197181
29824,4977987.94596167,-2640522.17516298,-2307641.77079869
29937,5025917.25907202,-2653250.39033728,-2342729.86873473
30054,5025917.25907202,-2665978.60551158,-2329884.65356043
30175,5025917.25907202,-2838106.89368184,-2157635.36539018
30338,5025917.25907202,-3010235.1818521,-1985344.07721992
30539,5082620.14851213,-3180755.53908723,-1871325.60942489
30764,5082620.14851213,-3351275.89632237,-1700580.25218976
30939,5082620.14851213,-3351275.89632237,-1700405.25218976
31127,5082620.14851213,-3351275.89632237,-1700217.25218976
31279,5144093.57145849,-3351275.89632237,-1761538.67513612
31448,5144093.57145849,-3351275.89632237,-1761369.67513612
31592,5144093.57145849,-3350494.13356959,-1762007.4378889
31750,5144093.57145849,-3349712.37081682,-1762631.20064167
31909,5201366.69279425,-3337729.5409816,-1831728.15181265
32079,5201366.69279425,-3325746.71114639,-1843540.98164787
32217,5201366.69279425,-3308834.47704141,-1860315.21575285
32381,5201366.69279425,-3291922.24293643,-1877063.44985783
32537,5257070.24879297,-3289533.2010767,-1935000.04771627
32687,5257070.24879297,-3287144.15921697,-1937239.089576
32806,5257070.24879297,-3286583.50656477,-1937680.74222819
32938,5257070.24879297,-3286022.85391258,-1938109.39488039
33101,5309718.68826921,-3283554.71793894,-1993062.97033027
33293,526395.603663692,-3281086.58196531,2787983.97830161
33501,553388.514186642,-2658084.82938746,2138197.31520082
33659,553388.514186642,-2035083.07680962,1515353.56262298
33818,553388.514186642,-1422944.69863021,903374.184443566
33968,553388.514186642,-810806.320450797,291385.806264154
34116,583970.145067381,-825319.247065095,275465.101997715
34307,583970.145067381,-839832.173679393,290169.028612013
34461,583970.145067381,-848064.895245557,298555.750178177
34629,583970.145067381,-856297.616811721,306956.47174434
34789,619324.724483101,-870523.87421443,285988.149731328
34948,619324.724483101,-884750.131617139,300373.407134037
35085,619324.724483101,-946282.895878169,362043.171395068
35220,619324.724483101,-1007815.6601392,423710.935656098
35344,657080.104509435,-1057841.48541627,436105.380906838
35474,657080.104509435,-1107867.31069335,486261.206183913
35594,657080.104509435,-1177639.90428929,556153.799779858
35734,657080.104509435,-1247412.49788524,626066.393375804
35921,691018.700260319,-1284913.24104674,629815.540786421
36073,691018.700260319,-1322413.98420824,667468.283947922
36225,691018.700260319,-1368186.90787359,713393.207613276
36373,691018.700260319,-1413959.83153895,759314.13127863
36580,718064.958700362,-1465533.54341953,784048.584719168
36788,718064.958700362,-1517107.25530011,835830.296599749
36966,718064.958700362,-1579804.42431815,898705.465617792
37142,718064.958700362,-1642501.5933362,961578.634635836
37337,765759.439543496,-1684571.98648745,956149.546943956
37520,765759.439543496,-1726642.37963871,998402.94009521
37730,765759.439543496,-1778218.41221281,1050188.97266931
37919,765759.439543496,-1829794.44478691,1101954.00524341
38061,822321.85890984,-1883563.51479526,1099302.65588542
38307,822321.85890984,-1937332.58480361,1153317.72589377
38542,822321.85890984,-1987669.01300511,1203889.15409527
38792,822321.85890984,-2038005.4412066,1254475.58229676
38996,872030.784690992,-2081200.31678884,1248165.53209784
39206,872030.784690992,-2124395.19237107,1291570.40768008
39427,872030.784690992,-2193104.23745058,1360500.45275959
39638,872030.784690992,-2261813.28253009,1429420.49783909
39804,915781.525509862,-2317067.80975118,1441090.28424132
39985,915781.525509862,-2372322.33697228,1496525.81146241
40178,915781.525509862,-2426730.12893938,1551126.60342952
40405,915781.525509862,-2481137.92090649,1605761.39539663
40620,961229.492814207,-2531345.34041501,1610735.84760081
40814,961229.492814207,-2581552.75992354,1661137.26710933
40996,961229.492814207,-2614459.69349216,1694226.20067795
41240,961229.492814207,-2647366.62706078,1727377.13424657
41475,1011830.71983493,-2680866.91748439,1710511.19764946
41658,1011830.71983493,-2714367.207908,1744194.48807307
41882,1011830.71983493,-2755204.18862077,1785255.46878584
42100,1011830.71983493,-2796041.16933354,1826310.44949862
42361,1065353.00971581,-2914854.37408658,1891862.36437077
42613,1065353.00971581,-3033667.57883962,2010927.56912381
42809,1065353.00971581,-3163381.97778295,2140837.96806714
42959,1065353.00971581,-3293096.37672628,2270702.36701047
43135,1117089.4297176,-3329640.08539324,2255685.65567564
43311,1117089.4297176,-3366183.7940602,2292405.3643426
43476,1117089.4297176,-3395254.05340041,2321640.62368281
43663,1117089.4297176,-3424324.31274062,2350897.88302302
43867,1166289.79989404,-3455093.63635889,2332670.83646486
44018,1166289.79989404,-3485862.95997717,2363591.16008314
44205,1166289.79989404,-3515569.98097653,2393485.18108249
44383,1166289.79989404,-3545277.00197589,2423370.20208185
44571,1220615.89510978,-3570071.57589439,2394026.6807846
44749,1220615.89510978,-3594866.14981288,2418999.2547031
44890,1220615.89510978,-3634681.29878941,2458955.40367962
45039,1220615.89510978,-3674496.44776594,2498919.55265615
45191,1275423.72441207,-3797510.53565517,2567277.81124309
45345,1275423.72441207,-3920524.6235444,2690445.89913232
45464,1275423.72441207,-4015962.91541188,2786003.1909998
45624,1275423.72441207,-4111401.20727935,2881601.48286728
45751,1321504.47837521,-4152348.71849758,2876595.24012237
45879,1321504.47837521,-4193296.22971581,2917670.7513406
46017,1321504.47837521,-4215954.93037212,2940467.45199691
46144,1321504.47837521,-4238613.63102843,2963253.15265322
46305,1370334.18131855,-4313049.83281781,2989020.65149926
46449,1370334.18131855,-4387486.0346072,3063600.85328864
46652,1370334.18131855,-4438300.63506652,3114618.45374796
46843,1370334.18131855,-4489115.23552584,3165624.05420728
47029,1419491.53809961,-4526977.43271689,3154514.89461728
47244,1419491.53809961,-4564839.62990795,3192592.09180834
47431,1419491.53809961,-4612961.80083088,3240901.26273127
47628,1419491.53809961,-4661083.97175382,3289220.43365421
47841,1471912.4515734,-4711375.0015673,3287303.5499939
48023,1471912.4515734,-4761666.03138079,3337776.57980739
48221,1471912.4515734,-4808937.40268199,3385245.95110859
48426,1471912.4515734,-4856208.77398319,3432722.3224098
48643,1524458.66803215,-4905533.52754997,3429717.85951782
48856,1524458.66803215,-4954858.28111674,3479255.61308459
49054,1524458.66803215,-4989174.46287589,3513769.79484374
49209,1524458.66803215,-5023490.64463504,3548240.97660289
49380,1575522.57902233,-5070235.05390352,3544092.47488119
49555,1575522.57902233,-5116979.46317201,3591011.88414967
49734,1575522.57902233,-5201889.89825123,3676101.3192289
49909,1575522.57902233,-5286800.33333046,3761186.75430812
50116,1633240.54840743,-5343187.35396387,3760062.80555644
50324,1633240.54840743,-5399574.37459729,3816657.82618986
50513,1633240.54840743,-5456362.70195588,3873635.15354845
50807,1633240.54840743,-5513151.02931448,3930717.48090704
51078,1687664.55728465,-5526743.41519914,3890156.85791449
51348,1687664.55728465,-5540335.8010838,3904019.24379915
51538,1687664.55728465,-5564625.81249536,3928499.25521071
51768,1687664.55728465,-5588915.82390692,3953019.26662227
52055,1739882.0154918,-5611713.1025574,3923886.0870656
52289,1739882.0154918,-5634510.38120788,3946917.36571608
52531,1739882.0154918,-5793593.50256933,4106242.48707753
53868,1739882.0154918,-5952676.62393079,4266662.60843899
56164,1789674.17307402,-6168707.36073065,4435197.18765663
56406,1789674.17307402,-6384738.09753052,4651469.9244565
56657,1789674.17307402,-6566349.44810263,4833332.27502861
56867,1789674.17307402,-6747960.79867474,5015153.62560072
57065,1839291.48613926,-6751381.66745756,4969155.1813183
57256,1839291.48613926,-6754802.53624038,4972767.05010112
57466,1839291.48613926,-6456270.41453009,4674444.92839083
57686,1839291.48613926,-6157738.29281979,4376132.80668053
57911,1891098.73745123,-5477407.98689961,3644220.24944838
58130,1891098.73745123,-4797077.68097943,2964108.94352819
58327,1891098.73745123,-3432250.54579148,1599478.80834024
58508,1891098.73745123,-2067423.41060353,234832.673152295
58695,1942070.38062761,-939500.866529909,-943874.514097702
58892,1942070.38062761,188421.677543709,-2071600.05817132
59078,1942070.38062761,1143820.50269997,-3026812.88332758
59229,1942070.38062761,2099219.32785624,-3982060.70848385
59420,1995796.52561475,2663759.27626893,-4600135.80188368
59593,1995796.52561475,3228299.22468162,-5164502.75029637
59759,1995796.52561475,3579632.93771397,-5515670.46332872
59929,1995796.52561475,3930966.65074632,-5866834.17636107
60122,2053446.99627105,4326191.40647876,-6319516.4027498
60283,2053446.99627105,4721416.1622112,-6714580.15848224
60421,2053446.99627105,5146838.11801315,-7139864.1142842
60568,2053446.99627105,5572260.0738151,-7565139.07008615
60732,2110380.48766464,5853422.81946859,-7903071.30713323
60880,2110380.48766464,6134585.56512207,-8184086.05278671
61018,2110380.48766464,6143994.04849777,-8193356.53616241
61136,2110380.48766464,6153402.53187347,-8202647.01953811
61309,2165394.36972837,6152563.53458054,-8256648.90430891
61526,2165394.36972837,6151724.53728762,-8255592.90701598
61738,2165394.36972837,6148897.37745077,-8252553.74717914
