"TotalBitcoins","seasonal","trend","remainder"
1679750,-414666.975694676,1526954.99641381,567461.979280865
1687250,-414677.18951233,2111414.66352598,-9487.47401364753
1694650,-410442.05453304,2111401.27745682,-6309.22292377986
1704200,-410460.037502499,2111387.89138766,3272.14611483738
1711900,-410478.178869315,2111423.26327573,10954.9155935869
1720200,-410488.404123103,2111458.63516379,19229.7689593085
1728100,-404523.716794515,2111890.91738503,20732.7994094891
1736000,-404541.688935959,2112323.19960626,28218.4893297013
1742800,-404559.844691,2112819.2689408,34540.5757501954
1749500,-404570.081380921,2113315.33827535,40754.7431055708
1755650,-399565.72644,2113911.99337503,41303.7330649733
1762150,-399583.687753429,2114508.6484747,47225.0392787252
1768100,-399601.857896694,2115468.4014781,52233.4564185925
1775100,-399612.106022749,2116428.1544815,58283.9515412501
1784000,-396423.504747099,2119230.7915995,61192.7131475983
1791500,-396441.455232512,2122033.4287175,65908.0265150093
1799050,-396459.639764002,2124750.50129331,70759.1384706916
1806300,-396469.899326191,2127467.57386912,75302.3254570737
1816450,-391144.943464004,2132004.45440748,75590.4890565197
1826550,-391162.883121401,2136541.33494585,81171.5481755496
1835400,-391181.07751924,2139188.84744015,87392.2300790939
1844050,-391191.353039438,2141836.35993444,93404.9931049976
1853700,-385896.214064063,2143438.35750528,96157.8565587788
1862700,-385914.142893446,2145040.35507613,103573.787817317
1873000,-385932.347157634,2147657.31092583,111275.036231805
1881950,-385942.638635841,2150274.26677553,117618.371860314
1889050,-381580.192377839,2153266.14646967,117364.045908169
1901200,-381598.110379206,2156258.02616381,126540.084215394
1912750,-381616.324509743,2163483.74561557,130882.578894175
1925000,-381626.631945959,2170709.46506732,135917.166878636
1934550,-376880.457742322,2174703.17039006,136727.28735226
1944900,-376898.364915673,2178696.8757128,143101.489202872
1955450,-376916.588912559,2184434.15266353,147932.436249032
1965900,-376926.912306785,2190171.42961425,152655.482692532
1973850,-375029.920572995,2193351.26969731,155528.650875681
1982750,-375047.816918332,2196531.10978037,161266.707137957
1992100,-375066.050781566,2198301.04028695,168865.01049462
2003300,-375076.390133801,2200070.97079352,178305.419340283
2013600,-370213.623344098,2201815.85247126,181997.770872836
2022850,-370231.508861419,2203560.73414901,189520.774712414
2031600,-370249.752591003,2206264.71087512,195585.041715879
2043200,-370260.107901247,2208968.68760124,204491.420300006
2054650,-363125.331850968,2216926.7150963,200848.616754672
2063600,-363143.206540274,2224884.74259135,201858.463948924
2074700,-363161.460136207,2229327.01204856,208534.448087649
2085400,-363171.83140446,2233769.28150577,214802.549898695
2098150,-358711.575064507,2237832.51989921,219029.055165293
2110700,-358729.438925797,2241895.75829266,227533.680633135
2120200,-358747.702388079,2245240.21731539,233707.485072686
2127600,-358758.089614342,2248584.67633812,237773.413276217
2136100,-354179.368968388,2252507.7820843,237771.586884087
2144750,-354197.222001663,2256430.88783048,242516.334171186
2152850,-354215.495330294,2259016.16349444,248049.331835854
2162150,-354225.898514566,2261601.4391584,254774.459356163
2171950,-349223.977004738,2264490.00309258,256683.97391216
2179350,-349241.819209998,2267378.56702675,261213.252183245
2188450,-349260.102404978,2270330.4510613,267379.651343674
2197200,-349270.521547259,2273282.33509585,273188.186451405
2206350,-343606.708811332,2277290.859525,272665.849286329
2215000,-343624.540188576,2281299.38395415,277325.156234425
2221800,-343642.833249905,2282430.37526255,283012.457987356
2229200,-343653.268350195,2283561.36657095,289291.901779248
2236650,-337699.008348683,2284760.65824738,289588.350101303
2243950,-337716.828897912,2285959.94992381,295706.878974101
2249850,-337735.13182559,2287030.55843899,300554.573386596
2257750,-337745.582883889,2288101.16695418,307394.415929712
2264000,-332341.65203414,2288786.28767038,307555.364363759
2270200,-332359.461755353,2289471.40838658,313088.05336877
2277000,-332377.77454938,2290404.56496733,318973.209582049
2283150,-332388.241565689,2291337.72154808,324200.520017609
2290950,-327069.843430066,2295727.66501845,322292.178411615
2297600,-327087.642323264,2300117.60848882,324570.033834441
2307250,-327105.96498364,2302553.39035291,331802.574630729
2316300,-327116.447957958,2304989.172217,338427.27574096
2325150,-321131.40115593,2307534.10157326,338747.299582671
2335400,-321149.189221113,2310079.03092952,346470.158291594
2344100,-321167.521747838,2313852.46972219,351415.052025647
2353400,-321178.020680165,2317625.90851486,356952.112165302
2363150,-315155.513042122,2321127.45755307,357178.055489053
2371850,-315173.29027929,2324629.00659127,362394.283688015
2381550,-315191.632672364,2328899.75794898,367841.874723384
2391150,-315202.1475627,2333170.50930669,373181.638256015
2401700,-309399.022696053,2335667.8270488,375431.195647253
2412050,-309416.789105205,2338165.14479092,383301.64431429
2421500,-309435.141364628,2341291.20799201,389643.933372623
2428900,-309445.672212974,2344417.27119309,393928.40101988
2437200,-303983.178354468,2349274.04142952,391909.136924952
2445500,-304000.933935605,2354130.81166594,395370.122269667
2453800,-304019.296061377,2355492.26413352,402327.031927859
2461050,-304029.842867732,2356853.7166011,408226.126266635
2470700,-298412.777482137,2358767.68414781,410345.093334329
2480450,-298430.522235258,2360681.65169452,418198.87054074
2489300,-298448.894227379,2366604.58686098,421144.307366396
2501300,-298459.456991744,2372527.52202745,427231.934964296
2513250,-292767.438750913,2376853.48839505,429163.950355861
2524100,-292785.172676019,2381179.45476266,435705.717913362
2532350,-292803.554534489,2386473.17237725,438680.382157237
2542350,-292814.133256862,2391766.88999185,443397.243265015
2552650,-286932.042145435,2395551.04107287,444031.001072568
2562750,-286949.765242526,2399335.19215389,450364.573088638
2573250,-286968.156967345,2404626.49867566,455591.658291684
2586500,-286978.751647728,2409917.80519743,463560.946450294
2597350,-280811.516217969,2414520.33895998,463641.177257994
2607600,-280829.228487044,2419122.87272252,469306.355764527
2618650,-280847.630078212,2422838.13386202,476659.49621619
2627500,-280858.240716604,2426553.39500153,481804.845715076
2635000,-274547.199016119,2428499.19816829,481048.000847832
2642350,-274564.900457179,2430445.00133505,486469.899122132
2650800,-274583.311914696,2431124.50138066,494258.810534034
2659300,-274593.938511098,2431804.00142628,502089.93708482
2667800,-268043.676160278,2432225.93380965,503617.742350627
2676550,-268061.366773323,2432647.86619302,511963.500580298
2684500,-268079.788097189,2433088.55589467,519491.232202516
2692150,-268090.4306516,2433529.24559632,526711.185055279
2700300,-261712.951716297,2914446.54129396,47566.4104223377
2708800,-261730.631501327,3395363.8369916,-424833.205490272
2716800,-261749.062691542,3395317.44554402,-416768.382852476
2723300,-261759.721203961,3395271.05409644,-410211.332892476
2730600,-255671.386582454,3395016.00164115,-408744.6150587
2738150,-255689.055539468,3394760.94918587,-400921.893646401
2744700,-255707.496596032,3394572.56092093,-394165.064324902
2752100,-255718.171066461,3394384.172656,-386566.001589538
2759200,-249598.33430303,3394269.02614411,-385470.69184108
2766050,-249615.992432029,3394153.87963222,-378487.887200193
2771800,-249634.443354942,3394042.30548771,-372607.862132769
2777850,-249645.13378338,3393930.7313432,-366435.597559821
2784350,-243350.226451078,3393924.97235055,-366224.745899476
2790350,-243367.873752061,3393919.21335791,-360201.339605846
2795650,-243386.334541323,3394496.50094655,-355460.166405229
2800450,-243397.040927771,3395073.7885352,-351226.747607428
2807650,-236775.264160811,3395984.58398968,-351559.319828873
2816050,-236792.90063378,3396895.37944417,-344052.47881039
2824150,-236811.371289391,3398597.88300996,-337636.511720567
2833300,-236822.093633847,3400300.38657575,-330178.2929419
2842550,-230322.437194454,3402069.62848305,-329197.191288597
2852150,-230340.062248398,3403838.87039036,-321348.808141959
2862900,-230358.542770358,3408872.61970994,-315614.076939578
2872400,-230369.281072823,3413906.36902951,-311137.08795669
2883150,-224172.607233158,3417492.23907579,-310169.631842628
2893750,-224190.220868076,3421078.10912206,-303137.888253984
2903500,-224208.711256385,3424526.41379192,-296817.702535533
2914450,-224219.46551686,3427974.71846178,-289305.252944916
2924300,-218299.441185545,3432020.50172229,-289421.060536746
2931850,-218317.043401438,3436066.28498281,-285899.241581368
2939450,-218335.543656096,3437243.55480305,-279458.011146951
2946100,-218346.31387458,3438420.82462329,-273974.510748708
2952750,-212351.667794055,3439353.2010175,-274251.533223445
2960600,-212369.258590923,3440285.57741171,-267316.318820789
2967250,-212387.76871193,3441566.1166516,-261928.347939668
2974200,-212398.554888423,3442846.65589148,-256248.10100306
2981750,-205962.761197192,3444307.36867337,-256594.607476178
2989550,-205980.340575035,3445768.08145526,-250237.740880223
2997450,-205998.860562391,3447531.7271053,-244082.866542912
