"MarketPrice","seasonal","trend","remainder"
0,46.9677843199259,-47.6247096888815,0.656925368955569
0,46.1921643373928,-46.677053499989,0.484889162596183
0,46.1921643373928,-45.7293973110965,-0.462767026296291
0,46.1921643373928,-44.7753339989981,-1.41683033839467
0,46.1921643373928,-43.8212706868998,-2.37089365049305
0,45.411514184727,-42.8630144397037,-2.54849974502336
0,45.411514184727,-41.9047581925076,-3.50675599221945
0,45.411514184727,-40.9200997168401,-4.49141446788697
0,45.411514184727,-39.9354412411725,-5.47607294355448
0,44.3950853255795,-38.9449066666547,-5.45017865892477
0,44.3950853255795,-37.9543720921368,-6.44071323344264
0,44.3950853255795,-36.9824855285359,-7.41259979704357
0,44.3950853255795,-36.0105989649349,-8.3844863606445
0,43.3816575562871,-35.0855767503808,-8.29608080590631
0,43.3816575562871,-34.1605545358266,-9.22110302046047
0,43.3816575562871,-33.2973832017302,-10.0842743545569
0,43.3816575562871,-32.4342118676337,-10.9474456886534
0,42.5508579565937,-31.6231535152104,-10.9277044413833
0,42.5508579565937,-30.8120951627871,-11.7387627938066
0,42.5508579565937,-30.023104890648,-12.5277530659457
0,42.5508579565937,-29.2341146185089,-13.3167433380848
0,41.5849840102002,-28.4469622041207,-13.1380218060795
0,41.5849840102002,-27.6598097897325,-13.9251742204677
0,41.5849840102002,-26.8709481747093,-14.714035835491
0,41.5849840102002,-26.0820865596861,-15.5028974505142
0,40.4745920211675,-25.2989580491445,-15.1756339720231
0,40.4745920211675,-24.5158295386028,-15.9587624825647
0,40.4745920211675,-23.7394365702947,-16.7351554508728
0,40.4745920211675,-22.9630436019866,-17.5115484191809
0,39.4154120156003,-22.1954556178717,-17.2199563977286
0,39.4154120156003,-21.4278676337568,-17.9875443818436
0,39.4154120156003,-20.6612216170729,-18.7541903985274
0,39.4154120156003,-19.8945756003891,-19.5208364152113
0,38.3290688705164,-19.1361320516963,-19.1929368188201
0,38.3290688705164,-18.3776885030036,-19.9513803675128
0,38.3290688705164,-17.6651965419692,-20.6638723285471
0,38.3290688705164,-16.9527045809349,-21.3763642895815
0,37.3217065596941,-16.3303100183057,-20.9913965413883
0,37.3217065596941,-15.7079154556766,-21.6137911040175
0,37.3217065596941,-15.1662236394485,-22.1554829202455
0,37.3217065596941,-14.6245318232205,-22.6971747364736
0,36.406522032758,-14.1412697091813,-22.2652523235767
0,36.406522032758,-13.6580075951421,-22.7485144376159
0,36.406522032758,-13.2437062307617,-23.1628158019963
0,36.406522032758,-12.8294048663812,-23.5771171663767
0,35.4691322597895,-12.4901197199208,-22.9790125398687
0,35.4691322597895,-12.1508345734604,-23.3182976863291
0,35.4691322597895,-11.9015580012383,-23.5675742585511
0,35.4691322597895,-11.6522814290163,-23.8168508307732
0,34.6077227285206,-11.508073877721,-23.0996488507996
0,34.6077227285206,-11.3638663264257,-23.2438564020948
0,34.6077227285206,-11.3306578139628,-23.2770649145578
0,34.6077227285206,-11.2974493014999,-23.3102734270207
0,33.6550024685057,-11.3742699810853,-22.2807324874204
0,33.6550024685057,-11.4510906606708,-22.2039118078349
0,33.6550024685057,-11.6202051114776,-22.0347973570281
0,33.6550024685057,-11.7893195622845,-21.8656829062212
0,32.6769791358981,-12.0443815548449,-20.6325975810532
0,32.6769791358981,-12.2994435474054,-20.3775355884928
0,32.6769791358981,-12.6102847219115,-20.0666944139866
0,32.6769791358981,-12.9211258964176,-19.7558532394805
0,31.8625669786043,-13.2349778237918,-18.6275891548125
0,31.8625669786043,-13.548829751166,-18.3137372274383
0,31.8625669786043,-13.8330677905156,-18.0294991880887
0,31.8625669786043,-14.1173058298651,-17.7452611487392
0,31.0605672039782,-14.323954900054,-16.7366123039242
0,31.0605672039782,-14.5306039702428,-16.5299632337354
0,31.0605672039782,-14.6187856184024,-16.4417815855758
0,31.0605672039782,-14.7069672665619,-16.3535999374163
0,30.3128032398765,-14.6723205917662,-15.6404826481103
0,30.3128032398765,-14.6376739169704,-15.675129322906
0,30.3128032398765,-14.4376489578503,-15.8751542820261
0,30.3128032398765,-14.2376239987303,-16.0751792411462
0,29.651809414916,-13.8693506211616,-15.7824587937544
0,29.651809414916,-13.5010772435929,-16.1507321713231
0,29.651809414916,-12.9886473060342,-16.6631621088818
0,29.651809414916,-12.4762173684755,-17.1755920464404
0,28.9192264977445,-11.8606315714548,-17.0585949262897
0,28.9192264977445,-11.245045774434,-17.6741807233105
0,28.9192264977445,-10.5862094298144,-18.3330170679301
0,28.9192264977445,-9.92737308519481,-18.9918534125497
0,28.221479586497,-9.26315972077585,-18.9583198657211
0,28.221479586497,-8.5989463563569,-19.6225332301401
0,28.221479586497,-7.95510624333882,-20.2663733431582
0,28.221479586497,-7.31126613032074,-20.9102134561762
0,27.4729370752147,-6.70953432345023,-20.7634027517645
0,27.4729370752147,-6.10780251657972,-21.365134558635
0,27.4729370752147,-5.5822792357024,-21.8906578395123
0,27.4729370752147,-5.05675595482508,-22.4161811203896
0,26.4470270421559,-4.64628391917526,-21.8007431229806
0,26.4470270421559,-4.23581188352544,-22.2112151586304
0,26.4470270421559,-3.94499043702818,-22.5020366051277
0,26.4470270421559,-3.65416899053091,-22.792858051625
0,25.5004031853683,-3.44024382668812,-22.0601593586802
0,25.5004031853683,-3.22631866284532,-22.274084522523
0,25.5004031853683,-3.06924059765069,-22.4311625877176
0,25.5004031853683,-2.91216253245606,-22.5882406529122
0,24.7528650626474,-2.77208336584977,-21.9807816967976
0,24.7528650626474,-2.63200419924347,-22.1208608634039
0,24.7528650626474,-2.48814185809104,-22.2647232045564
