"","AvgBlockSize","BitcoiDaysDestroyed","BitcoinDaysDestroyedCumulative","BitcoinDaysDestroyedMinMonth","BitcoinDaysDestroyedMinWeek","BitcoinDaysDestroyedMinYear","BlockSize","CostPerTransactionPercent","CostPerTransaction","Difficulty","EstimatedTransactionVolumeUSD","EstimatedTransactionVolume","EuroPriceInUSD","HashRate","MarketCap","MarketPrice","MedianConfirmationTime","MinersRevenue","NumTransactionsExcluding10","NumTransactionsExcluding100","NumTransactionsExcluding1000","NumTransactionsExcluding10000","NumTransactionsExcludingPopular","NumTransactionsPerBlock","NumTransactionsTotal","NumTransactions","NumUniqueAdresses","NetworkDeficit","OutputVolume","SP500.Open","SP500.High","SP500.Low","SP500.Close","SP500.Volume","SP500.Adj.Close","TotalBitcoins","TradeVolume","TransactionFeesUSD","TransactionFees","TxTradeRatio","WikipediaTrend"
"2612",2.77297218949344,0.178849849011147,1.95670472178152,0.154411724747188,0.168498923835107,0.215565374665095,2.75945830929891,-0.0291462729144113,-0.141977668132263,4.20421343207448,2.422674934131,0.665166100409965,-1.89609750869682,3.57148120065142,1.57531807876413,1.26660423540932,0.651565482689461,0.872397136657735,2.77096649782918,2.70688664189685,2.74700769455276,2.62758572295344,2.48161241758154,3.58839821711807,2.68606067021311,2.40766436586582,2.62201535971361,-0.851097462433459,0.6186171309219,1.13544342179122,1.13704400850483,1.13118523852102,1.11041766280284,0.380666254987749,1.11041766280284,1.35958962854618,-0.100369932995787,2.17509673720599,1.05586903710752,3.44052087595649,0.00383783407971181
"2613",2.57859982960325,0.67080922430552,1.95933785083753,0.631115397693312,0.660736478877108,0.869737137725077,2.76547767316894,-0.0291460816127207,-0.18554033497693,4.20421343207448,2.36841745853021,0.639250675884287,-1.93273606742308,4.12706058150816,1.58368392276963,1.27333505100826,0.733816261371743,1.09371689512138,3.09767829929493,2.94529187782796,3.07721022602759,3.08656375161784,3.05988585903488,2.8793790583683,2.69290651672919,3.15880043163504,2.9211119808024,-1.0701685079142,2.95997548653513,1.12884857072117,1.13308924598152,1.11939177015974,1.09707293699959,0.451811091877946,1.09707293699959,1.36036327209035,-0.230771127946615,2.50360311810146,1.26765514186732,5.50308737429651,-0.0129841619290143
"2614",3.54790351862556,1.01115569181993,1.96271563204748,0.884615993162071,0.976114724444019,0.626283800831646,2.77248097151772,-0.0291466424253694,-0.308983428706154,4.20421343207448,3.99748823446622,1.28147403595495,-1.9693746260562,3.69494328528203,1.59858664233711,1.28574356139815,1.241029396586,0.94264448176517,3.69077061132555,3.44633843635581,3.39494752362281,2.9202635828086,3.75056438052727,3.14922963371336,2.70100144986177,3.88726417825013,3.44200766967277,-0.906996649563041,3.35739167399462,1.12225371962581,1.12913448343292,1.10759830177313,1.08372821122164,0.522955928768143,1.08372821122164,1.3610642242948,0.100551975967628,3.31165337020502,1.78785851878163,3.39732544827417,0.0570754095489753
"2615",3.52702418003205,4.5616150099275,1.97386154788219,4.58412237299611,4.5577261265552,4.81580042300198,2.77907912037525,-0.0291466787863231,-0.326584675818974,4.20421343207448,3.9243509409814,1.27035832539437,-1.98427844652976,3.47888463718795,1.57617573405716,1.2660089932135,1.4466563432917,0.844434795040143,3.39343062253523,3.3219558257739,3.43299929020267,3.14579514019477,3.7494702363348,2.45079285046731,2.70894173243419,3.79707241333921,3.27102616302985,-0.806273709665789,4.61485010493964,1.09685230555777,1.17993136411675,1.12097021658272,1.20043921290359,0.729177106370633,1.20043921290359,1.36172883082939,-0.00423224167851199,3.45675019310715,1.91012362530008,4.21698685955969,0.0763995331104867
"2616",3.56723546231082,0.771882441313529,1.97671581744041,0.722988594135141,0.751696125287349,0.900708052520328,2.7872978671978,-0.0291465605752031,-0.264020310085674,4.20421343207448,4.20802575232284,1.39309827743917,-1.99918226700332,4.37398475076938,1.56677561470089,1.25740087530464,0.946297439633618,1.19022584847011,3.98523295630645,3.86394002291831,4.0270660943072,3.74128368922846,4.05564825285909,2.32115875054665,2.71736427736215,4.07832644146669,3.56234193333926,-1.13464897285416,2.04694260787978,1.19681308497729,1.20057405245103,1.20127930696649,1.22093696394088,0.592800584636188,1.22093696394088,1.36254401228197,-0.0368340395025109,4.97149575869155,2.93525602386038,4.90462516836965,0.0496845097007479
"2617",3.62752431807516,1.43766451983554,1.98102676748792,1.37018342218747,1.4245581255722,1.38148246801976,2.79435904404533,-0.0291466412846556,-0.245520395456379,4.20421343207448,3.79532025318218,1.26230730930862,-1.95726527192143,3.63321224298571,1.52183023863307,1.21825225396385,1.1142261127773,0.872853328727078,3.73661445408247,3.71861768460845,3.5195998624189,3.16851790123107,3.14298611045245,3.01694993991676,2.72410531735204,3.09767756494993,2.90779130769391,-0.820485763464811,1.08264315380286,1.21958318842134,1.2187373441597,1.22298358846894,1.23852477946438,0.962452735653235,1.23852477946438,1.36323458000931,0.0683973448417515,4.53596204610567,2.71332310540027,3.44838933943261,0.0717032321652589
"2618",3.23392286428774,0.532867073892544,1.98335808962295,0.454215038925517,0.500518075946752,0.454345036657315,2.80170961338662,-0.029146262062923,-0.163206400314249,4.20421343207448,2.75857538431457,0.850969396036305,-1.89299254612921,4.21965714497162,1.49601875260805,1.19554147480007,0.860619545174279,1.06232896458586,3.60424283884927,3.45729490558678,3.17688163053054,3.2940693100575,3.00891697540263,2.19681583837784,2.73056749276804,2.93504454205204,2.98513368157013,-1.03088691941459,2.44559108296768,1.24086067110446,1.25779654771367,1.24679013155919,1.2552013102453,1.82469538707638,1.2552013102453,1.36402380026914,-0.0404581497458415,3.07703476081915,1.74722114744969,3.26828490985799,0.014423758341496
"2619",2.9287609992591,3.57739098638356,1.99235059824164,3.49962136973125,3.571343739237,3.91776524757831,2.80877079023415,-0.0291464589875198,-0.220692965410782,4.20421343207448,3.46160890833324,1.21024643122624,-1.89827098257798,4.43571579310368,1.41427743200893,1.12466186563568,0.607012977569206,1.07874371398166,3.31930648716851,3.0878515534091,2.9486214975853,3.94737587018739,3.50553078862513,2.35290587705783,2.73782220660432,3.39725068480775,3.01563856083541,-1.03972487653321,7.31635450727386,1.24263165807511,1.25525837616032,1.24899348457748,1.25669437779576,1.50358332755596,1.25669437779576,1.36484936619882,0.787865395880494,3.63907356082163,2.24793321813665,0.985347854958524,-0.0188352909755277
"2620",2.3910441289731,0.32407822400968,1.99422510627215,0.277527595720869,0.312765435926441,0.331121023411541,2.81403773362043,-0.0291461499248328,-0.101519577083073,4.05932881879898,2.14921484904241,0.617949987611713,-1.9035494189336,3.68550529971972,1.45656860849197,1.16065112455248,0.696117987809716,0.879350378250452,2.47377535268417,2.35106823999493,2.39371672380699,2.59847014685046,2.30171687660405,2.33438671992631,2.74304687286892,2.21333274001262,2.02570458143426,-0.857378415777538,1.22975476780464,1.24440264502046,1.25272020463227,1.25119683759578,1.25818744532091,1.18247126802664,1.25818744532091,1.36557108735748,-0.0275639526423858,2.22756633446206,1.19663285749196,2.46873926372863,0.0149626781220959
"2621",2.34541518695905,1.3959288137604,1.99844474177289,1.36021082909176,1.35305508732795,1.35537396578986,2.81988346199421,-0.029145899590233,-0.0703897436348582,4.05932881879898,1.99024301167512,0.542047485191019,-1.90882785538237,4.16405578842677,1.47350615664105,1.17475378580741,0.404813146642616,1.07342636784315,2.74070162328186,2.76082135289628,2.70178968015547,2.57959612141552,2.4508122585637,2.38729859744495,2.74863848384324,2.42733384651129,2.56429543094808,-1.05011709942707,0.729064383186983,1.24617363199111,1.25018203307892,1.25340019061407,1.25968051287136,0.861359208506218,1.25968051287136,1.36637588433295,-0.0956437089798815,2.45454264011462,1.34036362470347,2.8148634897026,0.0950307598112268
