Date,AvgBlockSize,BitcoiDaysDestroyed,BitcoinDaysDestroyedCumulative,BitcoinDaysDestroyedMinMonth,BitcoinDaysDestroyedMinWeek,BitcoinDaysDestroyedMinYear,BlockSize,CostPerTransaction,CostPerTransactionPercent,Difficulty,EstimatedTransactionVolume,EstimatedTransactionVolumeUSD,EuroPriceInUSD,HashRate,MarketCap,MarketPrice,MedianConfirmationTime,MinersRevenue,NetworkDeficit,NumTransactions,NumTransactionsExcluding10,NumTransactionsExcluding100,NumTransactionsExcluding1000,NumTransactionsExcluding10000,NumTransactionsExcludingPopular,NumTransactionsPerBlock,NumTransactionsTotal,NumUniqueAdresses,OutputVolume,Open,High,Low,Close,Volume,Adj-Close,TotalBitcoins,TradeVolume,TransactionFees,TransactionFeesUSD,TxTradeRatio,WikipediaTrend,NextDayPrice
2009-03-01,-0.782479922658,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.46652507856,-0.548274668164,-0.598514766525,-0.390192180323,-0.468190341055,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.836074141223,-0.766463635496,-0.813976821496,-0.81963270573,-0.847607820081,-0.729667434662,-0.807896237152,-0.749907577686,-0.771359094943,-0.47926310973,-1.93325021206,-1.95322764493,-1.97547036325,-1.99574256887,3.75480686821,-1.99574256887,-1.80356530359,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312319172559,-0.699115117907
2009-04-01,-0.783895544326,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.466525078591,-0.548274668164,-0.598514766525,0.20832397811,-0.468190341055,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.836092700246,-0.766515476472,-0.814009690959,-0.819659073414,-0.84763053208,-0.729686549218,-0.807896237152,-0.749907577686,-0.771368405691,-0.479284649491,-1.78800356267,-1.75828999841,-1.79259210691,-1.74491862278,1.81215137871,-1.74491862278,-1.80356530359,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312357429601,-0.699115117907
2009-05-01,-0.783895544326,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.466525078591,-0.548274668164,-0.598514766525,0.211156073497,-0.468190341055,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.836092700246,-0.766515476472,-0.814009690959,-0.819659073414,-0.84763053208,-0.729686549218,-0.807896237152,-0.749907577686,-0.771368405691,-0.479284649491,-1.5871370169,-1.58861938578,-1.58237189766,-1.57630970738,1.17080884744,-1.57630970738,-1.80356530359,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312319172559,-0.699115117907
2009-06-01,-0.783895544326,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.466525078591,-0.548274668164,-0.598514766525,1.12781094706,-0.468190341055,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.836092700246,-0.766515476472,-0.814009690959,-0.819659073414,-0.84763053208,-0.729686549218,-0.807896237152,-0.749907577686,-0.771368405691,-0.479284649491,-1.45892745716,-1.41785742239,-1.43721366127,-1.41046702363,2.11089439195,-1.41046702363,-1.80356530359,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312357429601,-0.699115117907
2009-07-01,-0.783895544326,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.466525078591,-0.548274668164,-0.598514766525,1.0107510044,-0.468190341055,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.836092700246,-0.766515476472,-0.814009690959,-0.819659073414,-0.84763053208,-0.729686549218,-0.807896237152,-0.749907577686,-0.771368405691,-0.479284649491,-1.46511968967,-1.45808006808,-1.44341006298,-1.46005483743,-0.0664207289631,-1.46005483743,-1.80356530359,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312357429601,-0.699115117907
2009-08-01,-0.783895544326,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.466525078591,-0.548274668164,-0.598514766525,1.10232208858,-0.468190341055,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.836092700246,-0.766515476472,-0.814009690959,-0.819659073414,-0.84763053208,-0.729686549218,-0.807896237152,-0.749907577686,-0.771368405691,-0.479284649491,-1.29478281159,-1.29379778269,-1.27964588358,-1.28444177925,1.15454365395,-1.28444177925,-1.80356530359,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312319172559,-0.699115117907
2009-09-01,-0.782827619208,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.46652507856,-0.548274668164,-0.598514766525,1.21654993585,-0.468190341052,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.835832873921,-0.765789702818,-0.813549518481,-0.819289925833,-0.847312564088,-0.729418945423,-0.807896237152,-0.749907134204,-0.771238055216,-0.478983092837,-1.21463908389,-1.21311592686,-1.2517789014,-1.27045873681,2.54787822505,-1.27045873681,-1.80341909663,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312357429601,-0.699115117907
2009-10-01,-0.782827619208,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.46652507856,-0.548274668164,-0.598514766525,1.42895708987,-0.468190341049,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.835517370526,-0.764908406238,-0.812990737616,-0.8188416752,-0.846926460097,-0.729093997957,-0.807896237152,-0.749906152208,-0.771079772497,-0.4786169169,-1.12482640935,-1.14596816287,-1.16754369295,-1.18973253242,1.59656427826,-1.18973253242,-1.80309535265,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312319172559,-0.699115117907
2009-11-01,-0.782825697974,-0.52732447698,-1.00387422341,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.0293288821802,-0.46652507856,-0.548274668164,-0.598514766525,1.65772746164,-0.468190341033,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.834125443782,-0.761020333091,-0.810525527914,-0.816864098875,-0.845223060136,-0.727660406197,-0.807896237152,-0.749902794413,-0.770381466382,-0.477001434826,-1.14763271202,-1.14170479232,-1.16433531353,-1.16232468327,2.05356202777,-1.16232468327,-1.80198835711,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312357429601,-0.699115117907
2009-12-01,-0.782742006607,-0.527304698723,-1.00387417965,-0.472671558103,-0.505481130534,-0.270566137519,-0.706030626063,-0.729834955402,-0.00661640652543,-0.46652507856,-0.548190110637,-0.598514766525,1.93401410053,-0.468190341037,-0.705660758117,-0.699115117907,-1.09659826589,-0.686102016073,0.684572072563,-0.834329593038,-0.761590583819,-0.810887092004,-0.817154143402,-0.84547289213,-0.727870666322,-0.807896237152,-0.749899785069,-0.770474573864,-0.477302560685,-1.01321414155,-1.00038030194,-0.991200249473,-0.989223933353,0.226645900525,-0.989223933353,-1.80105889859,-0.473485528033,-0.767462153196,-0.56866423222,-0.649963351537,-0.312357429601,-0.699115117907
