"TransactionFees","seasonal","trend","remainder"
0,-2.71179415638171,2.81798296754061,-0.106188811158892
0,-2.60275850393866,2.6482016648236,-0.0454431608849442
0,-2.60275850393866,2.4784203621066,0.12433814183206
0,-2.60275850393866,2.31464572967385,0.288112774264803
0,-2.60275850393866,2.15087109724111,0.451887406697546
0,-2.42823324373648,1.9926105641383,0.43562267959818
0,-2.42823324373648,1.83435003103549,0.593883212700989
0,-2.42823324373648,1.67881742640919,0.749415817327292
0,-2.42823324373648,1.52328482178289,0.904948421953596
0,-2.38005934741907,1.37304500819822,1.00701433922085
0,-2.38005934741907,1.22280519461356,1.15725415280552
0,-2.38005934741907,1.08482355021684,1.29523579720223
0,-2.38005934741907,0.946841905820122,1.43321744159895
0,-2.11877818028225,0.782892721971707,1.33588545831054
0,-2.11877818028225,0.618943538123292,1.49983464215896
0,-2.11877818028225,0.437434212091354,1.6813439681909
0,-2.11877818028225,0.255924886059417,1.86285329422283
0,-1.47087798599629,0.0980524403743259,1.37282554562197
0,-1.47087798599629,-0.059820005310765,1.53069799130706
0,-1.47087798599629,-0.199890046927938,1.67076803292423
0,-1.47087798599629,-0.33996008854511,1.8108380745414
0,-1.53069555114667,-0.456963955684324,1.98765950683099
0,-1.53069555114667,-0.573967822823539,2.10466337397021
0,-1.53069555114667,-0.618420507718679,2.14911605886535
0,-1.53069555114667,-0.662873192613819,2.19356874376049
0,-1.63671901512609,-0.638917369425341,2.27563638455144
0,-1.63671901512609,-0.614961546236864,2.25168056136296
0,-1.63671901512609,-0.533738220159047,2.17045723528514
0,-1.63671901512609,-0.45251489408123,2.08923390920732
0,-1.53666997470114,-0.356690540055059,1.8933605147562
0,-1.53666997470114,-0.260866186028888,1.79753616073003
2.01,-1.53666997470114,-0.173341717195118,3.72001169189626
0,-1.53666997470114,-0.085817248361348,1.62248722306249
0,-1.37326908495205,-0.0356788171698917,1.40894790212194
0,-1.37326908495205,0.0144596140215647,1.35880947093048
0,-1.37326908495205,0.00487961490494245,1.3683894700471
0,-1.37326908495205,-0.00470038421167976,1.37796946916373
0,-1.30440484362266,-0.0464729506336775,1.35087779425634
0,-1.30440484362266,-0.0882455170556753,1.39265036067834
0,-1.30440484362266,-0.134716687446677,1.43912153106934
0,-1.30440484362266,-0.181187857837679,1.48559270146034
0,-1.30744094295121,-0.212048663250899,1.51948960620211
0,-1.30744094295121,-0.24290946866412,1.55035041161533
0,-1.30744094295121,-0.259352072661616,1.56679301561283
0,-1.30744094295121,-0.275794676659113,1.58323561961033
0,-0.760788560361188,-0.280363337655304,1.04115189801649
0,-0.760788560361188,-0.284931998651496,1.04572055901268
0,-0.760788560361188,-0.283538009623626,1.04432656998481
0,-0.760788560361188,-0.282144020595756,1.04293258095694
0,-0.22982678666512,-0.354593349573505,0.584420136238626
0,-0.22982678666512,-0.427042678551255,0.656869465216375
0,-0.22982678666512,-0.520626603990052,0.750453390655172
0,-0.22982678666512,-0.614210529428849,0.844037316093969
0,-0.526682431826996,-0.719920479159191,1.24660291098619
0,-0.526682431826996,-0.825630428889533,1.35231286071653
0,-0.526682431826996,-0.958286968511377,1.48496940033837
0,-0.526682431826996,-1.09094350813322,1.61762593996022
0,-0.622938542525149,-1.21653037987179,1.83946892239693
0,-0.622938542525149,-1.34211725161035,1.9650557941355
0,-0.622938542525149,-1.44568136770784,2.06861991023299
0,-0.622938542525149,-1.54924548380533,2.17218402633048
0,-0.21885310203321,-1.6090891273303,1.82794222936351
0,-0.21885310203321,-1.66893277085526,1.88778587288847
0,-0.21885310203321,-1.68000666592408,1.89885976795729
0,-0.21885310203321,-1.6910805609929,1.90993366302611
0,-0.118863651976152,-1.63127235596769,1.75013600794385
0,-0.118863651976152,-1.57146415094249,1.69032780291864
0,-0.118863651976152,-1.45252692102513,1.57139057300128
