"TransactionFeesUSD","seasonal","trend","remainder"
0,117.861380595649,-110.814382511411,-7.04699808423737
0,109.68570691612,-107.912089665996,-1.77361725012483
0,109.68570691612,-105.00979682058,-4.67591009554071
0,109.68570691612,-102.681027682436,-7.00467923368406
0,109.68570691612,-100.352258544293,-9.3334483718274
0,103.611730085542,-98.4271955547599,-5.18453453078237
0,103.611730085542,-96.5021325652267,-7.10959752031553
0,103.611730085542,-96.5041778212209,-7.10755226432137
0,103.611730085542,-96.506223077215,-7.10550700832721
0,96.6108074579124,-99.9670400106578,3.3562325527454
0,96.6108074579124,-103.427856944101,6.81704948618818
0,96.6108074579124,-108.794063225355,12.1832557674423
0,96.6108074579124,-114.160269506609,17.5494620486964
0,91.7487105067132,-119.09142245862,27.3427119519064
0,91.7487105067132,-124.02257541063,32.2738649039173
0,91.7487105067132,-129.22965482702,37.4809443203069
0,91.7487105067132,-134.43673424341,42.6880237366966
0,84.7325110387176,-139.691372657668,54.9588616189499
0,84.7325110387176,-144.946011071925,60.2135000332076
0,84.7325110387176,-148.869217937461,64.1367068987437
0,84.7325110387176,-152.792424802997,68.0599137642798
0,81.943101022335,-153.733020584658,71.7899195623226
0,81.943101022335,-154.673616366318,72.7305153439828
0,81.943101022335,-153.117245785988,71.174144763653
0,81.943101022335,-151.560875205658,69.6177741833231
0,83.702130169128,-147.23246673059,63.5303365614619
0,83.702130169128,-142.904058255521,59.2019280863935
0,83.702130169128,-136.249178353641,52.5470481845129
0,83.702130169128,-129.59429845176,45.8921682826323
0,96.7799959268703,-121.635743946192,24.8557480193214
0,96.7799959268703,-113.677189440623,16.8971935137529
0,96.7799959268703,-106.810825754819,10.0308298279484
0,96.7799959268703,-99.9444620690142,3.16446614214391
0,110.929795390453,-95.6941905391519,-15.2356048513015
0,110.929795390453,-91.4439190092896,-19.4858763811638
0,110.929795390453,-92.3340111483375,-18.5957842421159
0,110.929795390453,-93.2241032873854,-17.7056921030679
0,110.134464212331,-101.511024491799,-8.62343972053196
0,110.134464212331,-109.797945696213,-0.336518516118332
0,110.134464212331,-125.602515985999,15.4680517736682
0,110.134464212331,-141.407086275786,31.2726220634548
0,105.419667588581,-160.028740109967,54.6090725213853
0,105.419667588581,-178.650393944147,73.230726355566
0,105.419667588581,-199.135204863909,93.7155372753278
0,105.419667588581,-219.620015783671,114.20034819509
0,106.890407097576,-241.562987141993,134.672580044417
0,106.890407097576,-263.505958500315,156.615551402739
0,106.890407097576,-285.624638575134,178.734231477558
0,106.890407097576,-307.743318649953,200.852911552377
0,123.623930031201,-330.660541967029,207.036611935828
0,123.623930031201,-353.577765284105,229.953835252904
0,123.623930031201,-379.456935673942,255.833005642741
0,123.623930031201,-405.336106063779,281.712176032578
0,131.164552763346,-430.956253398655,299.791700635309
0,131.164552763346,-456.576400733531,325.411847970185
0,131.164552763346,-480.093353731319,348.928800967973
0,131.164552763346,-503.610306729107,372.445753965761
0,129.007186639903,-522.686996796087,393.679810156184
0,129.007186639903,-541.763686863068,412.756500223165
0,129.007186639903,-555.175852709798,426.168666069894
0,129.007186639903,-568.588018556527,439.580831916624
0,156.608141619236,-576.738798392323,420.130656773087
0,156.608141619236,-584.889578228119,428.281436608883
0,156.608141619236,-586.07617722052,429.468035601284
0,156.608141619236,-587.262776212921,430.654634593685
0,157.079995722455,-582.775202995825,425.695207273369
0,157.079995722455,-578.287629778728,421.207634056273
0,157.079995722455,-570.957941416787,413.877945694332
0,157.079995722455,-563.628253054845,406.54825733239
0,128.024665568252,-553.551582102382,425.52691653413
0,128.024665568252,-543.474911149919,415.450245581667
0,128.024665568252,-531.604607933731,403.579942365479
0,128.024665568252,-519.734304717543,391.709639149291
0,148.388544699066,-507.284831058274,358.896286359208
0,148.388544699066,-494.835357399005,346.446812699939
0,148.388544699066,-483.88223354914,335.493688850074
0,148.388544699066,-472.929109699274,324.540565000208
0,169.66719693979,-465.267989945666,295.600793005876
0,169.66719693979,-457.606870192058,287.939673252269
0,169.66719693979,-454.46792673366,284.800729793871
0,169.66719693979,-451.328983275262,281.661786335473
0,161.912700444712,-453.661847868734,291.749147424022
0,161.912700444712,-455.994712462206,294.082012017493
0,161.912700444712,-462.96820329209,301.055502847378
0,161.912700444712,-469.941694121974,308.028993677262
0,155.887346304957,-481.591115119029,325.703768814073
0,155.887346304957,-493.240536116085,337.353189811128
0,155.887346304957,-509.686411671456,353.7990653665
0,155.887346304957,-526.132287226828,370.244940921871
0,166.144304979176,-546.670678968368,380.526373989192
0,166.144304979176,-567.209070709909,401.064765730733
0,166.144304979176,-589.912388683333,423.768083704157
0,166.144304979176,-612.615706656757,446.471401677581
0,165.097303202256,-633.931423343743,468.834120141487
0,165.097303202256,-655.247140030729,490.149836828472
0,165.097303202256,-671.96391012196,506.866606919704
0,165.097303202256,-688.680680213192,523.583377010935
0,145.831461527476,-698.760244310135,552.928782782659
0,145.831461527476,-708.839808407079,563.008346879603
0,145.831461527476,-711.226939399026,565.39547787155
0,145.831461527476,-713.614070390973,567.782608863497
0,128.531142960547,-708.777523980449,580.246381019902
0,128.531142960547,-703.940977569925,575.409834609378
0,128.531142960547,-690.775005187809,562.243862227262
0,128.531142960547,-677.609032805692,549.077889845145
0,130.95305488519,-652.958068190399,522.00501330521
0,130.95305488519,-628.307103575107,497.354048689917
0,130.95305488519,-591.495014933143,460.541960047953
0,130.95305488519,-554.682926291179,423.72987140599
0,134.794037097047,-503.623484152918,368.829447055871
0,134.794037097047,-452.564042014657,317.77000491761
0,134.794037097047,-326.608841698006,191.814804600959
0,134.794037097047,-200.653641381355,65.8596042843079
0,125.202965127383,-83.28391798276,-41.9190471446232
0,125.202965127383,34.0858054158346,-159.288770543218
0,125.202965127383,184.033142718164,-309.236107845547
0,125.202965127383,333.980480020492,-459.183445147876
0,108.324814128327,435.042564022961,-543.367378151288
0,108.324814128327,536.104648025429,-644.429462153756
0,108.324814128327,621.468898608645,-729.793712736972
0,108.324814128327,706.833149191861,-815.157963320187
0,100.094766637345,788.262099156419,-888.356865793764
0,100.094766637345,869.691049120977,-969.785815758322
0,100.094766637345,950.330380335896,-1050.42514697324
0,100.094766637345,1030.96971155082,-1131.06447818816
0,98.6656884973848,1080.05059911911,-1178.71628761649
0,98.6656884973848,1129.1314866874,-1227.79717518479
0,98.6656884973848,1165.24632086345,-1263.91200936083
0,98.6656884973848,1201.3611550395,-1300.02684353688
0,80.5899329103859,1229.69216639687,-1310.28209930726
0,80.5899329103859,1258.02317775424,-1338.61311066463
0,80.5899329103859,1276.98237521452,-1357.5723081249
0,80.5899329103859,1295.94157267479,-1376.53150558517
0,69.8876396100645,1305.87098953792,-1375.75862914799
0,69.8876396100645,1315.80040640106,-1385.68804601113
0,69.8876396100645,1318.79465766091,-1388.68229727098
0,69.8876396100645,1321.78890892076,-1391.67654853083
0,71.726693683391,1320.57804633096,-1392.30474001435
0,71.726693683391,1319.36718374116,-1391.09387742455
0,71.726693683391,1315.44542739939,-1387.17212108278
0,71.726693683391,1311.52367105761,-1383.250364741
0,88.2428189774458,1306.74694047754,-1394.98975945498
0,88.2428189774458,1301.97020989747,-1390.21302887491
0,88.2428189774458,1297.06874985223,-1385.31156882968
0,88.2428189774458,1292.167289807,-1380.41010878444
0,96.0780077032065,1286.1865753126,-1382.2645830158
0,96.0780077032065,1280.2058608182,-1376.2838685214
0,96.0780077032065,1272.23665330787,-1368.31466101108
0,96.0780077032065,1264.26744579755,-1360.34545350076
0,98.5994734666094,1254.52361285782,-1353.12308632443
0,98.5994734666094,1244.7797799181,-1343.37925338471
0,98.5994734666094,1237.37939758896,-1335.97887105557
0,98.5994734666094,1229.97901525983,-1328.57848872644
0,119.162971103297,1228.10529266532,-1347.26826376861
0,119.162971103297,1226.2315700708,-1345.3945411741
0,119.162971103297,1230.26408413631,-1349.42705523961
0,119.162971103297,1234.29659820182,-1353.45956930512
0,139.17471184265,1242.23459697896,-1381.40930882161
0,139.17471184265,1250.1725957561,-1389.34730759875
0,139.17471184265,1258.42152087462,-1397.59623271727
0,139.17471184265,1266.67044599314,-1405.84515783579
0,164.588345401159,1275.22531182969,-1439.81365723085
0,164.588345401159,1283.78017766623,-1448.36852306739
0,164.588345401159,1294.87619843714,-1459.4645438383
0,164.588345401159,1305.97221920805,-1470.56056460921
0,191.71275083929,1319.39674046028,-1511.10949129957
0,191.71275083929,1332.82126171251,-1524.5340125518
0,191.71275083929,1346.82507640958,-1538.53782724887
0,191.71275083929,1360.82889110664,-1552.54164194593
0,227.454830694248,1370.62211593012,-1598.07694662437
0,227.454830694248,1380.41534075361,-1607.87017144786
0,227.454830694248,1382.31437992505,-1609.7692106193
0,227.454830694248,1384.21341909649,-1611.66824979074
0,249.546883264996,1377.84410680978,-1627.39099007478
0,249.546883264996,1371.47479452307,-1621.02167778807
0,249.546883264996,1360.47197326831,-1610.0188565333
0,249.546883264996,1349.46915201354,-1599.01603527854
0,238.163341217392,1335.89828092919,-1574.06162214658
0,238.163341217392,1322.32740984483,-1560.49075106222
0,238.163341217392,1305.8673417526,-1544.03068296999
0,238.163341217392,1289.40727366038,-1527.57061487777
0,255.028709344323,1271.57431705941,-1526.60302640373
0,255.028709344323,1253.74136045844,-1508.77006980276
0,255.028709344323,1234.26083277922,-1489.28954212354
0,255.028709344323,1214.7803051,-1469.80901444433
0,290.856749709657,1193.46654276059,-1484.32329247025
0,290.856749709657,1172.15278042118,-1463.00953013084
0,290.856749709657,1151.98761249366,-1442.84436220332
0,290.856749709657,1131.82244456614,-1422.6791942758
0,312.183346763448,1114.72897265795,-1426.91231942139
0,312.183346763448,1097.63550074975,-1409.8188475132
0,312.183346763448,1083.05529733474,-1395.23864409819
0,312.183346763448,1068.47509391974,-1380.65844068318
0,339.397375969458,1058.01396212888,-1397.41133809834
0,339.397375969458,1047.55283033803,-1386.95020630749
0,339.397375969458,1042.11659721502,-1381.51397318448
0,339.397375969458,1036.68036409201,-1376.07774006147
0,375.119503640984,1036.02288944755,-1411.14239308854
0,375.119503640984,1035.3654148031,-1410.48491844408
0,375.119503640984,1039.07921802196,-1414.19872166294
0,375.119503640984,1042.79302124081,-1417.9125248818
0,396.946945317198,1049.99438976041,-1446.94133507761
0,396.946945317198,1057.19575828001,-1454.14270359721
0,396.946945317198,1064.72227262099,-1461.66921793818
0,396.946945317198,1072.24878696196,-1469.19573227916
0,404.619059953905,1077.24858310542,-1481.86764305932
0,404.619059953905,1082.24837924888,-1486.86743920278
0,404.619059953905,1084.51673422123,-1489.13579417513
0,404.619059953905,1086.78508919358,-1491.40414914748
0,436.435480711177,1086.84778592683,-1523.28326663801
0,436.435480711177,1086.91048266009,-1523.34596337127
0,436.435480711177,1086.23961959421,-1522.67510030538
0,436.435480711177,1085.56875652833,-1522.0042372395
0,478.404849142667,1087.86144523149,-1566.26629437416
0,478.404849142667,1090.15413393466,-1568.55898307733
0,478.404849142667,1096.60165994855,-1575.00650909122
0,478.404849142667,1103.04918596244,-1581.45403510511
0,500.52067019398,1112.71063977784,-1613.23130997182
0,500.52067019398,1122.37209359324,-1622.89276378722
0,500.52067019398,1133.16824893034,-1633.68891912432
0,500.52067019398,1143.96440426745,-1644.48507446143
0,525.347645664359,1154.55192441278,-1679.89957007714
0,525.347645664359,1165.13944455811,-1690.48709022247
0,525.347645664359,1176.02229230404,-1701.3699379684
