"BitcoiDaysDestroyed","seasonal","trend","remainder"
0,1201559.37736303,658801.931429535,-1860361.30879257
0,1201559.37736303,627489.961953855,-1829049.33931689
0,1062439.67194158,643546.214901607,-1705985.88684319
0,1062439.67194158,659602.467849358,-1722042.13979094
0,1062439.67194158,710400.995480055,-1772840.66742163
0,1062439.67194158,761199.523110751,-1823639.19505233
0,1630753.30806577,797780.77488974,-2428534.08295551
0,1630753.30806577,834362.026668729,-2465115.3347345
0,1630753.30806577,873420.769304951,-2504174.07737072
39444,1630753.30806577,912479.511941173,-2503788.82000695
0,2045679.29695369,936048.597952986,-2981727.89490667
0,2045679.29695369,959617.683964799,-3005296.98091849
73,2045679.29695369,938934.434612649,-2984540.73156634
680,2045679.29695369,918251.185260498,-2963250.48221419
0,1732556.86719219,879354.801519349,-2611911.66871154
0,1732556.86719219,840458.4177782,-2573015.28497039
2459,1732556.86719219,833504.08860678,-2563601.95579897
0,1732556.86719219,826549.75943536,-2559106.62662755
0,1254172.22026933,831626.34833309,-2085798.56860242
0,1254172.22026933,836702.937230821,-2090875.15750015
1635,1254172.22026933,865885.977486566,-2118423.1977559
0,1254172.22026933,895069.017742312,-2149241.23801165
0,7401735.93903168,966750.953962018,-8368486.89299369
0,7401735.93903168,1038432.89018172,-8440168.8292134
0,7401735.93903168,1071725.66729308,-8473461.60632475
0,7401735.93903168,1105018.44440443,-8506754.38343611
0,7426080.75377073,1107728.81721565,-8533809.57098638
0,7426080.75377073,1110439.19002687,-8536519.9437976
0,7426080.75377073,1079250.87096537,-8505331.6247361
20,7426080.75377073,1048062.55190386,-8474123.3056746
61425,1040068.46627444,982627.118291967,-1961270.58456641
0,1040068.46627444,917191.684680069,-1957260.15095451
0,1040068.46627444,876587.75546835,-1916656.22174279
0,1040068.46627444,835983.82625663,-1876052.29253107
0,1159929.3768421,837096.115772639,-1997025.49261474
3793,1159929.3768421,838208.405288648,-1994344.78213075
19532,1159929.3768421,871497.435765535,-2011894.81260764
0,1159929.3768421,904786.466242422,-2064715.84308452
3793,1325791.96518504,955296.79577624,-2277295.76096128
0,1325791.96518504,1005807.12531006,-2331599.0904951
1491,1325791.96518504,1010119.89343335,-2334420.85861839
0,1325791.96518504,1014432.66155664,-2340224.62674169
6734,1253335.9244974,984065.23159261,-2230667.15609001
0,1253335.9244974,953697.801628578,-2207033.72612598
0,1253335.9244974,923865.08257563,-2177201.00707303
2075,1253335.9244974,894032.363522682,-2145293.28802008
0,1724749.97699748,827863.567079507,-2552613.54407698
0,1724749.97699748,761694.770636331,-2486444.74763381
0,1724749.97699748,694975.388870188,-2419725.36586767
3106,1724749.97699748,628256.007104045,-2349899.98410152
0,1778177.036264,585767.771506186,-2363944.80777019
0,1778177.036264,543279.535908327,-2321456.57217233
0,1778177.036264,511706.876326674,-2289883.91259068
0,1778177.036264,480134.216745021,-2258311.25300902
0,728899.384395457,447567.908266654,-1176467.29266211
326930,728899.384395457,415001.599788288,-816970.984183744
0,728899.384395457,411843.363847423,-1140742.74824288
0,728899.384395457,408685.127906558,-1137584.51230201
0,625686.482996305,411143.113237768,-1036829.59623407
56642,625686.482996305,413601.098568979,-982645.581565284
0,625686.482996305,409051.35876134,-1034737.84175765
961,625686.482996305,404501.618953702,-1029227.10195001
0,873559.681656598,400781.761896992,-1274341.44355359
0,873559.681656598,397061.904840282,-1270621.58649688
66434,873559.681656598,380673.823475482,-1187799.50513208
81033,873559.681656598,364285.742110682,-1156812.42376728
0,1153786.62414697,306320.849853699,-1460107.47400066
0,1153786.62414697,248355.957596716,-1402142.58174368
27046,1153786.62414697,141391.189050613,-1268131.81319758
0,1153786.62414697,34426.4205045106,-1188213.04465148
34611,1455983.45338122,-95260.0633814552,-1326112.38999977
0,1455983.45338122,-224946.547267421,-1231036.9061138
1443,1455983.45338122,-357367.52326157,-1097172.93011965
9420,1455983.45338122,-489788.499255718,-956774.954125502
0,877785.952364075,-609715.676359567,-268070.276004508
0,877785.952364075,-729642.853463415,-148143.098900659
0,877785.952364075,-820625.740390696,-57160.2119733789
0,877785.952364075,-911608.627317976,33822.6749539017
0,883986.65198141,-1014989.70859723,131003.056615818
125205,883986.65198141,-1118370.78987648,359589.13789507
0,883986.65198141,-1240074.42408228,356087.772100865
0,883986.65198141,-1361778.05828807,477791.406306661
0,948957.110393779,-1452642.59969059,503685.489296815
0,948957.110393779,-1543507.14109312,594550.030699338
0,948957.110393779,-1670687.55407854,721730.443684758
108391,948957.110393779,-1797867.96706396,957301.856670179
0,888048.791565499,-1829502.27032797,941453.478762468
1701,888048.791565499,-1861136.57359198,974788.782026477
0,888048.791565499,-1863404.38818703,975355.596621534
0,888048.791565499,-1865672.20278209,977623.411216591
0,730991.509338448,-1859260.76208092,1128269.25274247
0,730991.509338448,-1852849.32137975,1121857.8120413
0,730991.509338448,-1740891.84697732,1009900.33763887
0,730991.509338448,-1628934.37257489,897942.863236439
179182,678296.948666868,-1546805.43994915,1047690.49128228
0,678296.948666868,-1464676.50732342,786379.558656551
0,678296.948666868,-1426178.80023836,747881.851571493
0,678296.948666868,-1387681.0931533,709384.144486436
0,1039628.91703561,-1343048.53627055,303419.619234945
0,1039628.91703561,-1298415.9793878,258787.062352194
0,1039628.91703561,-1275085.17021824,235456.253182634
0,1039628.91703561,-1251754.36104868,212125.444013074
0,1095679.47752024,-1216027.83313495,120348.355614708
0,1095679.47752024,-1180301.30522122,84621.8277009779
0,1095679.47752024,-1145104.72478118,49425.2472609386
0,1095679.47752024,-1109908.14434114,14228.6668208994
1114292,817908.300741003,-1087630.3166133,1384014.0158723
0,817908.300741003,-1065352.48888546,247444.18814446
0,817908.300741003,-993700.296670195,175791.995929192
0,817908.300741003,-922048.104454926,104139.803713923
9430,216714.130742238,-814805.331782927,607521.201040689
0,216714.130742238,-707562.559110929,490848.42836869
3000,216714.130742238,-644710.749121957,430996.618379718
2702,216714.130742238,-581858.939132984,367846.808390746
199,325196.325446035,-456236.828068052,131239.502622017
0,325196.325446035,-330614.71700312,5418.39155708445
14074,325196.325446035,-310313.848230819,-808.47721521632
0,325196.325446035,-290012.979458518,-35183.3459875171
206526,454699.843242314,-324139.169232719,75965.3259904044
17161,454699.843242314,-358265.359006919,-79273.4842353951
2135,454699.843242314,-347670.630983072,-104894.212259242
41742,454699.843242314,-337075.902959225,-75881.9402830898
23,166536.433440194,-322123.793335661,155610.359895467
163,166536.433440194,-307171.683712098,140798.250271904
0,166536.433440194,-259035.389379875,92498.9559396816
154,166536.433440194,-210899.095047653,44516.6616074594
0,115190.349075158,-97170.9705526396,-18019.3785225187
0,115190.349075158,16557.1539423738,-131747.503017532
0,115190.349075158,155939.441312396,-271129.790387554
3712,115190.349075158,295321.728682418,-406800.077757576
0,489944.371876711,422301.654713964,-912246.026590675
1346,489944.371876711,549281.58074551,-1037879.95262222
0,489944.371876711,655007.012579233,-1144951.38445594
0,489944.371876711,760732.444412957,-1250676.81628967
0,647304.302941923,797634.375522167,-1444938.67846409
0,647304.302941923,834536.306631377,-1481840.6095733
0,647304.302941923,794492.260003783,-1441796.56294571
155,647304.302941923,754448.213376189,-1401597.51631811
0,444976.832059073,678773.029009643,-1123749.86106872
434278,-748457.488507708,603097.844643098,579637.64386461
0,-327306.157993221,508898.036818449,-181591.878825228
0,-327306.157993221,414698.228993799,-87392.0710005788
0,-327306.157993221,331965.257047906,-4659.09905468574
0,-327306.157993221,249232.285102013,78073.8728912073
0,-58296.6598578463,212386.300267405,-154089.640409559
0,-58296.6598578463,175540.315432797,-117243.655574951
0,-58296.6598578463,163361.217484851,-105064.557627004
483349,-58296.6598578463,151182.119536904,390463.540320942
2052,-213642.916257114,138156.577143791,77538.3391133233
2,-213642.916257114,125131.034750678,88513.8815064363
5810,-213642.916257114,119056.610986489,100396.305270625
765,-213642.916257114,112982.1872223,101425.729034814
1250,-320713.161700137,98307.7534744044,223655.408225733
0,-320713.161700137,83633.3197265088,237079.841973628
231,-320713.161700137,42551.9389518995,278392.222748237
0,-320713.161700137,1470.55817729032,319242.603522847
158,-73881.8904904657,-70784.141268462,144824.031758928
189,-73881.8904904657,-143038.840714214,217109.73120468
46,-73881.8904904657,-225140.157175635,299068.047666101
109,-73881.8904904657,-307241.473637056,381232.364127522
9090,-231456.060109313,-389971.002897526,630517.063006839
888,-231456.060109313,-472700.532157996,705044.59226731
176,-231456.060109313,-518014.807626611,749646.867735925
1956,-231456.060109313,-563329.083095226,796741.14320454
949,-29424.1857826606,-557739.960491259,588113.14627392
1002,-29424.1857826606,-552150.837887292,582577.023669953
16048,-29424.1857826606,-522355.136013259,567827.32179592
2405,-29424.1857826606,-492559.434139226,524388.619921886
0,203986.919863757,-462430.956204373,258444.036340616
2352,203986.919863757,-432302.47826952,230667.558405763
1531,203986.919863757,-369772.151197137,167316.23133338
195743,203986.919863757,-307241.824124755,298997.904260998
5243,-180471.049634796,-247518.671431623,433232.721066419
1316,-180471.049634796,-187795.518738491,369582.568373288
194315,-180471.049634796,-163367.523248706,538153.572883502
2735,-180471.049634796,-138939.52775892,322145.577393717
2125646,-115053.722808274,-119127.525292399,2359827.24810067
2445,-115053.722808274,-99315.5228258786,216814.245634152
22346,-115053.722808274,-89738.2704362898,227137.993244563
5826,-115053.722808274,-80161.0180467009,201040.740854975
42504,-70827.8533076928,-90212.4449361547,203544.298243848
21095,-70827.8533076928,-100263.871825608,192186.725133301
4489,-70827.8533076928,-93092.2845341525,168409.137841845
175239,-70827.8533076928,-85920.6972426964,331987.550550389
7302,-189343.863221396,-74988.6061050367,271634.469326433
4204,-189343.863221396,-64056.514967377,257604.378188773
40,-189343.863221396,-70566.3611617397,259950.224383136
5816,-189343.863221396,-77076.2073561023,272236.070577498
215867,34442.7926778751,-107162.820539576,288587.027861701
42,34442.7926778751,-137249.43372305,102848.641045174
121474,34442.7926778751,-206277.274212767,293308.481534892
27585,34442.7926778751,-275305.114702484,268447.322024609
68900,53122.1419881,-397513.039802849,413290.897814749
2018,53122.1419881,-519720.964903214,468616.822915114
80838,53122.1419881,-669097.277939654,696813.135951554
2991,53122.1419881,-818473.590976094,768342.448987994
8492,-222593.88421986,-931552.677161586,1162638.56138145
347,-222593.88421986,-1044631.76334708,1267572.64756694
46087,-222593.88421986,-1109264.1595991,1377945.04381896
1094524,-222593.88421986,-1173896.55585112,2491014.44007098
73358,-125232.400294294,-1176896.23357112,1375486.63386541
32323,-125232.400294294,-1179895.91129111,1337451.3115854
385146,-125232.400294294,-1180378.41377878,1690756.81407307
32021,-125232.400294294,-1180860.91626644,1338114.31656074
12262,-31864.4661362589,-1194605.7199548,1238732.18609105
70005,-31864.4661362589,-1208350.52364315,1310219.98977941
368,-31864.4661362589,-1185323.40387841,1217555.87001467
31390,-31864.4661362589,-1162296.28411368,1225550.75024994
3881,-229826.563177173,-1144454.74161243,1378162.3047896
234,-229826.563177173,-1126613.19911117,1356673.76228835
818,-229826.563177173,-1092543.93540973,1323188.4985869
156772,-229826.563177173,-1058474.67170828,1445073.23488546
15640,112079.173271875,-1004800.20715845,908361.033886571
92026,112079.173271875,-951125.742608611,931072.569336736
64804,112079.173271875,-925082.209213053,877807.035941178
3713,112079.173271875,-899038.675817495,790672.50254562
9810,319717.898264916,-891074.661001749,581166.762736834
133464,319717.898264916,-883110.646186003,696856.747921087
4073,319717.898264916,-842726.294661799,527081.396396884
214326,319717.898264916,-802341.943137596,696950.04487268
9008,544162.395665872,-746761.071313733,211606.675647862
26610,544162.395665872,-691180.199489871,173627.803824
62427,544162.395665872,-627885.899466178,146150.503800307
15622,544162.395665872,-564591.599442486,36051.2037766142
3743,844504.513237857,-509186.62836195,-331574.884875907
4192,844504.513237857,-453781.657281415,-386530.855956442
5436,844504.513237857,-402287.916200583,-436780.597037275
3871,844504.513237857,-350794.175119751,-489839.338118107
6836,428919.226258144,-341168.746392054,-80914.4798660902
36437,428919.226258144,-331543.317664357,-60938.9085937869
54132,428919.226258144,-331355.690961077,-43431.5352970666
330881,428919.226258144,-331168.064257798,233129.837999654
321664,483308.391201445,-327842.772153443,166198.380951998
37360,483308.391201445,-324517.480049088,-121430.911152357
9301,483308.391201445,-309334.368939038,-164673.022262407
950047,483308.391201445,-294151.257828987,760889.866627543
257516,599013.482655771,-240393.387870591,-101104.09478518
161085,599013.482655771,-186635.517912195,-251292.964743576
6380,599013.482655771,-91679.4730545435,-500954.009601227
22838,599013.482655771,3276.57180310749,-579452.054458878
7640878,746734.951130219,114880.686977142,6779262.36189264
1705571,746734.951130219,226484.802151176,732351.246718605
116640,746734.951130219,366567.664822152,-996662.615952371
42599,746734.951130219,506650.527493128,-1210786.47862335
50048,663072.58457081,545767.319976539,-1158791.90454735
477253,663072.58457081,584884.11245995,-770703.697030759
7748,663072.58457081,610163.471966298,-1265488.05653711
182143,663072.58457081,635442.831472646,-1116372.41604346
7216,301253.822941516,652333.741873556,-946371.564815073
117648,301253.822941516,669224.652274466,-852830.475215983
294878,301253.822941516,686293.079828044,-692668.90276956
46877,301253.822941516,703361.507381622,-957738.330323138
196912,720233.512259966,762276.200070515,-1285597.71233048
35407,720233.512259966,821190.892759408,-1506017.40501937
36653,720233.512259966,883091.783782911,-1566672.29604288
1241087,720233.512259966,944992.674806413,-424139.187066379
61903,588702.707973284,1011787.16020179,-1538586.86817508
8270,588702.707973284,1078581.64559717,-1659014.35357046
46702,588702.707973284,1125210.89978981,-1667211.60776309
47567,588702.707973284,1171840.15398244,-1712975.86195572
364573,190038.643764324,1196184.23136486,-1021649.87512919
233339,190038.643764324,1220528.30874729,-1177227.95251161
525650,190038.643764324,1256120.77584442,-920509.419608745
18351,190038.643764324,1291713.24294155,-1463400.88670588
378942,410975.087492213,1303601.57073268,-1335634.65822489
46578,410975.087492213,1315489.89852381,-1679886.98601602
58599,410975.087492213,1299534.35769569,-1651910.4451879
230159,410975.087492213,1283578.81686757,-1464394.90435978
145605,325893.417458348,1286112.75944328,-1466401.17690162
194330,325893.417458348,1288646.70201898,-1420210.11947733
23474,325893.417458348,1290733.21100376,-1593152.62846211
10096,325893.417458348,1292819.71998854,-1608617.13744689
74427,561536.66294475,1297960.517542,-1785070.18048675
264168,561536.66294475,1303101.31509547,-1600469.97804022
140641,561536.66294475,1319470.74357314,-1740366.40651789
6615,561536.66294475,1335840.1720508,-1890761.83499555
25135,562069.717718056,1299395.58090623,-1836330.29862428
689525,562069.717718056,1262950.98976165,-1135495.70747971
119545,562069.717718056,1174814.2348427,-1617338.95256076
15740,562069.717718056,1086677.47992375,-1633007.1976418
15465,-34609.4235279428,951100.306033389,-901025.882505446
199373,-34609.4235279428,815523.132143029,-581540.708615086
51885,-34609.4235279428,711315.318680392,-624820.895152449
3046215,-34609.4235279428,607107.505217755,2473716.91831019
215195,306020.282073713,546863.089873883,-637688.371947596
60683,306020.282073713,486618.674530012,-731955.956603725
24572,306020.282073713,472689.485340686,-754137.767414398
25392,306020.282073713,458760.296151359,-739388.578225072
218878,940431.273763731,443008.187606805,-1164561.46137054
82474,940431.273763731,427256.07906225,-1285213.35282598
754858,940431.273763731,442331.885309808,-627905.15907354
15421,940431.273763731,457407.691557367,-1382417.9653211
9629,482780.495532098,472497.928636221,-945649.424168319
334432,482780.495532098,487588.165715076,-635936.661247174
510672,482780.495532098,468229.230319436,-440337.725851533
915017,482780.495532098,448870.294923795,-16633.7904558927
798044,96435.068334335,451635.24497746,249973.686688205
36943,96435.068334335,454400.195031125,-513892.26336546
180548,96435.068334335,460369.542613605,-376256.61094794
22838,96435.068334335,466338.890196086,-539935.958530421
698369,320057.40773175,473991.342175045,-95679.7499067948
144871,320057.40773175,481643.794154004,-656830.201885754
16995,320057.40773175,526191.939242289,-829254.346974039
921645,320057.40773175,570740.084330574,30847.5079376753
4297,182615.231852386,631825.003600838,-810143.235453223
1524860,182615.231852386,692909.922871101,649334.845276513
124852,182615.231852386,741383.315401622,-799146.547254008
71038,182615.231852386,789856.707932143,-901433.939784528
51075,55603.2834369716,798074.68895923,-802602.972396201
27541,55603.2834369716,806292.669986316,-834354.953423288
322906,55603.2834369716,816505.26958337,-549202.553020342
760601,55603.2834369716,826717.869180424,-121720.152617396
