Date,BitcoinDaysDestroyedMinMonth
07/09/2009 18:15:05,0.0
08/09/2009 18:15:05,0.0
09/09/2009 18:15:05,0.0
10/09/2009 18:15:05,0.0
11/09/2009 18:15:05,0.0
12/09/2009 18:15:05,0.0
13/09/2009 18:15:05,0.0
14/09/2009 18:15:05,0.0
15/09/2009 18:15:05,0.0
16/09/2009 18:15:05,0.0
17/09/2009 18:15:05,0.0
18/09/2009 18:15:05,0.0
19/09/2009 18:15:05,0.0
20/09/2009 18:15:05,0.0
21/09/2009 18:15:05,0.0
22/09/2009 18:15:05,0.0
23/09/2009 18:15:05,0.0
24/09/2009 18:15:05,0.0
25/09/2009 18:15:05,0.0
26/09/2009 18:15:05,0.0
27/09/2009 18:15:05,0.0
28/09/2009 18:15:05,0.0
29/09/2009 18:15:05,0.0
30/09/2009 18:15:05,0.0
01/10/2009 18:15:05,0.0
02/10/2009 18:15:05,0.0
03/10/2009 18:15:05,0.0
04/10/2009 18:15:05,0.0
05/10/2009 18:15:05,0.0
06/10/2009 18:15:05,0.0
07/10/2009 18:15:05,0.0
08/10/2009 18:15:05,0.0
09/10/2009 18:15:05,0.0
10/10/2009 18:15:05,0.0
11/10/2009 18:15:05,0.0
12/10/2009 18:15:05,290977.0
13/10/2009 18:15:05,0.0
14/10/2009 18:15:05,0.0
15/10/2009 18:15:05,0.0
16/10/2009 18:15:05,0.0
17/10/2009 18:15:05,0.0
18/10/2009 18:15:05,0.0
19/10/2009 18:15:05,0.0
20/10/2009 18:15:05,0.0
21/10/2009 18:15:05,1659.0
22/10/2009 18:15:05,0.0
23/10/2009 18:15:05,0.0
24/10/2009 18:15:05,0.0
25/10/2009 18:15:05,0.0
26/10/2009 18:15:05,0.0
27/10/2009 18:15:05,0.0
28/10/2009 18:15:05,0.0
29/10/2009 18:15:05,0.0
30/10/2009 18:15:05,0.0
31/10/2009 18:15:05,0.0
01/11/2009 18:15:05,0.0
02/11/2009 18:15:05,0.0
03/11/2009 18:15:05,0.0
04/11/2009 18:15:05,0.0
05/11/2009 18:15:05,0.0
06/11/2009 18:15:05,0.0
07/11/2009 18:15:05,0.0
08/11/2009 18:15:05,0.0
09/11/2009 18:15:05,0.0
10/11/2009 18:15:05,0.0
11/11/2009 18:15:05,0.0
12/11/2009 18:15:05,0.0
13/11/2009 18:15:05,0.0
14/11/2009 18:15:05,0.0
15/11/2009 18:15:05,0.0
16/11/2009 18:15:05,0.0
17/11/2009 18:15:05,0.0
18/11/2009 18:15:05,0.0
19/11/2009 18:15:05,0.0
20/11/2009 18:15:05,0.0
21/11/2009 18:15:05,0.0
22/11/2009 18:15:05,0.0
23/11/2009 18:15:05,0.0
24/11/2009 18:15:05,0.0
25/11/2009 18:15:05,0.0
26/11/2009 18:15:05,0.0
27/11/2009 18:15:05,0.0
28/11/2009 18:15:05,0.0
29/11/2009 18:15:05,0.0
30/11/2009 18:15:05,0.0
01/12/2009 18:15:05,0.0
02/12/2009 18:15:05,1106665.0
03/12/2009 18:15:05,0.0
04/12/2009 18:15:05,0.0
05/12/2009 18:15:05,0.0
06/12/2009 18:15:05,0.0
07/12/2009 18:15:05,0.0
08/12/2009 18:15:05,0.0
09/12/2009 18:15:05,0.0
10/12/2009 18:15:05,0.0
11/12/2009 18:15:05,0.0
12/12/2009 18:15:05,0.0
13/12/2009 18:15:05,0.0
14/12/2009 18:15:05,0.0
15/12/2009 18:15:05,0.0
16/12/2009 18:15:05,0.0
17/12/2009 18:15:05,41699.0
18/12/2009 18:15:05,0.0
19/12/2009 18:15:05,0.0
20/12/2009 18:15:05,0.0
21/12/2009 18:15:05,0.0
22/12/2009 18:15:05,0.0
23/12/2009 18:15:05,0.0
24/12/2009 18:15:05,0.0
25/12/2009 18:15:05,3712.0
26/12/2009 18:15:05,0.0
27/12/2009 18:15:05,0.0
28/12/2009 18:15:05,0.0
29/12/2009 18:15:05,0.0
30/12/2009 18:15:05,0.0
31/12/2009 18:15:05,0.0
01/01/2010 18:15:05,0.0
02/01/2010 18:15:05,0.0
03/01/2010 18:15:05,0.0
04/01/2010 18:15:05,6282.0
05/01/2010 18:15:05,0.0
06/01/2010 18:15:05,0.0
07/01/2010 18:15:05,0.0
08/01/2010 18:15:05,0.0
09/01/2010 18:15:05,0.0
10/01/2010 18:15:05,0.0
11/01/2010 18:15:05,0.0
12/01/2010 18:15:05,467261.0
13/01/2010 18:15:05,1823.0
14/01/2010 18:15:05,0.0
15/01/2010 18:15:05,0.0
16/01/2010 18:15:05,0.0
17/01/2010 18:15:05,0.0
18/01/2010 18:15:05,0.0
19/01/2010 18:15:05,0.0
20/01/2010 18:15:05,0.0
21/01/2010 18:15:05,0.0
22/01/2010 18:15:05,0.0
23/01/2010 18:15:05,0.0
24/01/2010 18:15:05,0.0
25/01/2010 18:15:05,0.0
26/01/2010 18:15:05,0.0
27/01/2010 18:15:05,0.0
28/01/2010 18:15:05,0.0
29/01/2010 18:15:05,0.0
30/01/2010 18:15:05,0.0
31/01/2010 18:15:05,12144.0
01/02/2010 18:15:05,0.0
02/02/2010 18:15:05,0.0
03/02/2010 18:15:05,0.0
04/02/2010 18:15:05,0.0
05/02/2010 18:15:05,45862.0
06/02/2010 18:15:05,0.0
07/02/2010 18:15:05,0.0
08/02/2010 18:15:05,175546.0
09/02/2010 18:15:05,1832.0
10/02/2010 18:15:05,1795519.0
11/02/2010 18:15:05,0.0
12/02/2010 18:15:05,2462.0
13/02/2010 18:15:05,0.0
14/02/2010 18:15:05,4143.0
15/02/2010 18:15:05,10032.0
16/02/2010 18:15:05,0.0
17/02/2010 18:15:05,0.0
18/02/2010 18:15:05,0.0
19/02/2010 18:15:05,0.0
20/02/2010 18:15:05,0.0
21/02/2010 18:15:05,0.0
22/02/2010 18:15:05,0.0
23/02/2010 18:15:05,0.0
24/02/2010 18:15:05,37210.0
25/02/2010 18:15:05,27323.0
26/02/2010 18:15:05,0.0
27/02/2010 18:15:05,0.0
28/02/2010 18:15:05,0.0
01/03/2010 18:15:05,0.0
02/03/2010 18:15:05,0.0
03/03/2010 18:15:05,0.0
04/03/2010 18:15:05,0.0
05/03/2010 18:15:05,1038200.0
06/03/2010 18:15:05,7263.0
07/03/2010 18:15:05,1779.0
08/03/2010 18:15:05,365310.0
09/03/2010 18:15:05,0.0
10/03/2010 18:15:05,0.0
11/03/2010 18:15:05,43559.0
12/03/2010 18:15:05,0.0
13/03/2010 18:15:05,0.0
14/03/2010 18:15:05,0.0
15/03/2010 18:15:05,0.0
16/03/2010 18:15:05,0.0
17/03/2010 18:15:05,153299.0
18/03/2010 18:15:05,15573.0
19/03/2010 18:15:05,0.0
20/03/2010 18:15:05,23013.0
21/03/2010 18:15:05,0.0
22/03/2010 18:15:05,0.0
23/03/2010 18:15:05,123333.0
24/03/2010 18:15:05,2060.0
25/03/2010 18:15:05,52074.0
26/03/2010 18:15:05,1834.0
27/03/2010 18:15:05,0.0
28/03/2010 18:15:05,57161.0
29/03/2010 18:15:05,0.0
30/03/2010 18:15:05,1908.0
31/03/2010 18:15:05,0.0
01/04/2010 18:15:05,0.0
02/04/2010 18:15:05,0.0
03/04/2010 18:15:05,0.0
04/04/2010 18:15:05,29300.0
05/04/2010 18:15:05,29450.0
06/04/2010 18:15:05,296475.0
07/04/2010 18:15:05,308949.0
08/04/2010 18:15:05,17138.0
09/04/2010 18:15:05,0.0
10/04/2010 18:15:05,842804.0
11/04/2010 18:15:05,246577.0
12/04/2010 18:15:05,4857.0
13/04/2010 18:15:05,2287.0
14/04/2010 18:15:05,1875.0
15/04/2010 18:15:05,7553241.0
16/04/2010 18:15:05,1687224.0
17/04/2010 18:15:05,63494.0
18/04/2010 18:15:05,21726.0
19/04/2010 18:15:05,3763.0
20/04/2010 18:15:05,281876.0
21/04/2010 18:15:05,0.0
22/04/2010 18:15:05,1793.0
23/04/2010 18:15:05,0.0
24/04/2010 18:15:05,45552.0
25/04/2010 18:15:05,188357.0
26/04/2010 18:15:05,5473.0
27/04/2010 18:15:05,192417.0
28/04/2010 18:15:05,1718.0
29/04/2010 18:15:05,24551.0
30/04/2010 18:15:05,1155280.0
01/05/2010 18:15:05,0.0
02/05/2010 18:15:05,0.0
03/05/2010 18:15:05,0.0
04/05/2010 18:15:05,0.0
05/05/2010 18:15:05,175263.0
06/05/2010 18:15:05,176250.0
07/05/2010 18:15:05,275559.0
08/05/2010 18:15:05,0.0
09/05/2010 18:15:05,233613.0
10/05/2010 18:15:05,4927.0
11/05/2010 18:15:05,24013.0
12/05/2010 18:15:05,162534.0
13/05/2010 18:15:05,30057.0
14/05/2010 18:15:05,119845.0
15/05/2010 18:15:05,8705.0
16/05/2010 18:15:05,0.0
17/05/2010 18:15:05,1793.0
18/05/2010 18:15:05,222316.0
19/05/2010 18:15:05,62843.0
20/05/2010 18:15:05,0.0
21/05/2010 18:15:05,5016.0
22/05/2010 18:15:05,329400.0
23/05/2010 18:15:05,18326.0
24/05/2010 18:15:05,6050.0
25/05/2010 18:15:05,0.0
26/05/2010 18:15:05,124767.0
27/05/2010 18:15:05,23736.0
28/05/2010 18:15:05,2968341.0
29/05/2010 18:15:05,141570.0
30/05/2010 18:15:05,34395.0
31/05/2010 18:15:05,4291.0
01/06/2010 18:15:05,5636.0
02/06/2010 18:15:05,129299.0
03/06/2010 18:15:05,34140.0
04/06/2010 18:15:05,709783.0
05/06/2010 18:15:05,0.0
06/06/2010 18:15:05,0.0
07/06/2010 18:15:05,242724.0
08/06/2010 18:15:05,470773.0
09/06/2010 18:15:05,850349.0
10/06/2010 18:15:05,669225.0
11/06/2010 18:15:05,0.0
12/06/2010 18:15:05,140263.0
13/06/2010 18:15:05,10861.0
14/06/2010 18:15:05,653558.0
15/06/2010 18:15:05,36219.0
16/06/2010 18:15:05,4978.0
17/06/2010 18:15:05,634626.0
18/06/2010 18:15:05,0.0
19/06/2010 18:15:05,1248703.0
20/06/2010 18:15:05,0.0
21/06/2010 18:15:05,3979.0
22/06/2010 18:15:05,29689.0
23/06/2010 18:15:05,0.0
24/06/2010 18:15:05,18940.0
25/06/2010 18:15:05,741672.0
26/06/2010 18:15:05,0.0
27/06/2010 18:15:05,0.0
28/06/2010 18:15:05,11552.0
29/06/2010 18:15:05,555259.0
